Attraction,Category,Subclass,Address,Tag,Participants,etc,cafe,max,type
광화문,관광,기념물,서울특별시 종로구 효자로 12 국립고궁박물관,#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#가족여행#경복궁#관광지#광화문#광화문#광화문광장#교과서속여행#당일치기여행#서울근교여행#수문장교대#아이와함께#역사#역사관광지#역사를품은곳#역사문화재#역사속으로#역사여행#역사유적지#역사탐험#연인과함께#전통역사문화체험#종로여행#친구와함께#커플데이트,141,0,1,1,cafe
창경궁,관광,궁궐,서울특별시 종로구 창경궁로 185 창경궁,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#가족여행#고궁#관광지#교과서속여행#궁궐여행#당일치기여행#서울#서울근교여행#수도권#아이와함께#역사#역사유적지#연인과함께#인생샷#전통&역사문화체험#창경궁#친구와함께#한국관광100선,132,0,0,5,korean
스타필드 코엑스몰,관광,쇼핑복합시설,서울특별시 강남구 봉은사로 524,#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#강남#서울#쇼핑#수도권#수도권#스타필드코엑스몰#연중무휴#코엑스#크리스마스#한국관광100선,"1,892",0,0,3,korean
석촌호수,관광,"호수,연못,저수지",서울특별시 송파구 잠실동,#2024_여행가는달과함께하는_발도장여행지#걷기길#관광지#벚꽃#산책길#산책코스#산책하기#산책하기좋은곳#석촌호수#석촌호수공원#송파공원#송파나루공원#숲#아이와함께#야간관광100선#야경여행지#야경투어#연인과함께#자연#잠실공원#잠실롯데월드#잠실벚꽃길#조깅#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링,279,0,1,1,cafe
화랑대 철도공원,관광,"도시,테마공원",서울특별시 노원구 공릉동 29-51,#2024_여행가는달과함께하는_발도장여행지#경춘선숲길#관광지#데이트명소#불빛정원#산책길#산책하기#산책하기좋은곳#야경명소#야경여행#야경좋은곳#야경코스#연인과함께#이색체험#커플데이트#화랑대역#화랑대철도공원#휴식공간#휴식공원#휴식여행#휴식하기좋은곳,51,0,0,2,korean
청계천,관광,"강,하천",서울특별시 종로구 창신동,#가족여행#관광지#나들이#데이트코스#드라이브여행#산책길#산책하기#산책하기좋은곳#수도권#아이와함께#야간관광100선#연인과함께#청계천#체험학습#친구와함께#힐링,161,0,0,5,korean
서래마을,관광,체험마을,서울특별시 서초구 반포4동,#관광지#남녀노소#도심여행#마포서래마을#문화#산책하기#산책하기좋은곳#서래마을#서울프랑스학교#연인과함께#유럽풍식당#이색거리#주한프랑스학교#체험#친구와함께#커플데이트#프랑스마을#프랑스식당,104,0,0,7,korean
경희궁,관광,궁궐,서울특별시 종로구 새문안로 45 경희궁.시립미술관,#15_16한국관광100선#17_18한국관광100선#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#21_22한국관광100선#23_24한국관광100선#가족여행#경희궁#경희궁지#고궁#관광지#교과서속여행#궁궐투어#당일치기여행#서울#서울근교여행#서울역사박물관#수도권#아이와함께#역사#역사유적지#연인과함께#전통&역사문화체험#친구와함께#한국관광100선,39,0,2,2,cafe
서울로 7017,관광,도보코스,서울특별시 중구 청파로 432,#19_20한국관광100선#2024_여행가는달과함께하는_발도장여행지#걷기길#관광지#나홀로여행#데이트코스#도심여행#산책코스#산책하기좋은곳#서울로#서울로7017#야간관광100선#연인과함께#인생샷#전망좋은곳#전시행사#친구와함께#핫플레이스,23,0,0,4,korean
돈의문박물관마을,관광,체험마을,서울특별시 종로구 송월길 14-3,#2024_여행가는달과함께하는_발도장여행지#감성사진#교육#남녀노소#돈의문#돈의문마켓#돈의문박물관마을#돈의문시간여행#문화시설#반려동물동반여행지#부모님과함께#사진찍기좋은곳#사진촬영#사진촬영명소#서대문역#서울100년시간여행놀이터#수도권반려동물여행지#아이와함께#옛추억#이색체험#전시#추억여행#추억의박물관#행복한추억,45,0,0,4,korean
