Attraction,Category,Subclass,Address,Tag,Participants,etc,cafe,max,type
대림창고,음식,"카페,디저트",서울특별시 성동구 성수이로 78,#남녀노소#빈티지#사진찍기좋은곳#성동구#연인과함께#음식#정미소#카페#휴식공간#휴식하기좋은곳,"2,176",0,0,1,west
삼청공원,관광,근린공원,서울특별시 종로구 삼청로 156 삼청공원관리실,#가족여행#걷기여행#관광지#나들이#당일치기여행#사계절#삼청공원#삼청근린공원#서울공원#서울근교여행#숲체험원#아이와함께#연인과함께#자연좋은곳#친구와함께#피크닉#휴양여행#힐링,20,0,1,3,west
연서시장,관광,시장,서울특별시 은평구 통일로 850 연서시장,#쇼핑#연서시장#재래시장#전통시장,214,0,0,4,chinese
컨퍼런스하우스달개비 정동점,음식,한정식-일반,서울특별시 중구 세종대로19길 16,#단체모임추천#달개비#달개비한정식#맛집#서울시#서울시청맛집#서울중구맛집#서울한정식#음식#중구#한정식,91,0,3,3,cafe
겟댓샷(Get That Shot),음식,"카페,디저트",서울특별시 영등포구 경인로 846 롯데백화점영등포점 1층,#가볼래터#서울#서울가볼만한곳#서울카페#여행구독#영등포#음식#이색카페#카페#힐링,615,0,0,4,korean
박물관은 살아있다(인사동점),관광,테마파크,서울특별시 종로구 인사동길 12 대일빌딩 지하1층,#데이트코스#도심여행#문화시설#박물관은살아있다#사계절#사진찍기#사진찍기좋은곳#사진촬영#실내여행지#아이와함께#연인과함께#이색체험#인생샷,773,0,0,4,korean
대학로,관광,"거리,골목",서울특별시 종로구 동숭동,#가족여행#관광지#나홀로여행#당일치기여행#대학로#데이트코스#도심여행#문화행사#사계절#상설공연#서울근교여행#아이와함께#연인과함께#체험#친구와함께#핫플레이스,11,0,1,4,west
도산공원,관광,테마공원,서울특별시 강남구 도산대로45길 20 도산전시관,#가족여행#걷기여행#관광지#나들이#당일치기여행#도산공원#도산안창호#사계절#서울근교여행#아이와함께#안창호공원#압구정#연인과함께#친구와함께#피크닉#힐링&휴양여행,44,0,0,5,korean
플로팅아일랜드,관광,섬,서울특별시 서초구 올림픽대로 2085-14 세빛섬,#문화시설#새빛섬결혼식장#선상웨딩#세빛섬#세빛섬플로팅아일랜드#프라이빗모임#플로팅아일랜드#한강결혼식#한강레스토랑#한강예식장#한강컨벤션,44,0,3,5,korean
더 스팟 패뷸러스,음식,"카페,디저트",서울특별시 중구 명동2길 22 1.2층,#뉴트로카페#명동카페#서울_여행지_추천#서울가볼만한곳#서울권#음식,"2,165",0,0,3,korean
서울상상나라,관광,박물관,서울특별시 광진구 능동로 216 서울상상나라,#문화시설#사계절#서울상상나라#아이와함께#여름방학가볼만한곳#이색체험#체험학습,"2,084",0,0,4,korean
진고개,음식,한식,서울특별시 중구 충무로 19-1,#갈비찜#맛집#문냉면#보쌈김치#불고기#서울중구#육개장#음식,420,0,0,3,korean
그랜드 인터컨티넨탈 서울 파르나스,숙소,호텔,서울특별시 강남구 테헤란로 521 그랜드 인터컨티넨탈 서울 파르나스,#강남구#서울숙소#서울호텔#숙박#숙박쿠폰#코엑스#호캉스#호캉스즐기기#호텔,"1,567",0,0,6,korean
북촌박물관,관광,박물관,서울특별시 종로구 북촌로 39,#가족과함께#고미술품#공예품#문화시설#박물관#북촌#서울시#아이와함께#역사속으로#역사이야기#전통&역사#전통작품#종로구#한국전통,39,0,0,5,korean
서울신라호텔,숙소,5성급,서울특별시 중구 동호로 249,#서울숙소#숙박#중구#호캉스즐기기,"3,956",0,0,8,korean
아차산 어울림정원,관광,"자연,생태공원",서울특별시 광진구 워커힐로 127 아차산 생태공원,#걷기길#관광지#광진구산책로#광진구휴식공간#산책하기좋은곳#생태관광#아차산생태공원#자연#자연&숲#자연좋은곳#트레킹#힐링산책,20,0,0,2,west
롯데월드 민속박물관,관광,박물관,서울특별시 송파구 올림픽로 240 롯데월드,#나들이#놀이동산&테마파크#데이트코스#롯데월드#롯데월드민속박물관#문화시설#미세먼지_피하는_실내여행#박물관#아이와함께#연인과함께#전시관#전통&역사문화체험#체험학습#친구와함께#힐링,"1,097",0,0,1,korean
우래옥,음식,냉면,서울특별시 중구 창경궁로 62-29,#가족과함께#맛집#미쉐린가이드#불고기#을지로#을지로맛집#음식#평양냉면#평양냉면#힙지로,"4,566",0,0,4,chinese
씨랄라 워터파크,관광,워터파크,서울특별시 영등포구 문래로 164 지하 2층,#관광지#남녀노소#문래동사우나#문래동워터파크#물놀이장#실내워터파크#아이가_좋아하는_여행#아이와함께#여름피서지#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,"1,517",1,0,2,korean
밀리오레,관광,"상가, 아케이드",서울특별시 중구 장충단로 263,#쇼핑,97,0,0,1,korean
노량진수산물도매시장,관광,시장,서울특별시 동작구 노들로 674 노량진수산물도매시장,#가족여행#나들이#나홀로여행#노량진수산물도매시장#도심여행#먹거리#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#친구와함께#특산물,700,0,1,6,korean
인왕산 더숲 초소책방,음식,카페,서울특별시 종로구 인왕산로 172,#북카페#서울_여행지_추천#서울가볼만한곳#서울권#음식#인왕산,"4,853",1,0,1,etc
광나루한강공원 암사생태공원,관광,"자연,생태공원",서울특별시 강동구 암사동 616-1,#관광지#광나루#생태체험#서울가볼만한곳#서울공원#암사생태공원#자연#한강#한강공원,10,0,0,1,korean
매헌 시민의 숲,관광,자연공원,서울특별시 서초구 매헌로 99,#걷기길#관광지#나들이#도심여행#산책길#산책하기#산책하기좋은곳#양재시민의숲#연인과함께#자연#자연좋은곳#자연환경#주말추천여행지#친구와함께#힐링,46,0,8,8,cafe
도봉산,관광,산,서울특별시 도봉구 도봉동,#가족여행#관광지#당일치기여행#도봉산#도봉산역#등산#등산로#사계절#서울근교여행#아이와함께#연인과함께#자연#자연좋은곳#친구와함께#힐링&휴양여행,71,0,0,3,korean
서울 암사동 유적,관광,"유적지,사적지",서울특별시 강동구 올림픽로 875,#가족여행#관광지#교과서속여행#당일치기여행#서울근교여행#서울박물관#서울암사동유적#신석기시대#아이와함께#암사동유적박물관#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사여행#역사유적지#역사탐방#전통&역사문화체험#친구와함께,178,0,3,3,cafe
리얼월드 성수,관광,"관람,체험",서울특별시 성동구 연무장13길 8 메리히어 1층 리얼월드 성수,#2023_설날_핫플#가볼래터#관광지#성수동가볼만한곳#성수동데이트#성수동핫플레이스#이색체험,147,0,0,2,korean
롯데월드 아이스링크(실내),관광,아이스링크,서울특별시 송파구 올림픽로 240,#겨울스포츠#동계스포츠체험#레포츠#롯데월드#롯데월드스케이트장#송파스케이트장#스케이트장#실내데이트#실내스케이트장#연인과함께#연인과함께#친구와함께,"4,979",1,0,5,chinese
광나루한강공원,관광,시민공원,서울특별시 강동구 암사동 659-1,#걷기길#관광지#광나루한강공원#나들이#도심여행#서울가볼만한곳#야경투어#연인과함께#자전거여행#조깅#친구와함께#피크닉#한강공원#한강시민공원광나루지구#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,15,0,0,6,chinese
교보문고,관광,서점,서울특별시 종로구 종로 1 교보생명빌딩 지하1층,#교보문고#도서관#도심여행#문화시설#문화행사#사계절#수도권#아이와함께#연인과함께#체험학습#친구와함께#핫플레이스,"23,013",0,0,2,korean
잠원한강공원,관광,시민공원,서울특별시 서초구 잠원동,#가족여행#관광지#나들이#산책길#산책로#산책하기#산책하기좋은곳#서울가볼만한곳#서울산책#서울여행#연인과함께#잠원한강공원#한강공원#한강시민공원잠원지구#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,81,0,0,2,korean
풋볼 팬타지움,관광,박물관,서울특별시 마포구 월드컵로 240,#VR체험#문화시설#박물관#복합레저스포츠#실내놀이터#아이와함께#이색체험#전시관#주말추천여행지#체험학습#축구장#축구전시관#친구와함께#테마파크#풋볼팬타지움,18,0,0,6,korean
달맞이봉공원,관광,근린공원,서울특별시 성동구 금호동4가 산27,#관광지#달맞이봉#달야경#서울야경명소#성동구공원#응봉산공원#해돋이명소,13,0,0,1,korean
삼거리먼지막순대국,음식,"순대,순댓국",서울특별시 영등포구 시흥대로185길 11,#맛집#백년가게#서울미래유산#서울시#순대국#순대국#순대안주가성비_갑담백한_맛#술국#영등포구#음식#해장국,"1,022",0,0,2,korean
아이파크몰 용산점,관광,"쇼핑센터,할인매장",서울특별시 용산구 한강대로23길 55,#가족과함께#남녀노소#백화점#복합쇼핑몰#서울용산구#쇼핑#쇼핑몰#아이파크몰#아이파크백화점#용산구#전시장,"5,539",0,0,4,korean
서울 중앙시장,관광,시장,서울특별시 중구 퇴계로85길 36,#서울3대시장#서울중앙시장#쇼핑#아이와함께#예술가#이색체험#재래시장#전통시장#중앙시장,15,0,0,6,chinese
세종한우정육점식당  2호점,음식,정육식당,서울특별시 강남구 학동로 219 국제빌딩 지층,#강남한우맛집#논현동한우#세종한우#세종한우정육점식당#옛날불고기#음식#한우소고기보신탕#한우정육식당,481,0,0,1,korean
그랜드 워커힐 리버파크(야외수영장),관광,수영장,서울특별시 광진구 워커힐로 177,#가족과함께#레포츠#리버파크#수영장#실외#여름피서지#연인과함께#워커힐#휴식공간#휴식여행#휴식하기좋은곳#힐링여행,523,0,0,2,korean
청계천박물관,관광,박물관,서울특별시 성동구 청계천로 530 청계천박물관,#걷기여행#도심여행#문화시설#박물관#실내여행지#아이와함께#청계천#청계천박물관,40,0,0,10,korean
용마산,관광,산,서울특별시 중랑구 면목동,#관광지#나홀로여행#등산#용마산#자연#자연&숲#자연좋은곳#자연풍경#자연환경#친구와함께#트레킹,45,0,0,2,korean
장충단공원,관광,"도시,테마공원",서울특별시 중구 동호로 257-10,#가족여행#걷기여행#관광지#나들이#당일치기여행#사계절#서울근교여행#아이와함께#연인과함께#장충단공원#친구와함께#피크닉#힐링&휴양여행,23,0,0,5,west
하우스 도산,관광,선글라스,"서울특별시 강남구 압구정로46길 50 M층, 2층, 3층",#남녀노소#문화예술#사진찍기#사진찍기좋은곳#선글라스#쇼핑#안경#연인과함께#이색공간#친구와함께#휴식공간,141,0,0,1,korean
레치키치 스튜디오,관광,"사진,스튜디오",서울특별시 마포구 신촌로2안길 2 보애빌딩 지하,#관광지#스튜디오#이색체험#체험,"2,225",0,1,1,cafe
프레젠트모먼트,관광,인테리어소품,서울특별시 마포구 동교로 49-1 1층,#가볼래터#망원동#빈티지#서울#소품샵#쇼핑#여행구독#인형#크리스마스,197,0,0,3,korean
헌인릉 생태경관보전지역(오리나무림),관광,"자연,생태공원",서울특별시 서초구 헌인릉길 36-10 헌인릉,#관광지#나들이#당일치기여행#생태관광#수도권#오리나무림#자연#자연&숲#자연좋은곳#헌인릉생태경관보전지역#힐링,15,0,0,8,korean
은평한옥마을,관광,체험마을,서울특별시 은평구 진관동 193-14,#관광지#서울#은평구#한옥마을#한옥체험,53,0,0,6,korean
우리유황온천,관광,"온천,스파",서울특별시 광진구 자양로5길 33 지하2층,#관광지#서울온천#온천#우리유황온천#천연유황온천#프라젠스파,227,0,0,4,korean
파리공원,관광,"도시,테마공원",서울특별시 양천구 목동동로 363 파리공원,#걷기길#관광지#나들이#서울도심여행#아이와함께#연인과함께#자연#주말추천여행지#친구와함께#파리공원#힐링,32,0,0,3,korean
한성백제박물관,관광,박물관,서울특별시 송파구 위례성대로 71 한성백제박물관,#가족여행#교과서속여행#당일치기여행#문화시설#박물관#사계절#아이와함께#역사를품은곳#역사속#역사속으로#역사여행#역사유적지#역사탐방#한성백제박물관,330,0,0,3,korean
서울생활사박물관,관광,박물관,서울특별시 노원구 동일로174길 27,#관광지#근현대박물관#박물관#서울생활사박물관#실내관광지#아이와함께#이색체험#전시#전통&역사체험,36,0,0,4,korean
강변스파랜드,관광,찜질방,서울특별시 광진구 구의강변로 45 지하2층,#강변스파랜드#강변역사우나#강변역찜질방#관광지#불한증막#사우나#서울24시찜질방#서울스파#서울찜질방#서울찜질방추천#수도권#연인과함께#연중무휴#찜질방#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링&휴양#힐링체험,452,0,1,1,cafe
삼청동수제비,음식,한식,서울특별시 종로구 삼청로 101-1,#감자전#감자전#맛집#삼청동맛집#삼청동수제비#서울맛집#수도권#수제비#수제비#수제비맛집#연중무휴#음식#종로맛집#쭈꾸미볶음#찹쌀_새알_옹심이#파전#파전,"6,211",0,0,2,japanese
광화문광장,관광,광장,서울특별시 종로구 세종대로 175 세종이야기,#걷기길#관광지#광화문광장#도심공원#도심순환#도심여행#산책하기좋은곳#서울도심여행#세종대왕동상#시티투어#인생샷#충무공이순신동상,123,0,0,1,korean
서대문안산,관광,산,서울특별시 서대문구 봉원동,#관광지#남녀노소#무악산동봉수대터#산책로#산책코스#서대문구산#순환형무장애숲길#안산봉수대#안산자락길#역사탐험#자연#자연좋은곳#자연환경#휴식공간#휴식공원#휴식여행#휴식하기좋은곳#힐링산책#힐링여행#힐링여행지,24,0,0,2,korean
런던베이글뮤지엄,음식,베이커리,서울특별시 종로구 북촌로4길 20,#2023_설날_디저트맛집#MZ세대#런던베이글뮤지엄#베이글#베이글맛집#비주얼맛집#안국역맛집#음식,"6,466",0,1,1,cafe
서울광장,관광,광장,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,#가족과함께#관광지#덕수궁#도심여행#복합문화공간#산책하기#산책하기좋은곳#서울광장#서울도서관#서울시청#수도권#스케이트장#시청광장#열린문화공간#주말추천여행지#친구와함께#크리스마스#피크닉#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,59,0,0,2,korean
중랑장미공원,관광,근린공원,서울특별시 중랑구 묵동 375,#관광지#서울축제#장미공원#장미정원#장미축제#장미터널#중랑천,33,0,0,5,korean
양재꽃시장,관광,"원예,화훼농원",서울특별시 서초구 강남대로 27 화훼공판장 나동 87호 양재꽃시장꽃과나무,#사진명소#서울_여행지_추천#서울가볼만한곳#서울권#쇼핑#양재꽃시장,10,9,0,9,etc
여의도공원,관광,근린공원,서울특별시 영등포구 여의도동 여의공원로 68 여의도공원관리사무소,#c-47비행기전시관#관광지#꽃여행#데이트코스#복합문화공간#봄나들이#산책길#산책하기#산책하기좋은곳#서울근교여행#여의도공원#여의도광장#여의도문화마당#연인과함께#연중무휴#열린문화공간#영등포여의도공원#인생샷#한국전통의숲#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,474,0,0,5,korean
삼원가든,음식,한식,서울특별시 강남구 언주로 835,#강남맛집#강남삼원가든#강남한식당#고기맛집#맛집#분위기_좋은#불고기#생갈비#양념갈비#육회#음식,748,1,1,2,west
마포농수산물시장,관광,시장,서울특별시 마포구 월드컵로 235,#농수산물시장#마포구전통시장#마포농수산물시장#마포회센터#쇼핑#전통시장,65,0,0,9,korean
진주회관,음식,국수,서울특별시 중구 세종대로11길 26,#김치찌개#냉콩국수#맛집#삼겹살#서울맛집#섞어찌개#수도권#연중무휴#음식#진주회관#콩국수,"5,098",1,1,10,west
이새,관광,패션,서울특별시 종로구 인사동길 30-1 인사유리,#쇼핑#자연주의#중장년층#천연소재#친환경염색의류,16,0,0,2,korean
서울 평화시장,관광,"상가,아케이드",서울특별시 중구 청계천로 274,#가족여행#나들이#나홀로여행#데이트코스#도매상가#도심여행#동대문시장#먹거리#서울평화시장#쇼핑#수도권#시장맛집#아이와함께#연인과함께#의류도매상가#전통시장#전통시장투어#청계천시장#친구와함께#평화시장,10,0,0,9,korean
샤오바오우육면 종로본점,음식,중식당,서울특별시 종로구 삼일대로17길 15,#샤오바오본점#수타우육면#음식#종각샤오바오#종각우육면맛집,"4,090",0,0,8,korean
광장시장 한복매장,관광,한복,서울특별시 종로구 창경궁로 88 광장시장2층 구관 32호,#광장시장#광장시장한복매장#쇼핑#수도권#연중무휴#한복매장,12,0,0,8,korean
창의문,관광,보물,서울특별시 종로구 창의문로 118,#가족여행#관광지#문화재#서울여행#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사이야기#역사탐방#연중무휴#인조반정#창의문,13,0,0,6,korean
세종대왕동상,관광,기념물,서울특별시 종로구 세종대로 172,#관광지#광화문광장#교과서속여행#도심여행#세종대왕동상#수도권#아이와함께#역사속#역사속으로#역사이야기#역사탐방#체험학습#훈민정음,32,0,0,7,korean
서대문문화체육회관실내수영장,관광,수영장,서울특별시 서대문구 백련사길 39,#레포츠#서대문수영장#서대문실내수영장#서대문체육관#해수풀수영장,49,0,0,3,korean
구로중앙유통단지,관광,"상가,아케이드",서울특별시 구로구 경인로53길 15,#도소매#무역#산업용품#서울가볼만한곳#쇼핑#오프라인매장#유통단지#저렴한가격#전자부품#컴퓨터부품,10,0,0,2,korean
고속터미널 꽃도매상가,관광,시장,서울특별시 서초구 신반포로 194 강남고속버스터미널,#고터꽃도매상가#고터꽃쇼핑#고터꽃시장#고터쇼핑#꽃#꽃도매상가#쇼핑#원예전문점,10,0,0,6,korean
수연산방,음식,차,서울특별시 성북구 성북로26길 8 상허 이태준 가옥,#관광지#문화재#상허이태준가옥#성북동이태준가옥#성북동찻집#성북수연산방#수도권#수연산방#역사#역사공부#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#이태준가옥,567,0,0,1,chinese
강서농산물도매시장,관광,시장,서울특별시 강서구 발산로 40 강서농산물도매시장,#강서농산물도매시장#강서도매시장유통#과일도매시장#농산물경매장#농산물도매시장#도매시장#쇼핑,170,0,0,6,korean
오금오름공원,관광,"도시,테마공원",서울특별시 송파구 오금로 363 오금근린공원,#관광지#데이트코스#산책길#산책하기#산책하기좋은곳#아이와함께#연인과함께#오금공원#자연&숲#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링,15,1,0,2,chinese
용산공원 반환부지,관광,근린공원,서울특별시 용산구 서빙고로 221,#SNS감성핫플레이스#SNS속_인생샷명소#가볼래터#관광지#데이트코스#색감_예쁜_관광지#여행구독#옛_미군기지#옛_서빙고#용산#용산공원#포토존#힐링#힐링공간#힐링공원,12,3,0,3,etc
약령시장,관광,"거리,골목",서울특별시 동대문구 제기동,#가족여행#나들이#나홀로여행#데이트코스#도심여행#먹거리#서울약령시장#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#친구와함께#특산물,19,0,0,2,japanese
뚝섬 한강공원 수영장,관광,수영장,서울특별시 광진구 자양동 112,#가족과함께#남녀노소#뚝섬#레포츠#물놀이장#수영장#실외수영장#아이가_좋아하는_여행#아이와함께#야외#야외수영장#여름방학가볼한곳#여름피서지#친구와함께#한강공원#한강수영장#한강시민공원,16,0,0,5,korean
응정헌,숙소,전통숙소,서울특별시 은평구 연서로50길 19,#독채한옥#서울숙소#서울여행#서울한옥#조식가능#품질인증업소_전체보기#한국관광품질인증#한국관광품질인증_한옥#한옥,213,0,0,9,korean
정릉(신덕왕후),관광,"유적지,사적지",서울특별시 성북구 아리랑로19길 116,#관광지#서울정릉#세계문화유산#수도권#아이와함께#역사#역사공부#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사탐험#유네스코세계문화유산#이성계후비#조선왕릉#현비강씨릉,23,0,2,2,cafe
양천공원,관광,근린공원,서울특별시 양천구 목동동로 111,#관광지#산책하기좋은곳#아이가_좋아하는_여행#아이와가볼만한곳#아이와함께#휴식공간#휴식공원#휴식여행#휴식하기#휴식하기좋은곳#힐링산책,19,0,0,2,korean
봉화산,관광,산,서울특별시 중랑구 묵동,#경치좋은곳#관광지#남녀노소#등산#등산여행#봉수대#봉화산#자연#자연좋은곳#자연풍경#자연환경#중랑구산#중랑구힐링#휴식하기좋은곳#힐링산책,18,0,0,5,korean
오동근린공원,관광,근린공원,서울특별시 강북구 번동 산12,#관광지#근린공원#산책길#산책코스#산책하기#산책하기좋은곳#실내운동#자연환경#체육관#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,10,0,0,4,west
롯데아울렛 서울역점,관광,아울렛,서울특별시 용산구 한강대로 405 롯데아울렛서울역점,#서울여행#쇼핑#품질인증업소_전체보기#한국관광품질인증,"1,171",0,0,1,korean
104고지전적비,관광,기념물,서울특별시 서대문구 연희동 산100-1,#관광지#기념탑#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#추모#추모비#한국역사#한국전쟁#해병대,203,0,0,4,korean
용마랜드,관광,촬영장소,서울특별시 중랑구 망우로70길 118,#관광지#드라마촬영지#뮤직비디오촬영지#사진찍기좋은곳#사진촬영지#애견동반놀이동산#야외대관장소#영화촬영지#용마랜드#웨딩촬영지#폐놀이공원,16,0,0,3,korean
통인가게 미술,관광,"미술,공예품",서울특별시 종로구 인사동길 32,#가족여행#고미술갤러리#고미술전시#고미술품갤러리#나들이#나홀로여행#데이트코스#쇼핑#수도권#아이와함께#연인과함께#전통역사문화체험#친구와함께#통인가게#힐링,46,0,0,1,korean
롯데월드,관광,테마파크,서울특별시 송파구 올림픽로 240,#공연장#나들이#놀이공원&테마파크#데이트코스#롯데월드가든스테이지#문화시설#미세먼지_피하는_실내여행#실내여행지#아이와함께#어린이날가볼만한곳#연인과함께#예술#음악회#체험학습#친구와함께#힐링,"15,214",0,0,5,korean
세운상가,관광,"상가,아케이드",서울특별시 종로구 청계천로 159,#가전제품#쇼핑#전자부품#컴퓨터,49,0,0,2,korean
서초구민체육센터수영장,관광,수영장,서울특별시 서초구 사평대로 55 서초구민체육센터.심산기념문화센터,#남녀노소#레포츠#생활스포츠#서초YMCA수영장#서초구#수영#수영장#스포츠#실내수영장#실내스포츠,11,3,3,7,west
서촌게스트하우스,숙소,게스트하우스,서울특별시 종로구 자하문로7길 28-3 통인동,#마운틴뷰#서울숙소#서울여행#서울한옥#숙박#조식가능#품질인증업소_전체보기#한국관광품질인증#한국관광품질인증_한옥#한옥,37,0,0,10,korean
황궁우,관광,국가유산,서울 중구 소공동,#고종#관광지#대한제국황제국#사적#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사속으로#역사여행#역사유적#역사유적지#역사유적지#역사이야기#역사탐험#제천단#조선호텔#환구단#환단#황궁우,14,0,0,1,korean
필동면옥,음식,냉면,서울 중구 서애로 26,#냉면#냉면#맛집#비빔냉면#서울중구맛집#서울특별시#음식#접시만두#제육담백한_맛#중구#충무로맛집#평양냉면#평양냉면맛집,"2,253",0,0,4,korean
간송미술관,관광,박물관,서울 성북구 성북로 102-11 간송미술관,#가족과함께#문화공간#문화시설#문화예술#문화예술공간#복합문화공간#아이와함께#연인과함께#열린문화공간#예술공간#한국전통,16,0,0,3,korean
금강제화 영등포본점,관광,신발,서울특별시 영등포구 영중로 18,#멀티샵#쇼핑#신발#정장화#핸드백,103,0,0,2,japanese
동림매듭공방,관광,박물관,서울특별시 종로구 북촌로12길 10,#가족체험#공예#문화시설#박물관#수공예#아이와함께#연인과함께#전시#전통공예#종로공방#종로박물관,15,0,0,3,west
더퍼스트스테이 호텔,숙소,4급,서울특별시 강서구 마곡동로4길 23,#서울숙소#서울여행#서울호텔#시티뷰#취사가능#품질인증업소_전체보기#한국관광품질인증#한국관광품질인증_호텔#호텔,111,0,2,2,cafe
도넛정수 창신,음식,"카페,디저트",서울특별시 종로구 창신12길 40,#도넛#선물추천#음식#한과#한국식디저트#흑임자,"1,188",0,0,6,korean
티테라피,음식,카페,서울특별시 종로구 윤보선길 74,#가볼래터#건강한여행#남녀노소#여행구독#연인과함께#음식#종로구#한방차#휴식공간#휴식여행#휴식하기좋은곳#힐링여행,645,0,0,3,korean
SLP 어린이회관 눈썰매장,관광,눈썰매장,서울특별시 광진구 광나루로 441,#겨울스포츠#겨울여행#광진구썰매장#광진구어린이회관#눈썰매#눈썰매장#레포츠#복합레저스포츠#빙어잡이#서울#서울눈썰매장#서울어린이회관#아이와가볼만한곳#아이와함께#어린이회관 눈썰매장#익스트림스포츠,750,0,0,1,korean
진옥화할매원조닭한마리,음식,닭요리,서울특별시 종로구 종로40가길 18,#닭한마리#닭한마리골목#닭한마리맛집#닭한마리칼국수#맛집#서울맛집#음식#종로맛집,"3,720",0,0,1,korean
용산역광장,관광,근린공원,서울특별시 용산구 한강대로23길 55,#관광지#용산#용산 광장#용산광장#용산역#용산역광장,79,0,0,6,korean
홍난파가옥,관광,국가유산,서울특별시 종로구 송월1길 38,#건축사#건축여행#관광지#근대건축#근대문화유산#등록문화재#서양식#역사#역사관광지#역사문화재#역사속으로#역사이야기#역사탐험#작곡#홍난파,12,0,0,5,korean
강서구 고성막국수,음식,막국수,서울특별시 강서구 방화대로49길 6-7,#동치미막국수#맛집#음식#편육,465,0,0,4,korean
에프마켓남부낚시,관광,낚시,서울 금천구 시흥대로 443,#고수낚시#낚시용품#낚시용품전문점#서울남부낚시#쇼핑#에프마켓#에프마켓남부낚시#초보낚시#한국낚시협동조합,98,0,0,4,korean
돌실나이 본사할인점,관광,한복,서울특별시 종로구 혜화로 29,#남녀노소#돌실나이#생활한복#쇼핑#수도권#인사동#종로구#한복#한복매장#한복문화,31,0,0,6,korean
백인제가옥,관광,"문화,유적",서울특별시 종로구 북촌로7길 16,#관광지#근대한옥#문화재#백인제가옥#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사이야기#역사탐험,17,0,0,4,korean
롯데백화점 본점 에비뉴엘,관광,백화점,서울특별시 중구 남대문로 73 롯데백화점에비뉴엘,#남녀노소#롯데백화점#명품매장#명품백화점#문화공간#백화점#쇼핑#중구#중구쇼핑#친구와함께#휴식하기좋은곳,683,0,0,3,korean
원조홍어 본점,음식,"해물,생선요리",서울특별시 영등포구 신길로 200-22,#맛집#신길동홍어거리#영등포홍어거리#음식#한식#홍어맛집#홍어무침#홍어삼합#홍어회,55,1,0,3,west
고려대학교서울캠퍼스아이스링크,관광,아이스링크,서울특별시 성북구 안암로 145,#고려대학교#고려대학교아이스링크#레포츠#서울스케이트#서울아이스링크#스케이트#스케이트장#실내스케이트장#아이스링크,47,5,0,5,etc
메이필드호텔,숙소,5성급,서울특별시 강서구 방화대로 94,#가볼래터#메이필드호텔#서울숙소#서울호텔#숙박#숙박시설#숙박업소#여행구독#호텔#휴식공간#휴식여행#휴식여행#휴식하기좋은곳,825,0,1,1,cafe
해방촌 혼고,음식,"육류,고기요리",서울특별시 용산구 신흥로 89 1층 혼고,#서울혼밥맛집#음식#혼밥#화로구이,290,0,0,1,korean
해밀톤 호텔,숙소,3성급,서울특별시 용산구 이태원로 179,#레포츠#서울호텔#서울호텔수영장#수영장#실외수영장#야외수영장#해밀턴호텔수영장#해밀톤호텔#호텔#호텔수영장#호텔실외수영장#호텔야외수영장,178,0,0,4,korean
국립중앙박물관 어린이박물관,관광,박물관,서울특별시 용산구 서빙고로 137 국립중앙박물관,#겨울방학가볼만한곳#국립어린이박물관#국립중앙박물관#국립중앙박물관어린이박물관#국립중앙어린이박물관#도심여행#문화시설#박물관#아이와함께#여름방학가볼만한곳#용산어린이박물관#주말추천여행지#체험학습,"1,008",0,0,3,west
카페 할아버지공장,음식,"카페,디저트",서울특별시 성동구 성수이로7가길 9,#감성카페#문화공간#복합문화공간#서울카페#예쁜카페#음식#카페,"2,315",0,0,5,korean
울프강스테이크하우스,음식,"스테이크,립",서울특별시 강남구 선릉로152길 21 영인빌딩 1층,#가족식사_추천#맛집#울프강_샐러드#음식#클래식_버거#포터하우스_스테이크,"3,550",0,0,5,korean
남도분식 익선점,음식,분식,서울특별시 종로구 수표로28길 33,#남도분식#맛집#맛집여행#분식맛집#서울맛집#음식#종로맛집,706,0,0,3,korean
태극당,음식,베이커리,서울특별시 중구 동호로24길 7,#데이트#베이커리#복고풍#신선한#옛날맛#옛날빵#옛날빵집#옛스러운분위기#음식#체인점,"9,707",0,0,4,korean
