tourist_spot,주소,참여인원수,목록
[백년가게]선동보리밥,서울특별시 성북구 성북로 134-4 선동보리밥,591명,보리밥
승진완구,서울특별시 종로구 종로52길 30,"2,133명",장난감
스파레이,서울특별시 서초구 강남대로107길 5 크레신빌딩,218명,찜질방
잠실한강공원,서울특별시 송파구 한가람로 65 한강사업본부 잠실안내센터,70명,시민공원
디타워 (replace 광화문),서울특별시 종로구 종로3길 17 디타워 광화문,14명,"쇼핑센터,할인매장"
가락농수산물종합도매시장,서울특별시 송파구 양재대로 932 가락동 농수산물도매시장,12명,시장
이촌한강공원,서울특별시 용산구 이촌로72길 62 한강공원 이촌안내센터,40명,시민공원
강동그린웨이 가족캠핑장,서울특별시 강동구 천호대로206길 87,101명,"캠핑,야영장"
사육신공원,서울특별시 동작구 노량진로 191 사육신묘지공원,14명,근린공원
서소문역사공원,서울특별시 중구 칠패로 5 서소문공원,11명,근린공원
태릉국제스케이트장,서울특별시 노원구 화랑로 681,39명,스케이트장
대림창고,서울특별시 성동구 성수이로 78,"2,176명","카페,디저트"
삼청공원,서울특별시 종로구 삼청로 156 삼청공원관리실,20명,근린공원
연서시장,서울특별시 은평구 통일로 850 연서시장,214명,시장
컨퍼런스하우스달개비 정동점,서울특별시 중구 세종대로19길 16,91명,한정식-일반
겟댓샷(Get That Shot),서울특별시 영등포구 경인로 846 롯데백화점영등포점 1층,615명,"카페,디저트"
박물관은 살아있다(인사동점),서울특별시 종로구 인사동길 12 대일빌딩 지하1층,773명,테마파크
대학로,서울특별시 종로구 동숭동,11명,"거리,골목"
도산공원,서울특별시 강남구 도산대로45길 20 도산전시관,44명,테마공원
플로팅아일랜드,서울특별시 서초구 올림픽대로 2085-14 세빛섬,44명,섬
더 스팟 패뷸러스,서울특별시 중구 명동2길 22 1.2층,"2,165명","카페,디저트"
서울상상나라,서울특별시 광진구 능동로 216 서울상상나라,"2,084명",박물관
진고개,서울특별시 중구 충무로 19-1,420명,한식
그랜드 인터컨티넨탈 서울 파르나스,서울특별시 강남구 테헤란로 521 그랜드 인터컨티넨탈 서울 파르나스,"1,567명",호텔
북촌박물관,서울특별시 종로구 북촌로 39,39명,박물관
서울신라호텔,서울특별시 중구 동호로 249,"3,956명",5성급
아차산 어울림정원,서울특별시 광진구 워커힐로 127 아차산 생태공원,20명,"자연,생태공원"
롯데월드 민속박물관,서울특별시 송파구 올림픽로 240 롯데월드,"1,097명",박물관
우래옥,서울특별시 중구 창경궁로 62-29,"4,566명",냉면
씨랄라 워터파크,서울특별시 영등포구 문래로 164 지하 2층,"1,517명",워터파크
밀리오레,서울특별시 중구 장충단로 263,97명,"상가, 아케이드"
노량진수산물도매시장,서울특별시 동작구 노들로 674 노량진수산물도매시장,700명,시장
인왕산 더숲 초소책방,서울특별시 종로구 인왕산로 172,"4,853명",카페
광나루한강공원 암사생태공원,서울특별시 강동구 암사동 616-1,10명,"자연,생태공원"
매헌 시민의 숲,서울특별시 서초구 매헌로 99,46명,자연공원
도봉산,서울특별시 도봉구 도봉동,71명,산
서울 암사동 유적,서울특별시 강동구 올림픽로 875,178명,"유적지,사적지"
리얼월드 성수,서울특별시 성동구 연무장13길 8 메리히어 1층 리얼월드 성수,147명,"관람,체험"
롯데월드 아이스링크(실내),서울특별시 송파구 올림픽로 240,"4,979명",아이스링크
광나루한강공원,서울특별시 강동구 암사동 659-1,15명,시민공원
교보문고,서울특별시 종로구 종로 1 교보생명빌딩 지하1층,"23,013명",서점
잠원한강공원,서울특별시 서초구 잠원동,81명,시민공원
풋볼 팬타지움,서울특별시 마포구 월드컵로 240,18명,박물관
달맞이봉공원,서울특별시 성동구 금호동4가 산27,13명,근린공원
[백년가게]삼거리 먼지막 순대국,서울특별시 영등포구 시흥대로185길 11,"1,022명","순대,순댓국"
아이파크몰 용산점,서울특별시 용산구 한강대로23길 55,"5,539명","쇼핑센터,할인매장"
서울 중앙시장,서울특별시 중구 퇴계로85길 36,15명,시장
세종한우정육점식당  2호점,서울특별시 강남구 학동로 219 국제빌딩 지층,481명,정육식당
그랜드 워커힐 리버파크(야외수영장),서울특별시 광진구 워커힐로 177,523명,수영장
청계천박물관,서울특별시 성동구 청계천로 530 청계천박물관,40명,박물관
용마산,서울특별시 중랑구 면목동,45명,산
장충단공원,서울특별시 중구 동호로 257-10,23명,"도시,테마공원"
하우스 도산,"서울특별시 강남구 압구정로46길 50 M층, 2층, 3층",141명,선글라스
레치키치 스튜디오,서울특별시 마포구 신촌로2안길 2 보애빌딩 지하,"2,225명","사진,스튜디오"
프레젠트모먼트,서울특별시 마포구 동교로 49-1 1층,197명,인테리어소품
헌인릉 생태경관보전지역(오리나무림),서울특별시 서초구 헌인릉길 36-10 헌인릉,15명,"자연,생태공원"
은평한옥마을,서울특별시 은평구 진관동 193-14,53명,체험마을
우리유황온천,서울특별시 광진구 자양로5길 33 지하2층,227명,"온천,스파"
파리공원,서울특별시 양천구 목동동로 363 파리공원,32명,"도시,테마공원"
한성백제박물관,서울특별시 송파구 위례성대로 71 한성백제박물관,330명,박물관
서울생활사박물관,서울특별시 노원구 동일로174길 27,36명,박물관
강변스파랜드,서울특별시 광진구 구의강변로 45 지하2층,452명,찜질방
삼청동수제비,서울특별시 종로구 삼청로 101-1,"6,211명",한식
경의선책거리,서울특별시 마포구 신촌로4길 18,246명,편의점
광화문광장,서울특별시 종로구 세종대로 175 세종이야기,123명,광장
서대문안산,서울특별시 서대문구 봉원동,24명,산
런던베이글뮤지엄,서울특별시 종로구 북촌로4길 20,"6,466명",베이커리
서울광장,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,59명,광장
중랑장미공원,서울특별시 중랑구 묵동 375,33명,근린공원
양재꽃시장,서울특별시 서초구 강남대로 27 화훼공판장 나동 87호 양재꽃시장꽃과나무,10명,"원예,화훼농원"
여의도공원,서울특별시 영등포구 여의도동 여의공원로 68 여의도공원관리사무소,474명,근린공원
삼원가든,서울특별시 강남구 언주로 835,748명,한식
마포농수산물시장,서울특별시 마포구 월드컵로 235,65명,시장
진주회관,서울특별시 중구 세종대로11길 26,"5,098명",국수
이새,서울특별시 종로구 인사동길 30-1 인사유리,16명,패션
방산 종합시장,서울특별시 중구 창경궁로 62-29,"4,566명",냉면
서울 평화시장,서울특별시 중구 청계천로 274,10명,"상가,아케이드"
공덕동 족발 골목,서울특별시 마포구 만리재로 19,259명,"족발,보쌈"
이화여고100주년기념관,서울특별시 중구 정동길 26 이화여고100주년기념관,449명,"카페,디저트"
샤오바오우육면 종로본점,서울특별시 종로구 삼일대로17길 15,"4,090명",중식당
광장시장 한복매장,서울특별시 종로구 창경궁로 88 광장시장2층 구관 32호,12명,한복
창의문,서울특별시 종로구 창의문로 118,13명,보물
세종대왕동상,서울특별시 종로구 세종대로 172,32명,기념물
서대문문화체육회관실내수영장,서울특별시 서대문구 백련사길 39,49명,수영장
구로중앙유통단지,서울특별시 구로구 경인로53길 15,10명,"상가,아케이드"
고속터미널 꽃도매상가,서울특별시 서초구 신반포로 194 강남고속버스터미널,10명,시장
수연산방,서울특별시 성북구 성북로26길 8 상허 이태준 가옥,567명,차
강서농산물도매시장,서울특별시 강서구 발산로 40 강서농산물도매시장,170명,시장
오금오름공원,서울특별시 송파구 오금로 363 오금근린공원,15명,"도시,테마공원"
용산공원 반환부지,서울특별시 용산구 서빙고로 221,12명,근린공원
약령시장,서울특별시 동대문구 제기동,19명,"거리,골목"
뚝섬 한강공원 수영장,서울특별시 광진구 자양동 112,16명,수영장
응정헌,서울특별시 은평구 연서로50길 19,213명,전통숙소
정릉(신덕왕후),서울특별시 성북구 아리랑로19길 116,23명,"유적지,사적지"
양천공원,서울특별시 양천구 목동동로 111,19명,근린공원
봉화산,서울특별시 중랑구 묵동,18명,산
오동근린공원,서울특별시 강북구 번동 산12,10명,근린공원
롯데아울렛 서울역점,서울특별시 용산구 한강대로 405 롯데아울렛서울역점,"1,171명",아울렛
104고지전적비,서울특별시 서대문구 연희동 산100-1,203명,기념물
용마랜드,서울특별시 중랑구 망우로70길 118,16명,촬영장소
통인가게 미술,서울특별시 종로구 인사동길 32,46명,"미술,공예품"
롯데월드,서울특별시 송파구 올림픽로 240,"15,214명",테마파크
세운상가,서울특별시 종로구 청계천로 159,49명,"상가,아케이드"
서초구민체육센터수영장,서울특별시 서초구 사평대로 55 서초구민체육센터.심산기념문화센터,11명,수영장
서촌게스트하우스,서울특별시 종로구 자하문로7길 28-3 통인동,37명,게스트하우스
황궁우,서울 중구 소공동,14명,국가유산
필동면옥,서울 중구 서애로 26,"2,253명",냉
간송미술관,서울 성북구 성북로 102-11 간송미술관,16명,박물
