,관광지명,주소,리뷰참여인원,관광지분류명
71,배정철어도,서울특별시 강남구 언주로148길 14 청호불교문화원 1층,83명 참여,생선회
72,아이러브신당동떡볶이,서울특별시 중구 퇴계로76길 50 아이러브떡볶이,"5,482명 참여",떡볶이
73,베스트웨스턴 프리미어 서울가든호텔,서울특별시 마포구 마포대로 58 가든호텔,517명 참여,4성급
74,케르반레스토랑,서울특별시 용산구 이태원로 192 1층,891명 참여,아시아음식
75,수연산방,서울특별시 성북구 성북로26길 8 상허 이태준 가옥,567명 참여,차
76,한강공원 난지캠핑장,서울특별시 마포구 한강난지로 28,222명 참여,"캠핑,야영장"
77,동국대학교 박물관,서울특별시 중구 필동로1길 30,15명 참여,박물관
79,세인트제임스 서울,서울특별시 강남구 논현로175길 94,37명 참여,캐주얼웨어
81,서울 서초 글램핑 청계산장,서울특별시 서초구 청계산로 140-94,21명 참여,"캠핑,야영장"
82,진주집,서울특별시 영등포구 국제금융로6길 33 지하 1층,"4,730명 참여",국수
83,호남식당,서울특별시 마포구 마포대로6길 10,501명 참여,"순대,순댓국"
84,두타몰,서울특별시 중구 장충단로 275 두타몰 지하1층,202명 참여,신발
85,서대문수빈,서울특별시 서대문구 연희로25길 31-3,698명 참여,한정식-일반
86,때때롯살롱,서울특별시 종로구 수표로28길 21-12,270명 참여,한복
87,여의도백리향,서울특별시 영등포구 63로 50 한화금융센터_63 57층,396명 참여,중식당
88,용산전자랜드,서울특별시 용산구 청파로 74 전자랜드(신관),350명 참여,"상가,아케이드"
89,롯데호텔서울,서울특별시 중구 을지로 30,"1,202명 참여",5성급
90,봉일시장,서울특별시 관악구 은천로 28 봉일프라자,15명 참여,시장
91,송파구횡성한우,서울특별시 송파구 오금로 113 1층,831명 참여,소고기구이
92,도봉구대문한정식,서울특별시 도봉구 시루봉로 139-6,802명 참여,한정식-일반
93,촛불1978,서울특별시 중구 소파로 95 촛불 레스토랑,"1,481명 참여",양식
94,노룬산골목시장,서울특별시 광진구 자양동 816-79,52명 참여,시장
95,평안도족발집,서울특별시 중구 장충단로 174-6,"1,505명 참여","족발,보쌈"
96,청와옥 본점,서울특별시 송파구 위례성대로 48 반도빌딩 1층,"3,767명 참여","순대,순댓국"
97,서대문구형제갈비,서울특별시 서대문구 명물1길 2,"1,001명 참여","육류,고기요리"
98,노보텔 앰배서더 강남,서울특별시 강남구 봉은사로 130,370명 참여,5성급
99,엘크레,서울특별시 강남구 도산대로15길 41 1층 엘크레,808명 참여,메이크업
100,가회민화박물관,서울특별시 종로구 북촌로 52,17명 참여,박물관
101,송화산시도삭면,서울특별시 광진구 뚝섬로27길 48,"1,353명 참여","딤섬,중식만두"
102,콘래드 서울,서울특별시 영등포구 국제금융로 10 서울 국제금융 센터,456명 참여,5성급
103,신성종합시장,서울특별시 광진구 용마산로 50,13명 참여,시장
104,참만나,서울특별시 노원구 화랑로 443 6.7디벨리움 3층,407명 참여,"육류,고기요리"
105,제일콩집,서울특별시 노원구 동일로174길 37-8,"1,523명 참여",두부요리
106,무교동 북어국집,서울특별시 중구 을지로1길 38,"2,554명 참여",해장국
107,전민규의황제누룽지탕 노원직영점,서울특별시 노원구 노해로77길 14-8,"2,220명 참여",한식
108,현대백화점 (압구정본점),서울특별시 강남구 압구정로 165 현대백화점압구정본점,705명 참여,백화점
109,WANGTHAI,서울특별시 용산구 이태원로 151,324명 참여,태국음식
110,성수살라댕템플,서울특별시 성동구 성수이로16길 32,578명 참여,양식
111,관훈동 산촌,서울특별시 종로구 인사동길 30-13,184명 참여,사찰음식
112,로씨니,서울특별시 종로구 북촌로 18,33명 참여,이탈리아음식
113,대도식당 왕십리본점,서울특별시 성동구 무학로12길 3,838명 참여,소고기구이
114,길동복조리시장,서울특별시 강동구 천호대로187길 62,100명 참여,시장
115,이비스 앰배서더 명동,서울특별시 중구 남대문로 78,88명 참여,3성급
116,산채향,서울특별시 중구 청계천로 8 프리미어플레이스,364명 참여,한식
117,사간동푸드떼,서울특별시 종로구 율곡로1길 40-37 한옥,309명 참여,"카페,디저트"
118,관훈동 한국공예관,서울특별시 종로구 인사동길 33,114명 참여,전통공예
119,네이처리퍼블릭 명동월드점,서울특별시 중구 명동8길 52,183명 참여,"화장품,향수"
120,서강대박물관,서울특별시 마포구 백범로 35 아루페관 6층,15명 참여,박물관
121,고척근린공원,서울특별시 구로구 고척로45길 39 구로구민체육센터,66명 참여,근린공원
122,JW 메리어트 동대문 스퀘어 서울,서울특별시 종로구 청계천로 279,545명 참여,5성급
123,종로구콰니,서울특별시 종로구 사직로8길 1-3,83명 참여,"가방,핸드백"
124,테크노마트,서울특별시 구로구 새말로 97,99명 참여,휴대폰
125,켄싱턴호텔 여의도,서울특별시 영등포구 국회대로76길 16,423명 참여,4성급
126,마포삼다코지,서울특별시 마포구 독막로9길 34 1층,842명 참여,카페
127,옛날집낙원아구찜,서울특별시 종로구 삼일대로 436,383명 참여,"아귀찜,해물찜"
128,영일분식,서울특별시 영등포구 도림로141가길 34-1,"1,550명 참여",종합분식
129,아재왔소,서울특별시 도봉구 도봉산4길 3-22,104명 참여,한식
130,르몽블랑,서울특별시 용산구 신흥로 99-4 1층,549명 참여,"카페,디저트"
131,대치동중앙해장,서울특별시 강남구 영동대로86길 17 육인빌딩,"3,238명 참여",해장국
132,고궁의 아침,서울특별시 종로구 창경궁로 158 고궁의아침,644명 참여,"육류,고기요리"
133,성북동돼지갈비본점,서울특별시 성북구 성북로 115,507명 참여,돼지고기구이
134,강동황도바지락칼국수,서울특별시 강동구 천호대로 1256,892명 참여,"칼국수,만두"
135,금왕돈까스,충청북도 음성군 금왕읍 금일로 27-2 해피빌1동 상가 1층,120명 참여,양식
136,운산,서울특별시 영등포구 여의공원로 101 C.C.M.M빌딩 지하1층,251명 참여,한정식-일반
137,서초구통나무집,서울특별시 서초구 헌인릉길 9 청와대산장,254명 참여,소고기구이
138,설마중,서울특별시 서초구 남부순환로 2648,486명 참여,"육류,고기요리"
139,강서도일처,서울특별시 강서구 개화동로 567,578명 참여,중식당
140,강남곰바위,서울특별시 강남구 영동대로115길 10,483명 참여,"곱창,막창,양"
141,스탠포드호텔 서울,서울특별시 마포구 월드컵북로58길 15,302명 참여,4성급
142,소공동세란안경,서울특별시 중구 을지로 30 롯데호텔 B1F,36명 참여,안경원
143,드럼통 참숯석쇠구이,서울특별시 송파구 삼학사로19길 3,268명 참여,"육류,고기요리"
144,화곡본동시장,서울특별시 강서구 까치산로 35,13명 참여,시장
145,KCDF 갤러리숍 공예정원,서울특별시 종로구 인사동11길 8,24명 참여,"미술,공예품"
146,서울청계광장,서울특별시 중구 태평로1가 1,41명 참여,광장
147,종로구밀림,서울특별시 종로구 창신6나길 17-6,939명 참여,태국음식
148,인사동 촌,서울특별시 종로구 인사동14길 19,278명 참여,한정식-일반
149,[백년가게]대호정,서울특별시 금천구 시흥대로52길 51,139명 참여,"육류,고기요리"
150,우림시장,서울특별시 중랑구 망우로62길 52-4,128명 참여,시장
151,아델라베일리,서울특별시 종로구 북악산로 48,"1,520명 참여",이탈리아음식
152,마천중앙시장,서울특별시 송파구 마천로45길 23,84명 참여,시장
153,삼대할먼네,서울특별시 중구 퇴계로76길 50,800명 참여,떡볶이
154,용산구기와,서울특별시 용산구 한강대로21나길 40 드래곤힐스파 1층 기와한정식,441명 참여,한정식-일반
155,을지다방,서울특별시 중구 을지로 124-1 2층,340명 참여,다방
