,관광지명,주소,리뷰참여인원,관광지분류명
0,금강제화 영등포본점,서울특별시 영등포구 영중로 18,103명 참여,신발
1,동림매듭공방,서울특별시 종로구 북촌로12길 10,15명 참여,박물관
2,더퍼스트스테이 호텔,서울특별시 강서구 마곡동로4길 23,111명 참여,4급
3,도넛정수 창신,서울특별시 종로구 창신12길 40,"1,188명 참여","카페,디저트"
4,티테라피,서울특별시 종로구 윤보선길 74,645명 참여,카페
5,SLP 어린이회관 눈썰매장,서울특별시 광진구 광나루로 441,750명 참여,눈썰매장
6,진옥화할매원조닭한마리,서울특별시 종로구 종로40가길 18,"3,720명 참여",닭요리
7,용산역광장,서울특별시 용산구 한강대로23길 55,79명 참여,근린공원
8,창덕궁,서울특별시 종로구 율곡로 99,753명 참여,세계문화유산
9,홍난파가옥,서울특별시 종로구 송월1길 38,12명 참여,국가유산
10,강서구 고성막국수,서울특별시 강서구 방화대로49길 6-7,465명 참여,막국수
11,에프마켓남부낚시,경기도 안양시 만안구 경수대로 1349,98명 참여,낚시
12,돌실나이 본사할인점,서울특별시 종로구 혜화로 29,31명 참여,한복
13,백인제가옥,서울특별시 종로구 북촌로7길 16,17명 참여,"문화,유적"
14,롯데백화점 본점 에비뉴엘,서울특별시 중구 남대문로 73 롯데백화점에비뉴엘,683명 참여,백화점
15,원조홍어 본점,서울특별시 영등포구 신길로 200-22,55명 참여,"해물,생선요리"
16,고려대학교서울캠퍼스아이스링크,서울특별시 성북구 안암로 145,47명 참여,아이스링크
17,메이필드호텔,서울특별시 강서구 방화대로 94,825명 참여,5성급
18,해방촌 혼고,서울특별시 용산구 신흥로 89 1층 혼고,290명 참여,"육류,고기요리"
19,해밀톤 호텔,서울특별시 용산구 이태원로 179,178명 참여,3성급
20,국립중앙박물관 어린이박물관,서울특별시 용산구 서빙고로 137 국립중앙박물관,"1,008명 참여",박물관
21,선유도공원,서울특별시 영등포구 선유로 343,67명 참여,근린공원
22,카페 할아버지공장,서울특별시 성동구 성수이로7가길 9,"2,315명 참여","카페,디저트"
23,울프강스테이크하우스,서울특별시 강남구 선릉로152길 21 영인빌딩 1층,"3,550명 참여","스테이크,립"
24,남도분식 익선점,서울특별시 종로구 수표로28길 33,706명 참여,분식
25,태극당,서울특별시 중구 동호로24길 7,"9,707명 참여",베이커리
26,수도박물관,서울특별시 성동구 왕십리로 27,10명 참여,박물관
27,낙원떡집,서울특별시 종로구 삼일대로 438,774명 참여,"떡,한과"
28,북악산,서울특별시 종로구 부암동,32명 참여,산
29,두가헌 레스토랑,서울특별시 종로구 삼청로 14,31명 참여,이탈리아음식
30,써미트 호텔 서울,서울특별시 중구 장충단로 198,41명 참여,3성급
31,RSG 성수,서울특별시 성동구 연무장15길 11 C동 110호,12명 참여,"카페,디저트"
32,포포인츠 바이 쉐라톤 조선 서울역,서울특별시 용산구 한강대로 366 포포인츠바이쉐라톤조선 서울역,485명 참여,4성급
33,창경궁 홍화문,서울특별시 종로구 창경궁로 185,90명 참여,기념물
34,금강제화 명동본점,서울특별시 중구 명동8길 30 금강제화 명동본점,96명 참여,신발
35,구로공단 노동자생활체험관,서울특별시 금천구 벚꽃로44길 17 금천 순이의 집 구로공단 노동자생활체험관,12명 참여,전시관
36,그랜드 워커힐 서울,서울특별시 광진구 워커힐로 177 그랜드워커힐 서울,"1,001명 참여",5성급
37,한국은행 화폐박물관,서울특별시 중구 남대문로 39 한국은행,13명 참여,박물관
38,관악산 호수공원,서울특별시 관악구 신림동 203,27명 참여,"도시,테마공원"
39,스미스가 좋아하는 한옥,서울특별시 종로구 삼청로 22-7,702명 참여,이탈리아음식
40,뉘조,서울특별시 종로구 인사동14길 27,145명 참여,한정식-일반
41,하나로회관,서울특별시 종로구 인사동5길 25 지하1층 하나로회관,223명 참여,한정식-일반
42,스토리지북앤필름,서울특별시 용산구 신흥로 115-1 1층,150명 참여,독립서점
43,고투몰,서울특별시 서초구 신반포로 200 고투몰,361명 참여,"상가,아케이드"
44,비스타 워커힐 서울,서울특별시 광진구 워커힐로 177 비스타 워커힐 서울,559명 참여,5성급
45,광운대학교 아이스링크,서울특별시 노원구 광운로 21,124명 참여,아이스링크
46,명동칼국수 시화점,경기도 시흥시 중심상가2길 22 로즈프라자 202호 명동칼국수,355명 참여,"칼국수,만두"
47,배재학당역사박물관,서울특별시 중구 서소문로11길 19 배재학당역사박물관,17명 참여,박물관
48,소문난성수감자탕 별관,서울특별시 성동구 연무장7길 4 해피드림,"2,048명 참여",감자탕
49,마장 축산물시장,서울특별시 성동구 마장로33길 53,70명 참여,시장
50,서울 살곶이 다리,서울특별시 성동구 성수동1가 694-124,11명 참여,보물
51,진미옥설농탕,서울특별시 송파구 가락로16길 3-12 성창빌딩 1층,486명 참여,"곰탕,설렁탕"
52,꽃새우 영번지,서울특별시 강남구 언주로 536,106명 참여,"해물,생선요리"
53,우표박물관,서울특별시 중구 소공로 70 지하2층 우표박물관,622명 참여,박물관
54,길음시장,서울특별시 성북구 동소문로 227,27명 참여,시장
55,설화수 도산 플래그십 스토어,서울특별시 강남구 도산대로45길 18,21명 참여,"화장품,향수"
56,방신재래시장,서울특별시 강서구 방화동로16길 31,33명 참여,시장
57,오목공원,서울특별시 양천구 목동서로 159-2,38명 참여,근린공원
58,다락원체육공원,서울특별시 도봉구 마들로 932 평화문화진지,22명 참여,"도시,테마공원"
59,천호공원,서울특별시 강동구 올림픽로 702 해공도서관,99명 참여,근린공원
60,서울약령시 한의약박물관,서울특별시 동대문구 약령중앙로 26,71명 참여,박물관
61,서울마리나,서울특별시 영등포구 여의서로 160,170명 참여,요트
62,롯데시티호텔 명동,서울특별시 중구 삼일대로 362,321명 참여,4성급
63,아시아공원,서울특별시 송파구 올림픽로 44,39명 참여,근린공원
64,목3동시장,서울특별시 양천구 목동중앙북로 29,77명 참여,시장
65,하모니마트 명동역점,서울특별시 중구 명동10길 58 신일빌딩별관 지하1층,86명 참여,"슈퍼,마트"
66,경희궁,서울특별시 종로구 새문안로 45 경희궁.시립미술관,39명 참여,궁궐
67,강남아르누보씨티호텔,서울특별시 서초구 서초대로74길 49,50명 참여,4급
68,가락몰,서울특별시 송파구 양재대로 932 가락동 농수산물도매시장,12명 참여,시장
69,63아트,서울특별시 영등포구 63로 50,252명 참여,아쿠아리움
70,목동종합운동장실내아이스링크,서울특별시 양천구 안양천로 939,637명 참여,아이스링크
71,오클라우드호텔,서울특별시 서초구 사평대로58길 12,33명 참여,4급
72,태릉골프장,서울특별시 노원구 동일로 986 노원프레미어스엠코 지하2층,54명 참여,스크린골프장
73,초안산캠핑장,서울특별시 노원구 마들로5가길 66-107,31명 참여,"캠핑,야영장"
74,해주냉면 본점,서울특별시 송파구 백제고분로7길 8-16,"1,542명 참여",냉면
75,충무로부산복집,서울특별시 송파구 중대로27길 9-1 동호빌딩,53명 참여,복어요리
76,평창동북악정 신관,서울특별시 종로구 평창문화로 169,583명 참여,"육류,고기요리"
77,절두산 순교성지,서울특별시 마포구 토정로 6,13명 참여,"유적지,사적지"
78,계림식당,서울특별시 종로구 돈화문로4길 39,"1,427명 참여",닭볶음탕
79,자하손만두,서울특별시 종로구 백석동길 12,"1,448명 참여",만두
80,한강공원 뚝섬 눈썰매장,서울특별시 광진구 자양동 112 뚝섬 한강공원 수영장,506명 참여,눈썰매장
81,키누카누,"서울특별시 강서구 공항대로 247 퀸즈파크나인 b103, b104호","3,086명 참여","일식,초밥뷔페"
82,힐하우스 호텔,경기도 양평군 강하면 강남로 489,507명 참여,호텔
83,청량리수산시장,서울특별시 동대문구 고산자로34길 48-1 203호,15명 참여,시장
84,라마다 호텔앤스위트 서울남대문,서울특별시 중구 칠패로 27 라마다 호텔앤스위트 남대문,89명 참여,3급
85,창경궁,서울특별시 종로구 창경궁로 185 창경궁,132명 참여,궁궐
86,방이시장,서울특별시 송파구 백제고분로48길 41,40명 참여,시장
87,황생가칼국수,서울특별시 종로구 북촌로5길 78,"4,157명 참여","칼국수,만두"
88,아모레 성수,서울특별시 성동구 아차산로11길 7 아모레성수,332명 참여,"화장품,향수"
