,관광지명,주소,리뷰참여인원,관광지분류명
89,개봉중앙시장,서울특별시 구로구 개봉로17길 34 중앙시장,20명 참여,시장
90,부민옥,서울특별시 중구 다동길 24-12,834명 참여,"육류,고기요리"
91,공릉동도깨비시장,서울특별시 노원구 동일로180길 53,47명 참여,시장
92,김가네가마솥설렁탕,서울특별시 강서구 방화동로 56 김가네설렁탕 1층,861명 참여,소고기구이
93,더리버사이드 호텔,서울특별시 서초구 강남대로107길 6 리버사이드호텔,138명 참여,3성급
94,서리풀공원,서울특별시 서초구 서초동 1005-6,13명 참여,근린공원
95,동작노을카페,서울특별시 동작구 동작대로 335,58명 참여,"카페,디저트"
96,영등포전통시장,서울특별시 영등포구 영등포동5가 33-29,80명 참여,시장
97,비언유주얼,서울특별시 강남구 선릉로108길 5 지하1층,436명 참여,양식
98,대신시장,서울특별시 영등포구 도신로60길 7,27명 참여,시장
99,"조선 팰리스 서울 강남, 럭셔리 컬렉션 호텔",서울특별시 강남구 테헤란로 231 센터필드타워 웨스트동,444명 참여,5성급
100,레스케이프 호텔 (L’Escape Hotel),서울특별시 중구 퇴계로 67,609명 참여,4성급
101,청송옥,서울특별시 중구 서소문로11길 14,349명 참여,국밥
102,신문박물관,"서울특별시 종로구 세종대로 152 일민미술관건물 5층, 6층",28명 참여,박물관
103,신세계백화점 (본점),서울특별시 중구 소공로 63 신세계백화점본점,"1,228명 참여",백화점
104,다비치안경 (명동점),서울특별시 중구 소공로 62,812명 참여,안경원
105,코코넛박스,서울특별시 마포구 홍익로3길 20 지하 2층,"4,428명 참여","카페,디저트"
106,코트야드 메리어트 서울 남대문,서울특별시 중구 남대문로 9 코트야드 메리어트 서울 남대문 호텔,102명 참여,4성급
107,동방명주 충무로점,서울특별시 중구 퇴계로 186,524명 참여,중식당
108,프레이저 플레이스 센트럴 서울,서울특별시 중구 통일로 78 프레이저 플레이스 센트럴,178명 참여,4성급
109,한국전통관광명품점,서울특별시 종로구 인사동길 9,80명 참여,전통공예
110,망우 역사 문화공원,서울특별시 중랑구 망우로91길 2,39명 참여,테마공원
111,아름다운 차박물관,서울특별시 종로구 인사동길 19-11,230명 참여,박물관
112,수성동계곡,서울특별시 종로구 옥인동 185-3,22명 참여,계곡
113,남평화상가,서울특별시 중구 장충단로 282-10 남평화시장,126명 참여,시장
114,소선재,서울특별시 종로구 삼청로 113-1 소선재,283명 참여,한식
