,관광지명,주소,리뷰참여인원,관광지분류명
0,동대문역사문화공원,서울특별시 중구 신당동 853,56명 참여,"도시,테마공원"
1,서울식물원,서울특별시 강서구 마곡동로 161 서울식물원,"5,204명 참여","식물원,수목원"
2,N서울타워,서울특별시 용산구 남산공원길 105,"5,100명 참여",전망대
3,서울숲,서울특별시 성동구 뚝섬로 273,258명 참여,"숲,숲길"
4,경복궁,서울특별시 종로구 사직로 161 경복궁,"1,202명 참여",궁궐
5,롯데월드 어드벤처,서울특별시 송파구 올림픽로 240,"15,214명 참여",테마파크
6,창덕궁,서울특별시 종로구 율곡로 99,753명 참여,세계문화유산
7,덕수궁,서울특별시 중구 세종대로 99 덕수궁,436명 참여,궁궐
8,선정릉,서울특별시 강남구 선릉로100길 1 선릉정릉,43명 참여,세계문화유산
9,롯데월드타워 서울스카이,서울특별시 송파구 올림픽로 300 117~123층,"11,594명 참여",전망대
10,마포구하늘공원,서울특별시 마포구 하늘공원로 95,681명 참여,"자연,생태공원"
11,동대문종합시장,서울특별시 종로구 종로 272 동대문종합시장 신관,41명 참여,시장
12,북촌한옥마을,서울특별시 종로구 계동길 37,56명 참여,지역명소
13,낙산공원,서울특별시 종로구 낙산길 41,93명 참여,근린공원
14,국립중앙박물관,서울특별시 용산구 서빙고로 137 국립중앙박물관,"1,296명 참여",박물관
15,광화문,서울특별시 종로구 효자로 12 국립고궁박물관,141명 참여,기념물
17,창경궁,서울특별시 종로구 창경궁로 185 창경궁,132명 참여,궁궐
18,스타필드 코엑스몰,서울특별시 강남구 봉은사로 524,"1,892명 참여",쇼핑복합시설
19,석촌호수,서울특별시 송파구 잠실동,279명 참여,"호수,연못,저수지"
20,화랑대 철도공원,서울특별시 노원구 공릉동 29-51,51명 참여,"도시,테마공원"
21,청계천,서울특별시 종로구 창신동,161명 참여,"강,하천"
22,서래마을,서울특별시 서초구 반포4동,104명 참여,체험마을
23,경희궁,서울특별시 종로구 새문안로 45 경희궁.시립미술관,39명 참여,궁궐
24,서울로 7017,서울특별시 중구 청파로 432,23명 참여,도보코스
25,돈의문박물관마을,서울특별시 종로구 송월길 14-3,45명 참여,체험마을
26,덕수궁 돌담길,서울특별시 중구 세종대로19길 24 영국대사관,22명 참여,도보코스
27,망원시장,서울특별시 마포구 포은로6길 27 1층,118명 참여,시장
