관광지명,주소,리뷰참여인원,관광지분류명
도원스타일,서울특별시 강동구 천호대로 1005 현대백화점 천호점 12층 도원스타일 천호점,272명 참여,중식당
비비브라운,서울특별시 강남구 도산대로 412 1층 카페 비비브라운,209명 참여,카페
이끼롤까스 가로수길,서울특별시 강남구 강남대로152길 64 지하1층,578명 참여,돈가스
1940금문,서울특별시 종로구 창경궁로 269-1 1940금문,122명 참여,중식당
코끼리베이글,서울특별시 영등포구 선유로 176 코끼리베이글,"4,678명 참여",베이글
알페도,서울특별시 용산구 이태원로 174 1층 4-5호,"1,627명 참여",베이커리
통일집,서울특별시 중구 마른내로4길 31-3 통일집,26명 참여,소고기구이
아야진생태찌개 본점,서울특별시 강남구 삼성로108길 8 써지쿨빌딩,252명 참여,"매운탕,해물탕"
트리아 관광호텔,서울특별시 강남구 테헤란로33길 16 트리아관광호텔,12명 참여,2성급
히라메키,서울특별시 강남구 테헤란로81길 32,123명 참여,일식당
하단,서울특별시 성북구 성북로6길 14,187명 참여,이북음식
새만포면옥,서울특별시 은평구 연서로 171 백년가게 만포면옥,605명 참여,냉면
플랫폼 플레이스(한남점),서울특별시 용산구 이태원로 268,39명 참여,캐주얼웨어
브릿지안경,서울특별시 강남구 압구정로 132 1층,49명 참여,안경원
한국금융사박물관,서울특별시 중구 세종대로 135-5 한국금융사박물관,10명 참여,박물관
황토추어탕,서울특별시 강동구 성안로 7-12 경일빌딩,456명 참여,추어탕
해담채 삼성점,서울특별시 강남구 테헤란로 504 해성1빌딩 지하1층,457명 참여,해담채
까사빠보,서울특별시 중구 소공로 63 본관 6층,777명 참여,일식당
포포인츠 바이 쉐라톤 조선 서울역 더 이터리,서울특별시 용산구 한강대로 366 포포인츠 바이 쉐라톤 조선 서울역,780명 참여,뷔페
신촌 시스터즈,서울특별시 마포구 백범로2길 24,15명 참여,게스트하우스
오양회참치 광화문본점,서울특별시 중구 세종대로21길 49 오양회참치,156명 참여,생선회
h450,서울특별시 강남구 압구정로29길 21 문화센터 건물 1층,260명 참여,양식
에프호텔,서울특별시 영등포구 경인로108길 8 F호텔,53명 참여,3급
파로스관광호텔,서울특별시 송파구 올림픽로10길 5,26명 참여,3성급
