관광지명,주소,리뷰참여인원,관광지분류명
골목집,서울특별시 영등포구 도림로139가길 11-1 1층 골목집,"1,726명 참여",오리요리
카페 모뜨,서울특별시 종로구 평창30길 24,179명 참여,이탈리아음식
셀프하우스,서울특별시 강동구 올림픽로 572 코오롱 2차 아파트 101동 107호,874명 참여,종합분식
코트야드 바이 메리어트 서울타임스퀘어,서울특별시 영등포구 영중로 15 타임스퀘어,"1,684명 참여",4성급
암사선사유적박물관,서울특별시 강동구 올림픽로 875,178명 참여,"유적지,사적지"
삼성 빨간양념 숯불구이,서울 중구 남대문로1길 39,253명 참여,"육류,고기요리"
모닥불,서울특별시 마포구 동교로46길 24-4 1층,113명 참여,양식
진남포면옥,서울특별시 중구 다산로 108,422명 참여,막국수
성북동집,서울특별시 성북구 성북로24길 4 성북동집,499명 참여,"칼국수,만두"
카카오프렌즈 강남 플래그십 스토어,서울특별시 서초구 강남대로 429 유창빌딩 1~2층,"1,130명 참여","문구,팬시용품"
헬로애니멀,서울특별시 도봉구 마들로 650 도봉월드상가 1층 119호,254명 참여,동물원
삿뽀로 목동점,서울특별시 양천구 목동동로 189,674명 참여,일식당
롯데시티호텔 김포공항,서울특별시 강서구 하늘길 38 국제선청사,175명 참여,3성급
사당시장,서울특별시 동작구 사당로 244,107명 참여,"상가,아케이드"
갓잇(god eat),서울특별시 종로구 북촌로2길 5-5 1층,"1,396명 참여","멕시코,남미음식"
내자상회,서울특별시 종로구 사직로10길 3 1층,562명 참여,"카페,디저트"
우리강산,서울특별시 송파구 위례성대로12길 6,149명 참여,"육류,고기요리"
방이샤브샤브칼국수 방이본점,서울특별시 송파구 오금로31길 42,818명 참여,샤브샤브
자원대구탕,서울특별시 용산구 한강대로62가길 6 자원대구탕,300명 참여,"해물,생선요리"
정감어린,서울특별시 용산구 후암로 4 정감어린,651명 참여,"육류,고기요리"
전주회관,서울특별시 중구 세종대로14길 32-1,152명 참여,"육류,고기요리"
우정낙지,서울특별시 종로구 삼일대로17길 46 2층 우정낙지,223명 참여,낙지요리
낙원(메이필드호텔),서울특별시 강서구 방화대로 94 메이필드호텔 낙원,77명 참여,"육류,고기요리"
미우미우참숯구이,서울특별시 송파구 양재대로71길 2-27 인택파크랜드 2층,69명 참여,"육류,고기요리"
용금옥,서울특별시 중구 다동길 24-2,249명 참여,"해물,생선요리"
