언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
중번체,종로구,서울특별시,東大門文具玩具街 (동대문 문구완구거리),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1221352,인문(문화/예술/역사),체험관광지,이색거리,3917
중번체,중구,서울특별시,東大門歷史文化公園 (동대문역사문화공원),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1964046,인문(문화/예술/역사),휴양관광지,공원,3547
중번체,종로구,서울특별시,三?洞街 (삼청동길),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332701,인문(문화/예술/역사),체험관광지,이색거리,3482
중번체,마포구,서울특별시,KT&G想像庭院(弘大) (KT&G 상상마당(홍대)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=748974,인문(문화/예술/역사),문화시설,공연장,3318
중번체,강남구,서울특별시,Starfield COEX MALL(스타필드 코엑스몰),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1985021,쇼핑,쇼핑,전문매장/상가,3216
중번체,마포구,서울특별시,弘大 (홍대),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=786243,인문(문화/예술/역사),산업관광지,기타,3195
중번체,용산구,서울특별시,梨泰院觀光特區 (이태원 관광특구),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332481,인문(문화/예술/역사),휴양관광지,관광단지,3131
중번체,종로구,서울특별시,??ユ?遺?珥? 8寃,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=2541927,인문(문화/예술/역사),역사관광지,민속마을,3083
중번체,중구,서울특별시,?掠긺邕?(⑥?耳?대移,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=866221,인문(문화/예술/역사),체험관광지,이색체험,3079
중번체,중구,서울특별시,?掠긷?у??(腰?(⑥?곌났?(?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332436,인문(문화/예술/역사),휴양관광지,공원,2802
중번체,중구,서울특별시,明洞 (명동),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332482,인문(문화/예술/역사),산업관광지,기타,2798
중번체,종로구,서울특별시,???兩ｅ愿??臾멸,https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=841401,인문(문화/예술/역사),휴양관광지,공원,2665
중번체,종로구,서울특별시,光化門 (광화문),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332511,인문(문화/예술/역사),역사관광지,문,2646
중번체,중구,서울특별시,樂天免稅店 (總店)(롯데면세점 (본점)),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333561,쇼핑,쇼핑,면세점,2633
중번체,용산구,서울특별시,?塋?訝ㄾ?⑶ㄸ(援┰以??諛?臾쇨),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333033,인문(문화/예술/역사),문화시설,박물관,2624
중번체,송파구,서울특별시,腰?양???뜹泳????(?몄⑹?대??ㅼ⑹?대??),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1144016,레포츠,육상 레포츠,수련시설,2546
중번체,용산구,서울특별시,Blue Square (블루스퀘어),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1465630,인문(문화/예술/역사),문화시설,공연장,2539
중번체,용산구,서울특별시,戰爭紀念館 (전쟁기념관),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333022,인문(문화/예술/역사),문화시설,기념관,2520
중번체,중구,서울특별시,?域?(紐??),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332482,인문(문화/예술/역사),체험관광지,이색체험,2509
중번체,종로구,서울특별시,駱山公園 (낙산공원),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332702,인문(문화/예술/역사),휴양관광지,공원,2507
중번체,중구,서울특별시,明洞餃子(명동교자),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=936544,음식,음식점,한식,2494
중번체,중구,서울특별시,明洞亂打劇場 (명동난타극장),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=657565,인문(문화/예술/역사),문화시설,공연장,2288
중번체,성동구,서울특별시,馬場畜?品市場(마장 축산물시장),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1799027,쇼핑,쇼핑,상설시장,2122
중번체,중구,서울특별시,孃룟＝若?녕??瓮??沅? ?닿만),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1817567,인문(문화/예술/역사),체험관광지,이색거리,2076
중번체,중구,서울특별시,南大門市場(남대문시장),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333519,쇼핑,쇼핑,상설시장,2070
중번체,종로구,서울특별시,?뜹(李쎄꼍沅?),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332562,인문(문화/예술/역사),역사관광지,고궁,1972
중번체,성동구,서울특별시,首爾林(서울숲),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=937591,인문(문화/예술/역사),휴양관광지,공원,1970
중번체,종로구,서울특별시,宗廟 [UNESCO世界文化遺?] (종묘 [유네스코 세계문화유산]),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=332590,인문(문화/예술/역사),역사관광지,유적지/사적지,1837
중번체,강서구,서울특별시,金浦機場樂天購物中心(롯데몰 김포공항),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=1719559,쇼핑,쇼핑,전문매장/상가,1770
중번체,종로구,서울특별시,腰?얏꿨??⑶ㄸ(?몄??щ臾쇨),https://big5chinese.visitkorea.or.kr/cht/ATT/3_2_view.jsp?cid=333086,인문(문화/예술/역사),문화시설,박물관,1742
