언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,송파구,서울특별시,Lotte World Indoor Ice Skating Rink (롯데월드 아이스링크 (실내)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=266850,레포츠,육상 레포츠,스케이트,3088
영어권,중구,서울특별시,Lotte Duty Free Shop - Main Branch (濡?곕㈃몄? (蹂몄?)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273801,쇼핑,쇼핑,면세점,3073
영어권,성동구,서울특별시,Hangang River (한강),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1887247,자연,자연관광지,자연생태관광지,3065
영어권,중구,서울특별시,The Korea House (한국의집),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=349052,음식,음식점,한식,2993
영어권,강남구,서울특별시,Kukkiwon (World Taekwondo Headquarters) (국기원(세계태권도본부)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=616931,인문(문화/예술/역사),문화시설,문화전수시설,2990
영어권,종로구,서울특별시,"Kyobo Bookstore Co._ Ltd. ((二 援?蹂대Ц怨)",https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268095,인문(문화/예술/역사),문화시설,대형서점,2970
영어권,종로구,서울특별시,Dongdaemun Stationery Store Street (??臾臾멸뎄?援ш굅由,https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1241248,인문(문화/예술/역사),체험관광지,이색거리,2884
영어권,강서구,서울특별시,Lotte Mall - Gimpo Airport Branch (롯데몰 김포공항점),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1540017,쇼핑,쇼핑,전문매장/상가,2829
영어권,종로구,서울특별시,King Sejong Statue (몄?? ??),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1382671,인문(문화/예술/역사),건축/조형물,동상,2819
영어권,강남구,서울특별시,Hyundai Department Store - COEX Branch (??諛깊??? (臾댁??쇳?곗?)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273771,쇼핑,쇼핑,백화점,2815
영어권,강남구,서울특별시,Seolleung and Jeongneung Royal Tombs [UNESCO World Heritage] (?由?(깆怨????)怨?由?(以?醫?) [ㅼ?ㅼ 멸臾명??),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264106,인문(문화/예술/역사),역사관광지,유적지/사적지,2769
영어권,중구,서울특별시,Doota (두산타워),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=273757,쇼핑,쇼핑,전문매장/상가,2731
영어권,서초구,서울특별시,National Gugak Center (국립국악원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268140,인문(문화/예술/역사),문화시설,문화전수시설,2700
영어권,중구,서울특별시,Deoksugung Stone Wall Path (??沅? ?닿만),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1748351,인문(문화/예술/역사),체험관광지,이색거리,2690
영어권,중구,서울특별시,Deoksugung Palace Royal Guard Changing Ceremony (덕수궁 왕궁수문장교대의식),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=292962,인문(문화/예술/역사),공연/행사,전통공연,2679
영어권,종로구,서울특별시,"National Museum of Modern and Contemporary Art_ Seoul [MMCA Seoul] (援┰??誘몄?愿? ?멸)",https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1934745,인문(문화/예술/역사),문화시설,미술관/화랑,2663
영어권,광진구,서울특별시,Riverside Spa Land (강변스파랜드),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=669211,인문(문화/예술/역사),휴양관광지,이색찜질방,2622
영어권,종로구,서울특별시,Inwangsan Mountain (몄??,https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1348417,자연,자연관광지,산,2606
영어권,송파구,서울특별시,Seoul Sports Complex (Jamsil Sports Complex) (?몄⑹?대??ㅼ⑹?대??),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1105499,레포츠,육상 레포츠,수련시설,2522
영어권,종로구,서울특별시,Museum Kimchikan (裕ㅼ? 源?移?媛?),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2490739,인문(문화/예술/역사),산업관광지,기타,2515
