시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
종로구,서울특별시,인사동,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3259a90d-1924-43c6-b333-df502374b491,인문(문화/예술/역사),체험관광지,이색체험,19435
용산구,서울특별시,남산서울타워,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ad931739-fca3-4135-a878-cc7fb82920ba,인문(문화/예술/역사),건축/조형물,유명건물,12582
성동구,서울특별시,서울숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=02f56ab2-5e53-470f-8ec3-95cf8fb88aa4,자연,자연관광지,자연생태관광지,11789
중구,서울특별시,동대문디자인플라자(DDP),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=758fb4e9-533f-4636-8753-73b8d059c54d,인문(문화/예술/역사),산업관광지,기타,9849
영등포구,서울특별시,문래창작촌,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09ac0d91-86b9-4f7b-a93f-807e50713362,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,8657
종로구,서울특별시,익선동,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=50e4fc9c-5736-4d86-a668-527b4c6c752d,인문(문화/예술/역사),체험관광지,이색체험,8325
강북구,서울특별시,삼각산,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bacf70d2-0022-4e01-8805-40c752c9f8c0,자연,자연관광지,산,8183
성북구,서울특별시,길상사(서울),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1a007b60-c892-46c3-94dc-c7051ac9fa4f,인문(문화/예술/역사),역사관광지,사찰,8053
송파구,서울특별시,롯데월드타워 서울스카이,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7e26f7f5-dde8-4eab-b2e9-42d6d37aded1,인문(문화/예술/역사),건축/조형물,유명건물,7932
중구,서울특별시,명동,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6a7ed3b6-0be8-48fd-8786-6ef63e171f35,인문(문화/예술/역사),체험관광지,이색체험,7860
종로구,서울특별시,동대문 종합시장·동대문 쇼핑타운,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=af0684ec-d924-4889-89e1-9969f6ce4ce7,쇼핑,쇼핑,상설시장,7791
종로구,서울특별시,경복궁,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=443caffd-74a6-4713-ba02-4b5520ef7e62,인문(문화/예술/역사),역사관광지,고궁,7659
중구,서울특별시,동대문역사문화공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bd0eb20b-86a9-46ef-8a92-6f3d8264cbba,인문(문화/예술/역사),휴양관광지,공원,7574
중구,서울특별시,덕수궁,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e413abf3-f8a7-486d-95fd-4fb12598aefc,인문(문화/예술/역사),역사관광지,고궁,7070
종로구,서울특별시,그라운드시소 서촌,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=61e12ecd-58f4-46cb-bf2c-73f4323be4cf,인문(문화/예술/역사),문화시설,전시관,6921
마포구,서울특별시,AK&홍대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3e36b7ef-99ba-4e94-a278-1b1df7fdab3a,쇼핑,쇼핑,전문매장/상가,6789
종로구,서울특별시,서촌마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1cfbbc9e-0e57-41e0-a603-f0fb474f4b7b,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,6356
마포구,서울특별시,홍대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cde3497b-dcdc-4dd5-b941-38a69b88d9cc,인문(문화/예술/역사),체험관광지,이색체험,6118
노원구,서울특별시,화랑대 철도공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=82a9679e-0eb8-4539-9785-afa32bd1b649,인문(문화/예술/역사),휴양관광지,공원,6082
강서구,서울특별시,서울식물원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=309a0548-b732-4f85-8c2f-e45971f30df2,자연,자연관광지,수목원,6048
종로구,서울특별시,서울 동대문 닭한마리 골목,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0a88e843-d01e-4154-9cd5-2f1488d49c53,인문(문화/예술/역사),체험관광지,이색거리,5423
종로구,서울특별시,창경궁,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8198c334-6d6c-4d87-bdc6-5625b772cc59,인문(문화/예술/역사),역사관광지,고궁,5239
중구,서울특별시,하이커 그라운드,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=13118897-962b-4fe3-b8fb-7550f1ae182d,인문(문화/예술/역사),문화시설,컨벤션센터,5231
종로구,서울특별시,광화문,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c501d3be-ba99-4a5b-b26c-abebf04eabe9,인문(문화/예술/역사),역사관광지,문,5189
성동구,서울특별시,성수연방,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7fbf0b20-25ca-4040-89ae-33592137bb4e,인문(문화/예술/역사),체험관광지,이색체험,5137
종로구,서울특별시,서울공예박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4fe96029-fd94-4232-bb02-e22798f87dcc,인문(문화/예술/역사),문화시설,박물관,4943
서초구,서울특별시,서래마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e3d5a4e3-bdda-4e23-8fed-f15c5116ddd8,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,4891
종로구,서울특별시,한국교회 100주년 기념관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5cd5bc19-43d8-4200-9c2f-de3a094c20c6,인문(문화/예술/역사),역사관광지,종교성지,4865
영등포구,서울특별시,이랜드크루즈 (한강유람선),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4bfe10b7-874c-4f34-a0ca-9f55913926f0,인문(문화/예술/역사),휴양관광지,유람선/잠수함관광,4806
송파구,서울특별시,송파책박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=214c2dff-3bbe-4fb0-9af9-93b3168dafd3,인문(문화/예술/역사),문화시설,박물관,4714
종로구,서울특별시,학전블루 소극장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=31f3b121-f574-4459-b68e-f0ed2d81b8e9,인문(문화/예술/역사),문화시설,공연장,4699
중구,서울특별시,손기정문화도서관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0c93f6a7-c02c-4db3-a905-15096274c934,인문(문화/예술/역사),문화시설,도서관,4599
종로구,서울특별시,종로3가 귀금속 전문상가,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bc75abe8-11a3-41d7-9c01-0d35654c87a3,쇼핑,쇼핑,전문매장/상가,4460
종로구,서울특별시,서울 한양도성(스탬프투어),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=08632d88-1fe7-40c4-8815-fceaa6ae6416,레포츠,육상 레포츠,트래킹,4391
종로구,서울특별시,창덕궁과 후원 [유네스코 세계문화유산],https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e06275fd-e065-4c90-806e-cbe5c1ba44e6,인문(문화/예술/역사),역사관광지,고궁,4374
용산구,서울특별시,국립중앙박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0363da87-ef3b-4c21-8508-34f70dda31fb,인문(문화/예술/역사),문화시설,박물관,4371
중구,서울특별시,덕수궁 돌담길,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8c1193de-d9f3-4432-a5b7-dfe6f6d3481f,인문(문화/예술/역사),체험관광지,이색거리,4141
종로구,서울특별시,낙산공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3c98e24b-9fb9-4ecf-b8a2-f26a5890748f,인문(문화/예술/역사),휴양관광지,공원,4014
서대문구,서울특별시,서대문자연사박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0047b203-d422-492e-bbe1-1554de519405,인문(문화/예술/역사),문화시설,박물관,3853
용산구,서울특별시,이태원 관광특구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=62ba6c16-3fe7-4e50-8299-abcf55c862c2,인문(문화/예술/역사),휴양관광지,관광단지,3684
송파구,서울특별시,롯데월드 어드벤처,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=78a00ac3-ad3c-4637-8629-48aefb22a79b,인문(문화/예술/역사),휴양관광지,테마공원,3622
마포구,서울특별시,경의선숲길(연트럴파크),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e7d38413-d50f-4224-8708-55d436ea4e61,레포츠,육상 레포츠,트래킹,3574
마포구,서울특별시,하늘공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c8cdaa17-55fb-4340-b15a-4401cb8b4635,인문(문화/예술/역사),휴양관광지,공원,3568
종로구,서울특별시,경희궁,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a82d1e7d-95bc-4a17-ac4d-6beee6b3e716,인문(문화/예술/역사),역사관광지,고궁,3535
