언어명,시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
일본어,송파구,서울특별시,ソウル?合運動場（?室?合運動場）（서울종합운동장（잠실종합운동장））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1120519,레포츠,육상 레포츠,수련시설,1308
일본어,종로구,서울특별시,東大門?合市場?ショッピングタウン（동대문 종합시장·동대문 쇼핑타운）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=292054,쇼핑,쇼핑,상설시장,1291
일본어,송파구,서울특별시,ゃ?ゃ?녈????у??竊?щ┝쎄났?竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=644281,인문(문화/예술/역사),휴양관광지,공원,1236
일본어,강남구,서울특별시,COEXアクアリウム（코엑스 아쿠아리움）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=734521,인문(문화/예술/역사),휴양관광지,테마공원,1203
일본어,금천구,서울특별시,?ゃ?ゃ?㏂?╉??с???竊?留?由ъ??몃?竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=727121,쇼핑,쇼핑,전문매장/상가,1181
일본어,송파구,서울특별시,????쇈?ャ??욍??쇽????쇈?ャ??㏂?쇈?ワ濡?곗?????&濡?곗???紐곤,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2003917,인문(문화/예술/역사),건축/조형물,유명건물,1170
일본어,강남구,서울특별시,Coexア?ティウム（코엑스아티움）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1021991,인문(문화/예술/역사),문화시설,공연장,1164
일본어,성동구,서울특별시,漢江（한강）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1983661,자연,자연관광지,강,1133
일본어,종로구,서울특별시,陳玉華ハルメ元祖タッカンマリ（진옥화할매원조닭한마리）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1348481,음식,음식점,한식,1126
일본어,종로구,서울특별시,忠武公 李舜臣銅像（충무공 이순신 동상）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1953384,인문(문화/예술/역사),건축/조형물,동상,1102
일본어,종로구,서울특별시,??域?竊?듭??竊?,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=2652590,인문(문화/예술/역사),체험관광지,이색체험,1095
일본어,광진구,서울특별시,パラダイスカジノ ウォ?カ?ヒル（파라다이스 카지노 워커힐）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282207,레포츠,육상 레포츠,카지노,1092
일본어,용산구,서울특별시,ブル?スクエア（블루스퀘어）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1990100,인문(문화/예술/역사),문화시설,공연장,1071
일본어,서대문구,서울특별시,?立門（독립문）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281146,인문(문화/예술/역사),역사관광지,문,1066
일본어,중구,서울특별시,ソウル市立美術館（西小門本館）（서울시립미술관（서소문본관））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=282330,인문(문화/예술/역사),문화시설,미술관/화랑,1038
일본어,송파구,서울특별시,シャルロッテシアタ?（샤롯데씨어터）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1144644,인문(문화/예술/역사),문화시설,공연장,1018
일본어,서초구,서울특별시,セビッソム（세빛섬（some sevit））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=987681,자연,자연관광지,자연생태관광지,1012
일본어,종로구,서울특별시,???佯?댐愿??臾멸ο,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=901797,인문(문화/예술/역사),휴양관광지,공원,1005
일본어,종로구,서울특별시,曹?寺（ソウル）（조계사（서울））,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=281144,인문(문화/예술/역사),역사관광지,사찰,985
일본어,강서구,서울특별시,ロッテモ?ル金浦空港（롯데몰 김포공항）,https://japanese.visitkorea.or.kr/jpn/TMC/TE_JA_7_1_1.jsp?cid=1539299,쇼핑,쇼핑,전문매장/상가,954
