순위,업소명,주소,분류
1,스타벅스더북한산점,서울 은평구 대서문길 24-11,카페/찻집
2,이디야커피랩,서울 강남구 논현로 636-0,카페/찻집
3,또순이네,서울 영등포구 선유로47길 16-0,한식
4,소문난성수감자탕본관,서울 성동구 연무장길 45-0,한식
5,영동설렁탕,서울 서초구 강남대로101안길 24-0,한식
6,삼원가든본점,서울 강남구 언주로 835-0,한식
7,우래옥본점,서울 중구 창경궁로 62-29,한식
8,쿠우쿠우상봉점,서울 중랑구 망우로 316-0,전문음식
9,맥도날드송파잠실DT점,서울 송파구 도곡로 434-0,간이음식
10,새벽집청담동점,서울 강남구 도산대로101길 6-0,한식
11,강강술래상계점,서울 노원구 동일로 1628-0,한식
12,맥도날드서울둔촌DT점,서울 강동구 양재대로 1382-0,간이음식
13,마복림떡볶이,서울 중구 다산로35길 5-0,간이음식
14,신당동떡볶이타운,서울 중구,음식점기타
15,맥도날드청담DT점,서울 강남구 도산대로 407-0,간이음식
16,방이맛골,서울 송파구,음식점기타
17,토속촌삼계탕,서울 종로구 자하문로5길 5-0,한식
18,진미평양냉면,서울 강남구 학동로 305-3,한식
19,삼청동수제비본점,서울 종로구 삼청로 101-1,한식
20,RSG성수,서울 성동구 연무장15길 11-0,카페/찻집
21,영천영화청담점,서울 강남구 도산대로90길 3-0,한식
22,런던베이글뮤지엄도산점,서울 강남구 언주로168길 33-0,간이음식
23,쿠우쿠우보라매공원점,서울 동작구 보라매로5가길 16-0,전문음식
24,맥도날드양평SK DT점,서울 영등포구 선유로 195-0,간이음식
25,맥도날드양재SK DT점,서울 서초구 바우뫼로 178-0,간이음식
26,맥도날드등촌DT점,서울 강서구 양천로 546-0,간이음식
27,함경도찹쌀순대,서울 송파구 송파대로28길 32-0,한식
28,청와옥본점,서울 송파구 위례성대로 48-0,한식
29,압구정공주떡,서울 강남구 논현로161길 10-0,간이음식
30,아이러브신당동,서울 중구 퇴계로76길 50-0,간이음식
31,원조남산돈까스,서울 중구 소파로 23-0,전문음식
32,원조호수삼계탕본점,서울 영등포구 도림로 276-0,한식
33,스타벅스연희DT점,서울 서대문구 연희로 144-0,카페/찻집
34,임병주산동손칼국수,서울 서초구 강남대로37길 65-0,한식
35,중앙해장삼성본점,서울 강남구 영동대로86길 17-0,한식
36,강강술래역삼점 [한식],서울 강남구 논현로 325-0,한식
37,감나무집기사식당,서울 마포구 연남로 23-0,한식
38,스타벅스구의DT점,서울 광진구 광나루로 519-0,카페/찻집
39,스타벅스서울웨이브아트센터점,서울 서초구 잠원로 145-35,카페/찻집
40,진주집,서울 영등포구 국제금융로6길 33-0,한식
41,필동면옥,서울 중구 서애로 26-0,한식
42,대도식당왕십리본점,서울 성동구 무학로12길 3-0,한식
43,강강술래신림점,서울 관악구 남부순환로 1660-0,한식
44,스타벅스송파나루역DT점,서울 송파구 오금로 142-0,카페/찻집
45,스타벅스망원한강공원점,서울 마포구 마포나루길 407-0,카페/찻집
46,강강술래당산점,서울 영등포구 선유로 251-0,한식
47,패션5,서울 용산구 이태원로 272-0,카페/찻집
48,키누카누,서울 강서구 공항대로 247-0,외국식
49,스타벅스강동구청DT점,서울 강동구 성내로 32-0,카페/찻집
50,을밀대본점,서울 마포구 숭문길 24-0,한식
51,우정,서울 중구 퇴계로76길 55-0,간이음식
52,유림강서점,서울 강서구 공항대로71길 5-0,한식
53,더메이드뷔페,서울 강서구 마곡중앙6로 21-0,전문음식
54,진주회관,서울 중구 세종대로11길 26-0,한식
55,스케줄청담,서울 강남구 선릉로152길 37-0,전문음식
56,맥도날드삼성DT점,서울 강남구 봉은사로 432-0,간이음식
57,아웃백스테이크하우스잠실점,서울 송파구 송파대로 466-0,전문음식
58,송림식당[한식],서울 광진구 자양번영로 79-0,한식
59,101번지남산돈까스본점,서울 중구 소파로 101-0,전문음식
60,돈까스잔치동빙고점,서울 용산구 서빙고로 297-0,전문음식
61,애플하우스이수점,서울 동작구 동작대로27다길 29-0,간이음식
62,봉피양방이점,서울 송파구 양재대로71길 1-4,한식
63,맥도날드서울시흥DT점,서울 금천구 시흥대로 184-0,간이음식
64,성북동면옥집,서울 성북구 대사관로 40-0,한식
65,스타벅스공릉DT점,서울 노원구 동일로 1015-0,카페/찻집
66,63뷔페파빌리온,서울 영등포구 63로 50-0,전문음식
67,피자힐,서울 광진구 워커힐로 177-0,간이음식
68,오장동함흥냉면,서울 중구 마른내로 108-0,한식
69,한우리본점,서울 강남구 도산대로 304-0,한식
70,청와옥양재직영점,서울 서초구 강남대로8길 3-0,한식
71,더숲초소책방,서울 종로구 인왕산로 172-0,카페/찻집
72,빽다방용산국방부점,서울 용산구 이태원로4길 14-0,카페/찻집
73,공항칼국수,서울 강서구 공항대로 18-1,한식
74,명동교자본점,서울 중구 명동10길 29-0,한식
75,장꼬방묵은김치찌개전문,서울 서초구 효령로 364-0,한식
76,맥도날드종암SK DT점,서울 성북구 종암로 58-0,간이음식
77,스타벅스종암DT점,서울 성북구 종암로 17-0,카페/찻집
78,울프강스테이크하우스,서울 강남구 선릉로152길 21-0,전문음식
79,스타벅스방화DT점,서울 강서구 방화대로 375-0,카페/찻집
80,맥도날드가락DT점,서울 송파구 동남로 196-0,간이음식
81,맥도날드상계DT점,서울 노원구 동일로 1612-0,간이음식
82,하누소창동본점,서울 도봉구 노해로 327-0,한식
83,스타벅스신정DT점,서울 양천구 신월로 341-0,카페/찻집
84,유천냉면본점,서울 송파구 강동대로3길 22-0,한식
85,몽중헌청담점 [중식],서울 강남구 도산대로 445-0,외국식
