,Attraction,Subclass,Address,Participants
672,바바인디아 강남역점,인도음식,서울특별시 서초구 강남대로 359 도씨에빛 2차,319
673,서울리즘,바(BAR),서울특별시 송파구 백제고분로 435 예스빌딩 6층,306
674,홍능갈비집본점,"육류,고기요리",서울특별시 동대문구 제기로 85,402
675,곰국시집,국수,서울특별시 중구 무교로 24 2층,498
676,까델루뽀,이탈리아음식,서울특별시 종로구 자하문로16길 5-5,238
677,이강순실비집,낙지요리,서울특별시 종로구 청계천로 75-1 본점이강순실비집,277
678,영등포복집,복어요리,서울특별시 영등포구 영등포로42길 10-1 영등포복집,209
679,상인정신,요리주점,서울특별시 종로구 새문안로5길 11-1 2층,128
680,늘푸른식당,요리주점,서울특별시 마포구 굴레방로9길 3 1층 늘푸른식당,121
681,홍원,중식당,서울특별시 마포구 백범로 23 거구장예식장,77
682,더 킹스,뷔페,서울특별시 중구 동호로 287 앰배서더 서울 풀만 호텔 1층,555
683,해안반점,중식당,서울특별시 강동구 고덕로10길 48 1층해안반점,219
684,로리스 더 프라임 립,"스테이크,립",서울특별시 서초구 서초대로 411 GT TOWER 3층,993
685,백제삼계탕,"백숙,삼계탕",서울특별시 중구 명동8길 8-10,189
686,라 쿠치나,이탈리아음식,서울특별시 용산구 회나무로44길 10,147
687,삼수갑산,"육류,고기요리","서울특별시 관악구 남현1길 38-9 1층,2층,3층",68
688,스시겐,"초밥,롤",서울특별시 마포구 양화로7길 6-12 삼이빌딩,77
689,하모,한식,서울특별시 강남구 언주로 819 2층 하모,244
690,장군갈비,"육류,고기요리",서울특별시 광진구 용마산로 11,520
691,평래옥,한식,서울특별시 중구 마른내로 21-1,"1,118"
692,장군보쌈,"족발,보쌈",서울특별시 중구 무교로 16,638
693,궁나라냉면묵밥,냉면,서울특별시 종로구 지봉로12길 6 등원빌딩,144
694,모녀마약김밥,김밥,서울특별시 종로구 동호로 403-23,"5,106"
695,현대카드 Vinyl & Plastic,"음반,CD",서울특별시 용산구 이태원로 248,266
696,갤러리카페 3안,갤러리카페,서울특별시 종로구 북촌로 137-7,27
697,장수촌 풍천장어,"장어,먹장어요리",서울특별시 관악구 남부순환로 2082-37 2층,268
698,터치더스카이,양식,서울특별시 영등포구 63로 50 한화금융센터_63,255
699,성북동 구포국수,국수,서울특별시 성북구 성북로12길 2,445
700,잇텐고,일본식라면,서울특별시 마포구 포은로 11 103호,780
701,호텔 더 디자이너스 종로점,3급,서울특별시 종로구 수표로 89-8,68
702,암사종합시장,시장,서울특별시 강동구 상암로11길 25,35
703,감나무집기사식당,기사식당,서울특별시 마포구 연남로 25,"1,972"
704,안동국시소람,국수,서울특별시 종로구 인사동9길 16 백악미술관 지하1층,204
705,명문막국수,막국수,서울특별시 성북구 창경궁로 319,559
706,딜라이트 호텔 (HOTEL DELIGHT),2성급,서울특별시 송파구 오금로11길 21-9 딜라이트 호텔,223
707,슈치쿠,일식당,서울특별시 영등포구 63로 50 58층,253
708,청수횟집,생선회,서울특별시 강남구 테헤란로25길 9,167
709,강서면옥,냉면,서울특별시 강남구 언주로164길 19 강서면옥,364
710,진남회집,생선회,서울특별시 동작구 노들로 674 노량진수산시장 2층 13호,181
711,커피친구,카페,서울특별시 종로구 삼봉로 81 두산위브파빌리온,149
712,키다리아저씨,베이커리,서울특별시 마포구 성미산로 22,325
713,이화감자국,감자탕,서울특별시 은평구 응암로 174-1 1층,223
714,눈스퀘어,"상가,아케이드",서울특별시 중구 명동길 14 Noon Square,69
715,상락원,한식,서울특별시 서초구 원터길 23,47
716,더플레이스다이닝,이탈리아음식,서울특별시 용산구 남산공원길 105 N서울타워 T2층 (택시/일반차량 진입불가),359
717,비노인빌라,이탈리아음식,서울특별시 서초구 남부순환로319길 14 제이큐브데이터빌딩1층,154
718,강남목장,소고기구이,서울특별시 강남구 논현로86길 34 역삼포커스빌딩,196
719,학림다방,카페,서울특별시 종로구 대학로 119 2층 학림카페,"1,508"
720,마지,사찰음식,서울특별시 종로구 자하문로5길 19,199
721,BK볏짚 우대갈비 장안동본점,"육류,고기요리",서울특별시 동대문구 장한로26가길 29 1층 BK볏짚 우대갈비 장안동본점,526
722,풍류사랑,한식,서울특별시 종로구 인사동8길 12-7,10
723,부빙,빙수,서울특별시 종로구 창의문로 136 부빙,525
724,오르시아,결혼예물,서울특별시 강남구 영동대로 644 원일빌딩 1층 오르시아,990
725,장프리고,바(BAR),서울특별시 중구 퇴계로62길 9-8,123
726,우이시장,시장,서울특별시 강북구 수유동 270-103,63
727,메이징에이,중식당,서울특별시 중구 세종대로 136 SFC몰 B2층,421
728,다이브라이프,스킨스쿠버,서울특별시 서초구 반포대로20길 27 서궁빌딩 지하1층,68
729,해품장팔팔장어,"장어,먹장어요리",서울특별시 강남구 도곡로 218 CN시티 1층,401
730,은주정,"찌개,전골",서울특별시 중구 창경궁로8길 32,"1,317"
731,외양간,"육류,고기요리",서울특별시 동작구 동작대로11길 16 1층,394
732,레이지파머스,양식,서울특별시 용산구 회나무로35길 5 A동 레이지파머스,542
733,아이해브어드림,요리주점,서울특별시 강남구 테헤란로5길 7 KG Tower 지하1층 아이해브어드림,410
734,가락관광호텔,2성급,서울특별시 송파구 송파대로28길 5 가락관광호텔,83
735,레인보우호텔,모텔,서울특별시 용산구 한강대로71길 48 레인보우호텔,41
736,롯데호텔서울 설화수 스파,"피부,체형관리",서울특별시 중구 을지로 30 롯데호텔 본관 7층,28
737,모모야마,일식당,서울특별시 중구 을지로 30,228
738,코리아하우스,"육류,고기요리",서울특별시 강남구 압구정로79길 56 아름다운빌딩 1~2층,31
739,한쿡 N서울타워,한식,서울특별시 용산구 남산공원길 105 N서울타워 한쿡(전망대 T3층),338
740,더 우리곱창,"곱창,막창,양",서울특별시 종로구 종로36나길 9,525
741,헤이더그린,"카페,디저트",서울특별시 강서구 대장로 58,924
742,칠형제우리감자탕,감자탕,서울특별시 노원구 동일로 1019 원광약국,268
743,오라이등심,돼지고기구이,서울특별시 종로구 종로32길 23-5,222
744,동경,돈가스,서울특별시 강남구 봉은사로 524 코엑스몰 지하1층 J108,"1,051"
745,황금정원,쌈밥,서울특별시 도봉구 방학로 312 황금정원,"1,443"
746,늘푸른목장 잠실본점,소고기구이,서울특별시 송파구 백제고분로9길 34 1F,625
747,백제추어탕 본점,추어탕,서울특별시 강동구 양재대로 1406,"1,557"
748,몽중헌 청담점,중식당,서울특별시 강남구 도산대로 445 엠빌딩 B1F,451
749,충남식당,한식,서울특별시 동작구 노들로 674,701
750,도읍지,한식,서울특별시 동대문구 회기로21길 38-1,504
751,만남의광장,포장마차,서울특별시 용산구 이태원로27가길 18 지하 1층,234
752,서울원조아구찜,"아귀찜,해물찜",서울특별시 종로구 삼일대로 436-1 1층 서울원조아구찜,160
753,프로퍼커피바2호점,"카페,디저트",서울특별시 송파구 오금로31가길 20 1층,872
754,우정,떡볶이,서울특별시 중구 퇴계로76길 55,"1,648"
755,제주국수,국수,서울특별시 성동구 성수이로 118,316
756,포포인츠 바이 쉐라톤 서울 구로,4성급,서울특별시 구로구 디지털로32길 72,333
757,사동면옥,냉면,서울특별시 종로구 인사동8길 9,365
758,두에꼬제,이탈리아음식,서울특별시 용산구 한남대로 60 리첸시아 상가 D동 119호,94
759,진원조 닭한마리,닭요리,서울특별시 종로구 종로 252-11 1.2.3층 전체,548
760,호남집,생선구이,서울특별시 종로구 종로40가길 5,557
761,대풍간장게장생선구이,생선구이,서울특별시 서초구 신반포로47길 72 우리빌 1층,69
762,태조대림감자국,감자탕,서울특별시 은평구 응암로 172,442
763,산띠,인도음식,서울특별시 마포구 와우산로27길 70,169
764,옛찻집,차,서울특별시 종로구 인사동길 47-8 신옛찻집,293
765,[백년가게]청해진,"해물,생선요리",서울특별시 강동구 강동대로 187 파크비유캐슬 1층,390
766,마장갈비,"육류,고기요리",서울특별시 성동구 마조로3가길 11,136
767,엘 샌드위치,샌드위치,서울특별시 종로구 율곡로4길 14,352
768,허형만의 압구정커피집,카페,서울특별시 강남구 압구정로 151 신현대상가 2동 107호,53
769,비스테까,이탈리아음식,서울특별시 용산구 회나무로 49 비스테까,394
770,함흥에겨울냉면,냉면,서울특별시 중구 동호로24길 21,11
771,친니,중식당,서울특별시 종로구 세종대로 175 세종문화회관 지하 1층,955
772,장미삼계탕,"백숙,삼계탕",서울특별시 노원구 화랑로 449-10,106
773,오다리집,한식,서울특별시 중구 명동8나길 28 2층 3층,110
774,서석대,소고기구이,서울특별시 서초구 서초대로 346 동아빌라트 A동 1층,279
775,뉴서울호텔,3성급,서울특별시 중구 세종대로22길 16 뉴서울호텔,113
776,호텔마누(HOTEL MANU),3성급,서울특별시 중구 퇴계로 19 남풍빌딩,59
777,프로비스타 호텔,2성급,서울특별시 서초구 서초대로 338,45
778,베니키아 프리미어 호텔 베르누이,3성급,서울특별시 구로구 경인로 229,57
779,페어몬트 앰배서더 서울 (Fairmont Ambassador Seoul),5성급,서울특별시 영등포구 여의대로 108 페어몬트 앰배서더 서울 호텔,440
780,산들애건강밥상,한식,서울특별시 은평구 대서문길 43-16,"1,250"
781,하이디라오 서초지점,중식당,서울특별시 서초구 서초대로77길 54 2층 하이디라오 훠궈,"1,344"
782,명동부대찌개 명동황기족발,"찌개,전골",서울특별시 중구 명동길 25-7,179
783,남포면옥,냉면,서울특별시 중구 을지로3길 24,"1,724"
784,진미평양냉면,냉면,서울특별시 강남구 학동로 305-3,"2,085"
785,아리랑,"육류,고기요리",서울특별시 중구 남대문로7길 23 전통한국식당,326
786,나인트리호텔 명동,3성급,서울특별시 중구 명동10길 51,42
787,금돼지식당,돼지고기구이,서울특별시 중구 다산로 149,"2,381"
788,광야 서울,이탈리아음식,서울특별시 마포구 월드컵북로4길 82 1층 광야,"1,325"
789,전주식당,한식,서울특별시 노원구 화랑로 449-8 101호 전주식당,406
790,전주유할머니비빔밥,비빔밥,서울특별시 중구 세종대로14길 27-2,136
791,카페 폭포,"카페,디저트",서울특별시 서대문구 연희로 262-24,343
792,국시집,국수,서울특별시 성북구 창경궁로43길 9,207
793,갈비명가이상 돈암본관,"육류,고기요리",서울특별시 성북구 정릉로 364,"1,251"
794,개화,중식당,서울특별시 서초구 동작대로 86 동주빌딩 지하1층,381
795,제리스플래닛,1성급,서울특별시 강남구 강남대로92길 13 Jerry's planet Building,23
796,삼호복집 신촌,복어요리,서울특별시 서대문구 연세로5다길 10 2층,187
797,해랑,"매운탕,해물탕","서울특별시 강남구 봉은사로1길 39 유성빌딩 1층, 2층",76
798,종가집,한식,서울특별시 종로구 인사동길 15-13 종가집,264
799,주은감자탕,감자탕,서울특별시 송파구 삼학사로 71,"1,362"
800,신안촌,한정식-일반,서울특별시 종로구 사직로12길 8,309
801,라브리,프랑스음식,서울특별시 종로구 종로 1 교보생명빌딩 2층,83
802,오우가,쌈밥,서울특별시 중구 명동8가길 37,354
803,이닝,중식당,"서울특별시 강남구 도산대로58길 14 이닝빌딩 1,2층",156
804,박가네빈대떡,"전,빈대떡",서울특별시 종로구 종로32길 7,"4,122"
805,원대구탕,"해물,생선요리",서울특별시 용산구 한강대로62가길 8 원대구탕,"1,325"
806,전통다원,차,서울특별시 종로구 인사동10길 11-4,928
807,마천공원,근린공원,서울특별시 송파구 성내천로23길 12,19
808,은호식당,한식,서울특별시 중구 남대문시장4길 28-4 은호식당,330
809,메트로호텔,3성급,서울특별시 중구 명동9가길 14 메트로호텔,33
810,남문토방,오리요리,서울특별시 중구 남대문시장길 45-3 부자프라자 지하1층,90
811,옛날중국집,중식당,서울특별시 성북구 성북로8길 8,520
812,완차이,중식당,서울특별시 서대문구 명물길 50-7 1층 완차이,205
813,너비집,한식,서울특별시 중구 명동9길 37-8 너비집,225
814,남원집,"육류,고기요리",서울특별시 성동구 살곶이길 18 2층 201호,57
815,메종 드 라 카테고리,프랑스음식,서울특별시 강남구 선릉로 826,281
816,꼼떼 바베큐 둔촌본점,양식,서울특별시 강동구 동남로51길 9 1층,934
817,마산옥,"아귀찜,해물찜",서울특별시 강남구 강남대로152길 9,79
818,오향족발,"족발,보쌈",서울특별시 중구 서소문로 134-7,"1,445"
819,봉피양 방이점,한식,서울특별시 송파구 양재대로71길 1-4,761
820,우스마니아,아시아음식,서울특별시 용산구 우사단로 34,13
821,부티크호텔K 동대문점,3급,서울특별시 동대문구 천호대로 341,14
822,타볼로24,뷔페,서울특별시 종로구 청계천로 279 2층,"1,632"
823,뜰과다원,한방카페,서울특별시 종로구 인사동길 34 1F 뜰과다원,767
824,안동할매청국장,"찌개,전골",서울특별시 성북구 성북로5길 9-3 일신빌딩,642
825,고향풍천장어,"장어,먹장어요리",서울특별시 서초구 방배로 189,127
826,린스시,일식당,서울특별시 서초구 반포대로12길 10 송원빌딩,93
827,스시조,일식당,서울특별시 중구 소공로 106,30
828,역전회관,한식,서울특별시 마포구 토정로37길 47,970
829,마포소문난원조족발,"족발,보쌈",서울특별시 마포구 만리재로 19 공덕시장,802
830,워킹온더클라우드,양식,서울특별시 영등포구 63로 50 한화생명빌딩 59층,"2,843"
831,니와,일식당,서울특별시 용산구 이촌로75길 22 1,108
832,제비다방,테마카페,서울특별시 마포구 와우산로 24,68
833,현대시장,시장,서울특별시 관악구 양녕로 49,15
834,사랑채,요리주점,서울특별시 관악구 남부순환로246길 5 2층,114
835,임피리얼 팰리스 부티크 호텔,3성급,서울특별시 용산구 이태원로 221,44
836,호텔국도,3성급,서울특별시 중구 을지로 164,62
837,루이,중식당,서울특별시 중구 세종대로21길 40,224
838,동해도 광화문,일식당,서울특별시 중구 무교로 28 시그너스빌딩 지하1층 동해도,729
839,희락갈치,"해물,생선요리",서울특별시 중구 남대문시장길 22-6,"2,337"
840,현대칼국수,"칼국수,만두",서울특별시 중구 세종대로 76 청남빌딩,499
841,장안동 먹깨비 간장게장 해물아구찜,게요리,서울특별시 동대문구 장한로 92 1층,580
842,미림산장,한식,서울특별시 강북구 삼양로181길 253 우이동 미림산장,424
843,라마다 바이윈덤 서울 동대문,3성급,서울 중구 동호로 354 라마다 바이 윈덤 서울 동대문,54
844,은평역사한옥박물관,박물관,서울특별시 은평구 연서로50길 8 은평역사한옥박물관,381
845,청담나인,양식,"서울특별시 강남구 삼성로 634 B1, B2",193
846,신강양꼬치,양꼬치,서울특별시 마포구 토정로37길 21,132
847,베니키아 노블 호텔,2성급,서울특별시 종로구 율곡로6길 13-3 노블 관광호텔,54
848,화니 신세계 강남점,한식,서울특별시 서초구 신반포로 176 신세계백화점 강남점 11층,"1,040"
849,돈까스잔치 동빙고점,돈가스,서울특별시 용산구 서빙고로 297,"2,013"
850,신촌 닭한마리 유닭스토리,닭요리,서울특별시 서대문구 연세로4길 7 1층,"2,319"
851,꼴라주,양식,서울특별시 용산구 한남대로20길 47-24 1층replace 한남 D동 1층,200
852,카나디안 랍스터,바닷가재요리,서울특별시 서초구 남부순환로 2385 3층 카나디안랍스타,31
853,청해진,생선회,서울특별시 동작구 노들로 674 노량진수산시장 신관 2층 20호 청해진,815
854,한모네 순대국,"순대,순댓국",서울특별시 광진구 자양로18길 56 거송빌딩 1층 103호,127
855,마쯔야,돈가스,서울특별시 중구 소공로 63 본관 5층,651
856,춘천집닭갈비막국수,닭갈비,서울특별시 서대문구 연세로5가길 1,567
857,또순이원조순대,"순대,순댓국",서울특별시 관악구 신림로59길 14,"1,643"
858,타지펠리스,인도음식,서울특별시 용산구 우사단로 39,113
859,우리집떡볶이,떡볶이,서울특별시 중구 다산로 217-1,676
860,비하인드(B-hind),"맥주,호프",서울특별시 성북구 동소문로6길 16-4,24
861,미니네,떡볶이,서울특별시 중구 다산로 219-1,549
862,파툼(FATUM),카페,서울특별시 종로구 삼청로 86-5,248
863,노천파전,"전통,민속주점",서울특별시 동대문구 회기로28길 3,153
864,비타포,베트남음식,서울특별시 성북구 동소문로 7-3 1층,167
865,일미간장게장본점,게요리,서울특별시 동대문구 장한로24길 7,422
866,호텔 볼(VOLL),호텔,서울특별시 강서구 강서로5나길 30,16
867,금강제화 (강남본점),신발,서울특별시 강남구 강남대로 500,60
868,홍루몽,중식당,서울특별시 서초구 반포대로12길 26,127
869,뿌자,인도음식,서울특별시 종로구 종로 327 3층,73
870,타마린드,베트남음식,서울특별시 종로구 종로3길 17 광화문 D타워 5층 504호,757
871,중앙갈치식당,"해물,생선요리",서울특별시 중구 남대문시장길 22-12,"2,666"
872,홍어명가,"해물,생선요리",서울특별시 중랑구 면목로44길 44,15
873,마포유가궁중족발,"족발,보쌈",서울특별시 마포구 만리재로 19 1층 마포유가궁중족발 마포본점,140
874,밀화,한식,서울특별시 서초구 신반포로 176 신세계백화점 11층,607
875,아르모니움,이탈리아음식,서울특별시 용산구 대사관로 33 아르모니움,309
876,초롱이고모부대찌개,"찌개,전골",서울특별시 강동구 상암로11길 4 암사시장 1문,261
877,파크 하얏트 서울 코너스톤,이탈리아음식,서울특별시 강남구 테헤란로 606 파크 하얏트 서울 2층,373
878,손가네곰국수,한식,서울특별시 성북구 성북로15길 8 손가네곰국수,271
879,메종 한남,양식,서울특별시 용산구 유엔빌리지3길 24 메종한남(한남집),289
880,우성갈비,"육류,고기요리",서울특별시 중구 동호로7길 13,194
881,챠크라,인도음식,서울특별시 용산구 독서당로 83,35
882,백마김씨네 도곡본점,"육류,고기요리",서울특별시 강남구 남부순환로 2743,396
883,스카이 라운지,바(BAR),서울특별시 중구 명동길 61 21층 스카이라운지,22
884,열린송현녹지광장,광장,서울특별시 종로구 송현동 48-9,83
885,누리,5성급,서울특별시 중구 소공로 119,524
886,서일순대국,"순대,순댓국",서울특별시 동작구 여의대방로22길 20,"1,773"
887,알디프 티 바,홍차전문점,서울특별시 마포구 와우산로35길 19 B1-1F 알디프,967
888,레스피레,베이커리,서울특별시 종로구 효자로13길 40-7 레스피레,779
889,물빛광장,광장,서울특별시 영등포구 여의도동 84-9,22
890,도원스타일,중식당,서울특별시 강동구 천호대로 1005 현대백화점 천호점 12층 도원스타일 천호점,272
891,비비브라운,카페,서울특별시 강남구 도산대로 412 1층 카페 비비브라운,209
892,이끼롤까스 가로수길,돈가스,서울특별시 강남구 강남대로152길 64 지하1층,578
893,1940금문,중식당,서울특별시 종로구 창경궁로 269-1 1940금문,122
894,코끼리베이글,베이글,서울특별시 영등포구 선유로 176 코끼리베이글,"4,678"
895,알페도,베이커리,서울특별시 용산구 이태원로 174 1층 4-5호,"1,627"
896,통일집,소고기구이,서울특별시 중구 마른내로4길 31-3 통일집,26
897,아야진생태찌개 본점,"매운탕,해물탕",서울특별시 강남구 삼성로108길 8 써지쿨빌딩,252
898,트리아 관광호텔,2성급,서울특별시 강남구 테헤란로33길 16 트리아관광호텔,12
899,히라메키,일식당,서울특별시 강남구 테헤란로81길 32,123
900,하단,이북음식,서울특별시 성북구 성북로6길 14,187
901,새만포면옥,냉면,서울특별시 은평구 연서로 171 백년가게 만포면옥,605
902,플랫폼 플레이스(한남점),캐주얼웨어,서울특별시 용산구 이태원로 268,39
903,브릿지안경,안경원,서울특별시 강남구 압구정로 132 1층,49
904,한국금융사박물관,박물관,서울특별시 중구 세종대로 135-5 한국금융사박물관,10
905,황토추어탕,추어탕,서울특별시 강동구 성안로 7-12 경일빌딩,456
906,해담채 삼성점,해담채,서울특별시 강남구 테헤란로 504 해성1빌딩 지하1층,457
907,까사빠보,일식당,서울특별시 중구 소공로 63 본관 6층,777
908,포포인츠 바이 쉐라톤 조선 서울역 더 이터리,뷔페,서울특별시 용산구 한강대로 366 포포인츠 바이 쉐라톤 조선 서울역,780
909,신촌 시스터즈,게스트하우스,서울특별시 마포구 백범로2길 24,15
910,오양회참치 광화문본점,생선회,서울특별시 중구 세종대로21길 49 오양회참치,156
911,h450,양식,서울특별시 강남구 압구정로29길 21 문화센터 건물 1층,260
912,에프호텔,3급,서울특별시 영등포구 경인로108길 8 F호텔,53
913,파로스관광호텔,3성급,서울특별시 송파구 올림픽로10길 5,26
