,Attraction,Subclass,Address,Participants
80,만해한용운심우장,기념물,서울특별시 성북구 성북로29길 24,11
81,독립문,기념물,서울특별시 서대문구 현저동 941,36
82,전쟁기념관,박물관,서울특별시 용산구 이태원로 29 전쟁기념관,772
83,서울 중부시장,시장,서울특별시 중구 을지로32길 33,24
84,삼익패션타운,"상가,아케이드",서울특별시 중구 남대문시장8길 7 삼익상가지하 2,60
85,흥인지문,기념물,서울특별시 종로구 종로 288 흥인지문,46
86,롯데월드 아쿠아리움,아쿠아리움,서울특별시 송파구 올림픽로 300 롯데월드몰 B1,"9,496"
87,남산 야외식물원,"식물원,수목원",서울특별시 용산구 이태원동 259-16,189
88,선유도공원,근린공원,서울특별시 영등포구 선유로 343,67
89,중명전,국가유산,서울특별시 중구 정동,17
90,양화한강공원,시민공원,서울특별시 영등포구 노들로 113 양화개나리점,61
91,수락산,산,서울특별시 노원구 상계동,49
92,국립고궁박물관,박물관,서울특별시 종로구 효자로 12 국립고궁박물관,119
93,IFC몰,"쇼핑센터,할인매장",서울특별시 영등포구 여의도동 국제금융로 10 서울 국제금융 센터,"1,986"
94,관악산 낙성대공원,"도시,테마공원",서울특별시 관악구 낙성대로 77 낙성대공원,104
95,다이나믹 메이즈 (서울 인사동점),테마파크,서울특별시 종로구 인사동길 12 대일빌딩 지하1층,"2,615"
96,서대문독립공원,테마공원,서울특별시 서대문구 통일로 247 독립문역,282
97,대림중앙시장,시장,서울특별시 영등포구 디지털로37나길 21,12
98,서울역사박물관,박물관,서울특별시 종로구 새문안로 55,34
99,서울 신림동 민속순대타운,"순대,순댓국",서울특별시 관악구 신림로59길 14 원빌딩 3층 301호,270
100,더현대 서울,백화점,서울특별시 영등포구 여의대로 108 더현대 서울,"2,326"
101,서울 효창공원,국가유산,서울특별시 용산구 효창동,24
102,파크하비오 워터킹덤&스파,워터파크,서울특별시 송파구 송파대로 111 202동 지하1층,"3,445"
103,서울창포원,"식물원,수목원",서울특별시 도봉구 마들로 916,49
104,전쟁과여성인권박물관,박물관,서울특별시 마포구 월드컵북로11길 20 전쟁과여성인권박물관,38
105,마복림할머니집,떡볶이,서울특별시 중구 다산로35길 5,"5,114"
106,아쿠아플라넷 63,아쿠아리움,서울특별시 영등포구 63로 50,"6,386"
