,tourist_spot,good_point,selected_people
0,여의도한강공원,"""뷰가 좋아요""","이 키워드를 선택한 인원
222"
1,여의도한강공원,"""산책로가 잘 되어있어요""","이 키워드를 선택한 인원
133"
2,여의도한강공원,"""사진이 잘 나와요""","이 키워드를 선택한 인원
112"
3,여의도한강공원,"""방문객이 많아요""","이 키워드를 선택한 인원
80"
4,여의도한강공원,"""볼거리가 많아요""","이 키워드를 선택한 인원
76"
5,여의도한강공원,"""관리가 잘 되어있어요""","이 키워드를 선택한 인원
68"
6,여의도한강공원,"""편의시설이 잘 되어있어요""","이 키워드를 선택한 인원
47"
7,여의도한강공원,"""주차하기 편해요""","이 키워드를 선택한 인원
32"
8,여의도한강공원,"""붐비지 않아요""","이 키워드를 선택한 인원
23"
9,여의도한강공원,"""먹거리가 풍부해요""","이 키워드를 선택한 인원
22"
10,여의도한강공원,"""피크닉하기 좋아요""","이 키워드를 선택한 인원
22"
11,여의도한강공원,"""자연 경관이 좋아요""","이 키워드를 선택한 인원
21"
12,여의도한강공원,"""규모가 커요""","이 키워드를 선택한 인원
12"
13,여의도한강공원,"""대중교통이 편해요""","이 키워드를 선택한 인원
11"
14,여의도한강공원,"""친절해요""","이 키워드를 선택한 인원
9"
15,여의도한강공원,"""가격이 합리적이에요""","이 키워드를 선택한 인원
9"
16,여의도한강공원,"""아이와 가기 좋아요""","이 키워드를 선택한 인원
7"
17,여의도한강공원,"""근처에 갈 곳이 많아요""","이 키워드를 선택한 인원
6"
18,여의도한강공원,"""반려동물과 가기 좋아요""","이 키워드를 선택한 인원
6"
19,여의도한강공원,"""조용히 쉬기 좋아요""","이 키워드를 선택한 인원
4"
20,여의도한강공원,"""체험 프로그램이 다양해요""","이 키워드를 선택한 인원
2"
21,여의도한강공원,"""트렌디해요""","이 키워드를 선택한 인원
2"
22,여의도한강공원,"""화장실이 깨끗해요""","이 키워드를 선택한 인원
1"
23,여의도한강공원,"""유익해요""","이 키워드를 선택한 인원
1"
24,남산골한옥마을,"""체험 프로그램이 다양해요""","이 키워드를 선택한 인원
236"
25,남산골한옥마을,"""아이와 가기 좋아요""","이 키워드를 선택한 인원
178"
26,남산골한옥마을,"""사진이 잘 나와요""","이 키워드를 선택한 인원
176"
27,남산골한옥마을,"""볼거리가 많아요""","이 키워드를 선택한 인원
143"
28,남산골한옥마을,"""산책로가 잘 되어있어요""","이 키워드를 선택한 인원
102"
29,남산골한옥마을,"""설명이 잘 되어있어요""","이 키워드를 선택한 인원
94"
30,남산골한옥마을,"""가격이 합리적이에요""","이 키워드를 선택한 인원
85"
31,남산골한옥마을,"""관리가 잘 되어있어요""","이 키워드를 선택한 인원
76"
32,남산골한옥마을,"""붐비지 않아요""","이 키워드를 선택한 인원
62"
33,남산골한옥마을,"""뷰가 좋아요""","이 키워드를 선택한 인원
52"
34,남산골한옥마을,"""대중교통이 편해요""","이 키워드를 선택한 인원
20"
35,남산골한옥마을,"""근처에 갈 곳이 많아요""","이 키워드를 선택한 인원
16"
36,남산골한옥마을,"""방문객이 많아요""","이 키워드를 선택한 인원
11"
37,남산골한옥마을,"""경관이 독특해요""","이 키워드를 선택한 인원
11"
38,남산골한옥마을,"""화장실이 깨끗해요""","이 키워드를 선택한 인원
9"
39,남산골한옥마을,"""주차하기 편해요""","이 키워드를 선택한 인원
3"
40,남산골한옥마을,"""규모가 커요""","이 키워드를 선택한 인원
3"
41,남산골한옥마을,"""편의시설이 잘 되어있어요""","이 키워드를 선택한 인원
2"
42,남산골한옥마을,"""야경이 멋져요""","이 키워드를 선택한 인원
2"
