,Attraction,Good_Point,Selected_People,Category
803,채그로,뷰가 좋아요,146,시설 및 분위기
804,채그로,집중하기 좋아요,62,시설 및 분위기
805,채그로,읽을만한 책이 많아요,61,시설 및 분위기
806,채그로,인테리어가 멋져요,60,시설 및 분위기
807,채그로,커피가 맛있어요,39,음식의 속성
808,채그로,좌석이 편해요,37,시설 및 분위기
809,채그로,사진이 잘 나와요,34,시설 및 분위기
810,채그로,대화하기 좋아요,34,시설 및 분위기
811,채그로,음료가 맛있어요,29,음식의 속성
812,채그로,친절해요,24,서비스
813,채그로,화장실이 깨끗해요,15,시설 및 분위기
814,채그로,디저트가 맛있어요,13,음식의 속성
815,채그로,가성비가 좋아요,7,가격 및 가치
816,채그로,주차하기 편해요,5,주변 인프라
817,채그로,특별한 메뉴가 있어요,5,음식의 속성
818,채그로,아늑해요,4,시설 및 분위기
819,채그로,차분한 분위기에요,1,시설 및 분위기
820,채그로,매장이 넓어요,1,시설 및 분위기
821,채그로,매장이 청결해요,1,시설 및 분위기
822,채그로,건강한 맛이에요,1,음식의 속성
962,소소한 풍경,음식이 맛있어요,367,음식의 속성
963,소소한 풍경,특별한 메뉴가 있어요,171,음식의 속성
964,소소한 풍경,친절해요,150,서비스
965,소소한 풍경,재료가 신선해요,143,음식의 속성
966,소소한 풍경,인테리어가 멋져요,117,시설 및 분위기
967,소소한 풍경,뷰가 좋아요,114,시설 및 분위기
968,소소한 풍경,특별한 날 가기 좋아요,102,시설 및 분위기
969,소소한 풍경,매장이 청결해요,55,시설 및 분위기
970,소소한 풍경,가성비가 좋아요,48,가격 및 가치
971,소소한 풍경,단체모임 하기 좋아요,41,시설 및 분위기
972,소소한 풍경,양이 많아요,39,음식의 속성
973,소소한 풍경,매장이 넓어요,36,시설 및 분위기
974,소소한 풍경,화장실이 깨끗해요,18,시설 및 분위기
975,소소한 풍경,건강한 맛이에요,8,음식의 속성
976,소소한 풍경,메뉴 구성이 알차요,5,가격 및 가치
977,소소한 풍경,야외 공간이 멋져요,5,시설 및 분위기
978,소소한 풍경,차분한 분위기에요,3,시설 및 분위기
979,소소한 풍경,혼밥하기 좋아요,3,시설 및 분위기
980,소소한 풍경,주차하기 편해요,3,주변 인프라
981,소소한 풍경,아늑해요,2,시설 및 분위기
982,소소한 풍경,반찬이 잘 나와요,2,음식의 속성
983,소소한 풍경,컨셉이 독특해요,1,시설 및 분위기
984,소소한 풍경,코스요리가 알차요,1,가격 및 가치
985,소소한 풍경,음식이 빨리 나와요,1,서비스
986,소소한 풍경,사진이 잘 나와요,1,시설 및 분위기
987,소소한 풍경,대화하기 좋아요,1,시설 및 분위기
1661,마복림할머니집,음식이 맛있어요,3605,음식의 속성
1662,마복림할머니집,양이 많아요,1238,음식의 속성
1663,마복림할머니집,매장이 넓어요,1164,시설 및 분위기
1664,마복림할머니집,가성비가 좋아요,1026,가격 및 가치
1665,마복림할머니집,친절해요,823,서비스
1666,마복림할머니집,특별한 메뉴가 있어요,590,음식의 속성
1667,마복림할머니집,재료가 신선해요,537,음식의 속성
1668,마복림할머니집,주차하기 편해요,457,주변 인프라
1669,마복림할머니집,단체모임 하기 좋아요,239,시설 및 분위기
1670,마복림할머니집,매장이 청결해요,226,시설 및 분위기
1671,마복림할머니집,특별한 날 가기 좋아요,106,시설 및 분위기
1672,마복림할머니집,혼밥하기 좋아요,92,시설 및 분위기
1673,마복림할머니집,음식이 빨리 나와요,64,서비스
1674,마복림할머니집,화장실이 깨끗해요,45,시설 및 분위기
1675,마복림할머니집,인테리어가 멋져요,39,시설 및 분위기
1676,마복림할머니집,뷰가 좋아요,22,시설 및 분위기
1677,마복림할머니집,메뉴 구성이 알차요,17,가격 및 가치
1678,마복림할머니집,대화하기 좋아요,7,시설 및 분위기
1679,마복림할머니집,건강한 맛이에요,6,음식의 속성
1680,마복림할머니집,현지 맛에 가까워요,4,음식의 속성
1681,마복림할머니집,아이와 가기 좋아요,3,시설 및 분위기
1682,마복림할머니집,포장이 깔끔해요,3,서비스
1683,마복림할머니집,차분한 분위기에요,2,시설 및 분위기
1684,마복림할머니집,컨셉이 독특해요,2,시설 및 분위기
1685,마복림할머니집,아늑해요,2,시설 및 분위기
1686,마복림할머니집,술이 다양해요,1,음식의 속성
1687,마복림할머니집,혼술하기 좋아요,1,시설 및 분위기
1688,마복림할머니집,사진이 잘 나와요,1,시설 및 분위기
1689,마복림할머니집,비싼 만큼 가치있어요,1,가격 및 가치
1690,마복림할머니집,반찬이 잘 나와요,1,음식의 속성
1691,마복림할머니집,향신료가 강하지 않아요,1,음식의 속성
1709,뮤직컴플렉스 서울,인테리어가 멋져요,375,시설 및 분위기
1710,뮤직컴플렉스 서울,사진이 잘 나와요,165,시설 및 분위기
1711,뮤직컴플렉스 서울,친절해요,146,서비스
1712,뮤직컴플렉스 서울,좌석이 편해요,142,시설 및 분위기
1713,뮤직컴플렉스 서울,커피가 맛있어요,127,음식의 속성
1714,뮤직컴플렉스 서울,집중하기 좋아요,115,시설 및 분위기
1715,뮤직컴플렉스 서울,음료가 맛있어요,83,음식의 속성
1716,뮤직컴플렉스 서울,대화하기 좋아요,77,시설 및 분위기
1717,뮤직컴플렉스 서울,매장이 청결해요,75,시설 및 분위기
1718,뮤직컴플렉스 서울,음악이 좋아요,60,시설 및 분위기
1719,뮤직컴플렉스 서울,특별한 메뉴가 있어요,50,음식의 속성
1720,뮤직컴플렉스 서울,화장실이 깨끗해요,49,시설 및 분위기
1721,뮤직컴플렉스 서울,디저트가 맛있어요,43,음식의 속성
1722,뮤직컴플렉스 서울,뷰가 좋아요,34,시설 및 분위기
1723,뮤직컴플렉스 서울,매장이 넓어요,22,시설 및 분위기
1724,뮤직컴플렉스 서울,컨셉이 독특해요,21,시설 및 분위기
1725,뮤직컴플렉스 서울,아늑해요,14,시설 및 분위기
1726,뮤직컴플렉스 서울,차분한 분위기에요,13,시설 및 분위기
1727,뮤직컴플렉스 서울,가성비가 좋아요,12,가격 및 가치
1728,뮤직컴플렉스 서울,비싼 만큼 가치있어요,11,가격 및 가치
1729,뮤직컴플렉스 서울,특별한 날 가기 좋아요,6,시설 및 분위기
1730,뮤직컴플렉스 서울,오래 머무르기 좋아요,6,시설 및 분위기
1731,뮤직컴플렉스 서울,주차하기 편해요,4,주변 인프라
1732,뮤직컴플렉스 서울,룸이 잘 되어있어요,2,시설 및 분위기
1733,뮤직컴플렉스 서울,혼술하기 좋아요,1,시설 및 분위기
1734,뮤직컴플렉스 서울,음식이 빨리 나와요,1,서비스
1735,뮤직컴플렉스 서울,종류가 다양해요,1,음식의 속성
1736,또순이네집,음식이 맛있어요,2709,음식의 속성
1737,또순이네집,가성비가 좋아요,838,가격 및 가치
1738,또순이네집,매장이 넓어요,687,시설 및 분위기
1739,또순이네집,특별한 메뉴가 있어요,606,음식의 속성
1740,또순이네집,양이 많아요,560,음식의 속성
1741,또순이네집,친절해요,459,서비스
1742,또순이네집,고기 질이 좋아요,370,음식의 속성
1743,또순이네집,재료가 신선해요,346,음식의 속성
1744,또순이네집,단체모임 하기 좋아요,303,시설 및 분위기
1745,또순이네집,주차하기 편해요,266,주변 인프라
1746,또순이네집,혼밥하기 좋아요,153,시설 및 분위기
1747,또순이네집,매장이 청결해요,85,시설 및 분위기
1748,또순이네집,특별한 날 가기 좋아요,60,시설 및 분위기
1749,또순이네집,음식이 빨리 나와요,40,서비스
1750,또순이네집,인테리어가 멋져요,28,시설 및 분위기
1751,또순이네집,화장실이 깨끗해요,22,시설 및 분위기
1752,또순이네집,직접 잘 구워줘요,20,서비스
1753,또순이네집,건강한 맛이에요,19,음식의 속성
1754,또순이네집,잡내가 적어요,13,음식의 속성
1755,또순이네집,뷰가 좋아요,12,시설 및 분위기
1756,또순이네집,비싼 만큼 가치있어요,5,가격 및 가치
1757,또순이네집,컨셉이 독특해요,3,시설 및 분위기
1758,또순이네집,아늑해요,1,시설 및 분위기
1759,또순이네집,메뉴 구성이 알차요,1,가격 및 가치
1760,또순이네집,룸이 잘 되어있어요,1,시설 및 분위기
1761,또순이네집,반찬이 잘 나와요,1,음식의 속성
1762,또순이네집,환기가 잘 돼요,1,시설 및 분위기
1763,우묵배미,음식이 맛있어요,113,음식의 속성
1764,우묵배미,친절해요,46,서비스
1765,우묵배미,매장이 넓어요,45,시설 및 분위기
1766,우묵배미,단체모임 하기 좋아요,27,시설 및 분위기
1767,우묵배미,양이 많아요,21,음식의 속성
1768,우묵배미,고기 질이 좋아요,20,음식의 속성
1769,우묵배미,가성비가 좋아요,19,가격 및 가치
1770,우묵배미,매장이 청결해요,18,시설 및 분위기
1771,우묵배미,재료가 신선해요,15,음식의 속성
1772,우묵배미,혼밥하기 좋아요,13,시설 및 분위기
1773,우묵배미,특별한 메뉴가 있어요,9,음식의 속성
1774,우묵배미,인테리어가 멋져요,3,시설 및 분위기
1775,우묵배미,주차하기 편해요,3,주변 인프라
1776,우묵배미,화장실이 깨끗해요,2,시설 및 분위기
1777,우묵배미,음식이 빨리 나와요,1,서비스
1778,우묵배미,특별한 날 가기 좋아요,1,시설 및 분위기
1779,우묵배미,건강한 맛이에요,1,음식의 속성
1780,우묵배미,뷰가 좋아요,1,시설 및 분위기
1881,토속촌삼계탕,음식이 맛있어요,4202,음식의 속성
1882,토속촌삼계탕,매장이 넓어요,1403,시설 및 분위기
1883,토속촌삼계탕,특별한 메뉴가 있어요,741,음식의 속성
1884,토속촌삼계탕,친절해요,643,서비스
1885,토속촌삼계탕,양이 많아요,541,음식의 속성
1886,토속촌삼계탕,재료가 신선해요,514,음식의 속성
1887,토속촌삼계탕,단체모임 하기 좋아요,480,시설 및 분위기
1888,토속촌삼계탕,주차하기 편해요,373,주변 인프라
1889,토속촌삼계탕,인테리어가 멋져요,277,시설 및 분위기
1890,토속촌삼계탕,특별한 날 가기 좋아요,260,시설 및 분위기
1891,토속촌삼계탕,매장이 청결해요,249,시설 및 분위기
1892,토속촌삼계탕,고기 질이 좋아요,243,음식의 속성
1893,토속촌삼계탕,가성비가 좋아요,174,가격 및 가치
1894,토속촌삼계탕,혼밥하기 좋아요,139,시설 및 분위기
1895,토속촌삼계탕,화장실이 깨끗해요,97,시설 및 분위기
1896,토속촌삼계탕,건강한 맛이에요,76,음식의 속성
1897,토속촌삼계탕,뷰가 좋아요,51,시설 및 분위기
1898,토속촌삼계탕,음식이 빨리 나와요,47,서비스
1899,토속촌삼계탕,잡내가 적어요,29,음식의 속성
1900,토속촌삼계탕,비싼 만큼 가치있어요,16,가격 및 가치
1901,토속촌삼계탕,직접 잘 구워줘요,6,서비스
1902,토속촌삼계탕,반찬이 잘 나와요,5,음식의 속성
1903,토속촌삼계탕,컨셉이 독특해요,4,시설 및 분위기
1904,토속촌삼계탕,아늑해요,3,시설 및 분위기
1905,토속촌삼계탕,아이와 가기 좋아요,3,시설 및 분위기
1906,토속촌삼계탕,메뉴 구성이 알차요,2,가격 및 가치
1907,토속촌삼계탕,룸이 잘 되어있어요,2,시설 및 분위기
1908,토속촌삼계탕,차분한 분위기에요,1,시설 및 분위기
1909,토속촌삼계탕,코스요리가 알차요,1,가격 및 가치
1910,토속촌삼계탕,야외 공간이 멋져요,1,시설 및 분위기
1911,토속촌삼계탕,환기가 잘 돼요,1,시설 및 분위기
1943,석파랑,음식이 맛있어요,43,음식의 속성
1944,석파랑,특별한 날 가기 좋아요,25,시설 및 분위기
1945,석파랑,차분한 분위기에요,24,시설 및 분위기
1946,석파랑,친절해요,22,서비스
1947,석파랑,뷰가 좋아요,21,시설 및 분위기
1948,석파랑,재료가 신선해요,19,음식의 속성
1949,석파랑,인테리어가 멋져요,16,시설 및 분위기
1950,석파랑,단체모임 하기 좋아요,16,시설 및 분위기
1951,석파랑,비싼 만큼 가치있어요,13,가격 및 가치
1952,석파랑,주차하기 편해요,11,주변 인프라
1953,석파랑,매장이 넓어요,6,시설 및 분위기
1954,석파랑,매장이 청결해요,6,시설 및 분위기
1955,석파랑,양이 많아요,4,음식의 속성
1956,석파랑,화장실이 깨끗해요,3,시설 및 분위기
1957,석파랑,가성비가 좋아요,2,가격 및 가치
1958,석파랑,혼밥하기 좋아요,1,시설 및 분위기
1959,석파랑,음식이 빨리 나와요,1,서비스
1979,선천집,음식이 맛있어요,41,음식의 속성
1980,선천집,친절해요,23,서비스
1981,선천집,재료가 신선해요,10,음식의 속성
1982,선천집,단체모임 하기 좋아요,9,시설 및 분위기
1983,선천집,매장이 청결해요,6,시설 및 분위기
1984,선천집,가성비가 좋아요,5,가격 및 가치
1985,선천집,매장이 넓어요,5,시설 및 분위기
1986,선천집,특별한 날 가기 좋아요,3,시설 및 분위기
1987,선천집,특별한 메뉴가 있어요,3,음식의 속성
1988,선천집,양이 많아요,2,음식의 속성
1989,선천집,차분한 분위기에요,1,시설 및 분위기
1990,선천집,아늑해요,1,시설 및 분위기
1991,선천집,혼밥하기 좋아요,1,시설 및 분위기
1992,선천집,인테리어가 멋져요,1,시설 및 분위기
1993,선천집,주차하기 편해요,1,주변 인프라
1994,선천집,대화하기 좋아요,1,시설 및 분위기
1995,선천집,건강한 맛이에요,1,음식의 속성
2024,청수정,음식이 맛있어요,739,음식의 속성
2025,청수정,특별한 메뉴가 있어요,281,음식의 속성
2026,청수정,재료가 신선해요,233,음식의 속성
2027,청수정,친절해요,207,서비스
2028,청수정,양이 많아요,98,음식의 속성
2029,청수정,가성비가 좋아요,86,가격 및 가치
2030,청수정,특별한 날 가기 좋아요,83,시설 및 분위기
2031,청수정,단체모임 하기 좋아요,68,시설 및 분위기
2032,청수정,매장이 청결해요,66,시설 및 분위기
2033,청수정,매장이 넓어요,39,시설 및 분위기
2034,청수정,인테리어가 멋져요,31,시설 및 분위기
2035,청수정,혼밥하기 좋아요,20,시설 및 분위기
2036,청수정,반찬이 잘 나와요,11,음식의 속성
2037,청수정,화장실이 깨끗해요,11,시설 및 분위기
2038,청수정,주차하기 편해요,9,주변 인프라
2039,청수정,건강한 맛이에요,8,음식의 속성
2040,청수정,뷰가 좋아요,7,시설 및 분위기
2041,청수정,메뉴 구성이 알차요,4,가격 및 가치
2042,청수정,음식이 빨리 나와요,3,서비스
2043,청수정,비싼 만큼 가치있어요,3,가격 및 가치
2044,청수정,아이와 가기 좋아요,2,시설 및 분위기
2045,청수정,향신료가 강하지 않아요,2,음식의 속성
2046,청수정,컨셉이 독특해요,1,시설 및 분위기
2047,청수정,아늑해요,1,시설 및 분위기
2048,청수정,대화하기 좋아요,1,시설 및 분위기
2092,만석장,음식이 맛있어요,764,음식의 속성
2093,만석장,재료가 신선해요,459,음식의 속성
2094,만석장,친절해요,216,서비스
2095,만석장,매장이 넓어요,193,시설 및 분위기
2096,만석장,양이 많아요,158,음식의 속성
2097,만석장,뷰가 좋아요,158,시설 및 분위기
2098,만석장,가성비가 좋아요,139,가격 및 가치
2099,만석장,특별한 메뉴가 있어요,129,음식의 속성
2100,만석장,단체모임 하기 좋아요,126,시설 및 분위기
2101,만석장,매장이 청결해요,95,시설 및 분위기
2102,만석장,특별한 날 가기 좋아요,52,시설 및 분위기
2103,만석장,인테리어가 멋져요,48,시설 및 분위기
2104,만석장,주차하기 편해요,46,주변 인프라
2105,만석장,화장실이 깨끗해요,22,시설 및 분위기
2106,만석장,건강한 맛이에요,17,음식의 속성
2107,만석장,반찬이 잘 나와요,11,음식의 속성
2108,만석장,메뉴 구성이 알차요,10,가격 및 가치
2109,만석장,혼밥하기 좋아요,7,시설 및 분위기
2110,만석장,음식이 빨리 나와요,3,서비스
2111,만석장,야외 공간이 멋져요,3,시설 및 분위기
2112,만석장,샐러드바가 잘 되어있어요,2,음식의 속성
2113,만석장,아늑해요,1,시설 및 분위기
2114,만석장,향신료가 강하지 않아요,1,음식의 속성
2115,만석장,환기가 잘 돼요,1,시설 및 분위기
2206,선동보리밥,음식이 맛있어요,453,음식의 속성
2207,선동보리밥,재료가 신선해요,222,음식의 속성
2208,선동보리밥,건강한 맛이에요,187,음식의 속성
2209,선동보리밥,친절해요,133,서비스
2210,선동보리밥,가성비가 좋아요,70,가격 및 가치
2211,선동보리밥,특별한 메뉴가 있어요,54,음식의 속성
2212,선동보리밥,매장이 청결해요,49,시설 및 분위기
2213,선동보리밥,주차하기 편해요,27,주변 인프라
2214,선동보리밥,혼밥하기 좋아요,23,시설 및 분위기
2215,선동보리밥,양이 많아요,21,음식의 속성
2216,선동보리밥,단체모임 하기 좋아요,21,시설 및 분위기
2217,선동보리밥,야외 공간이 멋져요,20,시설 및 분위기
2218,선동보리밥,뷰가 좋아요,13,시설 및 분위기
2219,선동보리밥,화장실이 깨끗해요,11,시설 및 분위기
2220,선동보리밥,인테리어가 멋져요,7,시설 및 분위기
2221,선동보리밥,음식이 빨리 나와요,3,서비스
2222,선동보리밥,매장이 넓어요,3,시설 및 분위기
2223,선동보리밥,메뉴 구성이 알차요,2,가격 및 가치
2224,선동보리밥,반찬이 잘 나와요,2,음식의 속성
2225,선동보리밥,특별한 날 가기 좋아요,2,시설 및 분위기
2226,선동보리밥,차분한 분위기에요,1,시설 및 분위기
2227,선동보리밥,아늑해요,1,시설 및 분위기
2228,선동보리밥,반려동물과 가기 좋아요,1,시설 및 분위기
2362,대림창고,커피가 맛있어요,1101,음식의 속성
2363,대림창고,인테리어가 멋져요,1030,시설 및 분위기
2364,대림창고,디저트가 맛있어요,650,음식의 속성
2365,대림창고,매장이 넓어요,538,시설 및 분위기
2366,대림창고,사진이 잘 나와요,398,시설 및 분위기
2367,대림창고,특별한 메뉴가 있어요,267,음식의 속성
2368,대림창고,음료가 맛있어요,198,음식의 속성
2369,대림창고,대화하기 좋아요,196,시설 및 분위기
2370,대림창고,빵이 맛있어요,192,음식의 속성
2371,대림창고,매장이 청결해요,191,시설 및 분위기
2372,대림창고,친절해요,175,서비스
2373,대림창고,화장실이 깨끗해요,128,시설 및 분위기
2374,대림창고,뷰가 좋아요,125,시설 및 분위기
2375,대림창고,음악이 좋아요,102,시설 및 분위기
2376,대림창고,좌석이 편해요,97,시설 및 분위기
2377,대림창고,메뉴 구성이 알차요,58,가격 및 가치
2378,대림창고,집중하기 좋아요,26,시설 및 분위기
2379,대림창고,가성비가 좋아요,23,가격 및 가치
2380,대림창고,컨셉이 독특해요,17,시설 및 분위기
2381,대림창고,오래 머무르기 좋아요,11,시설 및 분위기
2382,대림창고,아늑해요,7,시설 및 분위기
2383,대림창고,주차하기 편해요,7,주변 인프라
2384,대림창고,비싼 만큼 가치있어요,7,가격 및 가치
2385,대림창고,차분한 분위기에요,6,시설 및 분위기
2386,대림창고,단체모임 하기 좋아요,5,시설 및 분위기
2387,대림창고,종류가 다양해요,4,음식의 속성
2388,대림창고,특별한 날 가기 좋아요,3,시설 및 분위기
2389,대림창고,건강한 맛이에요,3,음식의 속성
2390,대림창고,음식이 맛있어요,1,음식의 속성
2391,대림창고,재료가 신선해요,1,음식의 속성
2392,대림창고,야외 공간이 멋져요,1,시설 및 분위기
2393,대림창고,룸이 잘 되어있어요,1,시설 및 분위기
2430,컨퍼런스하우스달개비 정동점,음식이 맛있어요,53,음식의 속성
2431,컨퍼런스하우스달개비 정동점,단체모임 하기 좋아요,32,시설 및 분위기
2432,컨퍼런스하우스달개비 정동점,차분한 분위기에요,22,시설 및 분위기
2433,컨퍼런스하우스달개비 정동점,친절해요,20,서비스
2434,컨퍼런스하우스달개비 정동점,재료가 신선해요,16,음식의 속성
2435,컨퍼런스하우스달개비 정동점,매장이 청결해요,16,시설 및 분위기
2436,컨퍼런스하우스달개비 정동점,비싼 만큼 가치있어요,14,가격 및 가치
2437,컨퍼런스하우스달개비 정동점,인테리어가 멋져요,13,시설 및 분위기
2438,컨퍼런스하우스달개비 정동점,매장이 넓어요,13,시설 및 분위기
2439,컨퍼런스하우스달개비 정동점,특별한 날 가기 좋아요,12,시설 및 분위기
2440,컨퍼런스하우스달개비 정동점,주차하기 편해요,5,주변 인프라
2441,컨퍼런스하우스달개비 정동점,가성비가 좋아요,3,가격 및 가치
2442,컨퍼런스하우스달개비 정동점,화장실이 깨끗해요,3,시설 및 분위기
2443,컨퍼런스하우스달개비 정동점,뷰가 좋아요,3,시설 및 분위기
2444,컨퍼런스하우스달개비 정동점,건강한 맛이에요,2,음식의 속성
2445,컨퍼런스하우스달개비 정동점,양이 많아요,1,음식의 속성
2446,컨퍼런스하우스달개비 정동점,룸이 잘 되어있어요,1,시설 및 분위기
2447,컨퍼런스하우스달개비 정동점,특별한 메뉴가 있어요,1,음식의 속성
2448,겟댓샷(Get That Shot),인테리어가 멋져요,384,시설 및 분위기
2449,겟댓샷(Get That Shot),사진이 잘 나와요,240,시설 및 분위기
2450,겟댓샷(Get That Shot),커피가 맛있어요,231,음식의 속성
2451,겟댓샷(Get That Shot),디저트가 맛있어요,181,음식의 속성
2452,겟댓샷(Get That Shot),특별한 메뉴가 있어요,158,음식의 속성
2453,겟댓샷(Get That Shot),음료가 맛있어요,154,음식의 속성
2454,겟댓샷(Get That Shot),친절해요,113,서비스
2455,겟댓샷(Get That Shot),매장이 청결해요,81,시설 및 분위기
2456,겟댓샷(Get That Shot),대화하기 좋아요,72,시설 및 분위기
2457,겟댓샷(Get That Shot),좌석이 편해요,56,시설 및 분위기
2458,겟댓샷(Get That Shot),가성비가 좋아요,41,가격 및 가치
2459,겟댓샷(Get That Shot),화장실이 깨끗해요,30,시설 및 분위기
2460,겟댓샷(Get That Shot),뷰가 좋아요,29,시설 및 분위기
2461,겟댓샷(Get That Shot),주차하기 편해요,16,주변 인프라
2462,겟댓샷(Get That Shot),매장이 넓어요,15,시설 및 분위기
2463,겟댓샷(Get That Shot),집중하기 좋아요,12,시설 및 분위기
2464,겟댓샷(Get That Shot),컨셉이 독특해요,9,시설 및 분위기
2465,겟댓샷(Get That Shot),빵이 맛있어요,7,음식의 속성
2466,겟댓샷(Get That Shot),아늑해요,2,시설 및 분위기
2467,겟댓샷(Get That Shot),음식이 빨리 나와요,2,서비스
2468,겟댓샷(Get That Shot),아이와 가기 좋아요,1,시설 및 분위기
2469,겟댓샷(Get That Shot),룸이 잘 되어있어요,1,시설 및 분위기
2470,겟댓샷(Get That Shot),특별한 날 가기 좋아요,1,시설 및 분위기
2471,겟댓샷(Get That Shot),오래 머무르기 좋아요,1,시설 및 분위기
2530,더 스팟 패뷸러스,디저트가 맛있어요,1328,음식의 속성
2531,더 스팟 패뷸러스,인테리어가 멋져요,1028,시설 및 분위기
2532,더 스팟 패뷸러스,커피가 맛있어요,963,음식의 속성
2533,더 스팟 패뷸러스,음료가 맛있어요,420,음식의 속성
2534,더 스팟 패뷸러스,사진이 잘 나와요,404,시설 및 분위기
2535,더 스팟 패뷸러스,뷰가 좋아요,357,시설 및 분위기
2536,더 스팟 패뷸러스,친절해요,343,서비스
2537,더 스팟 패뷸러스,특별한 메뉴가 있어요,315,음식의 속성
2538,더 스팟 패뷸러스,대화하기 좋아요,192,시설 및 분위기
2539,더 스팟 패뷸러스,매장이 청결해요,137,시설 및 분위기
2540,더 스팟 패뷸러스,좌석이 편해요,47,시설 및 분위기
2541,더 스팟 패뷸러스,가성비가 좋아요,45,가격 및 가치
2542,더 스팟 패뷸러스,집중하기 좋아요,25,시설 및 분위기
2543,더 스팟 패뷸러스,매장이 넓어요,24,시설 및 분위기
2544,더 스팟 패뷸러스,화장실이 깨끗해요,12,시설 및 분위기
2545,더 스팟 패뷸러스,컨셉이 독특해요,8,시설 및 분위기
2546,더 스팟 패뷸러스,비싼 만큼 가치있어요,6,가격 및 가치
2547,더 스팟 패뷸러스,음악이 좋아요,5,시설 및 분위기
2548,더 스팟 패뷸러스,빵이 맛있어요,4,음식의 속성
2549,더 스팟 패뷸러스,아늑해요,4,시설 및 분위기
2550,더 스팟 패뷸러스,차분한 분위기에요,3,시설 및 분위기
2551,더 스팟 패뷸러스,음식이 빨리 나와요,3,서비스
2552,더 스팟 패뷸러스,음식이 맛있어요,3,음식의 속성
2553,더 스팟 패뷸러스,주차하기 편해요,3,주변 인프라
2554,더 스팟 패뷸러스,특별한 날 가기 좋아요,2,시설 및 분위기
2555,더 스팟 패뷸러스,혼밥하기 좋아요,1,시설 및 분위기
2556,더 스팟 패뷸러스,선물하기 좋아요,1,시설 및 분위기
2557,더 스팟 패뷸러스,야외 공간이 멋져요,1,시설 및 분위기
2558,더 스팟 패뷸러스,오래 머무르기 좋아요,1,시설 및 분위기
2559,더 스팟 패뷸러스,단체모임 하기 좋아요,1,시설 및 분위기
2560,더 스팟 패뷸러스,종류가 다양해요,1,음식의 속성
2574,진고개,음식이 맛있어요,366,음식의 속성
2575,진고개,친절해요,138,서비스
2576,진고개,특별한 메뉴가 있어요,108,음식의 속성
2577,진고개,매장이 넓어요,69,시설 및 분위기
2578,진고개,양이 많아요,66,음식의 속성
2579,진고개,재료가 신선해요,64,음식의 속성
2580,진고개,단체모임 하기 좋아요,62,시설 및 분위기
2581,진고개,가성비가 좋아요,29,가격 및 가치
2582,진고개,특별한 날 가기 좋아요,22,시설 및 분위기
2583,진고개,매장이 청결해요,17,시설 및 분위기
2584,진고개,화장실이 깨끗해요,9,시설 및 분위기
2585,진고개,혼밥하기 좋아요,8,시설 및 분위기
2586,진고개,인테리어가 멋져요,8,시설 및 분위기
2587,진고개,주차하기 편해요,4,주변 인프라
2588,진고개,메뉴 구성이 알차요,3,가격 및 가치
2589,진고개,반찬이 잘 나와요,3,음식의 속성
2590,진고개,음식이 빨리 나와요,2,서비스
2591,진고개,대화하기 좋아요,2,시설 및 분위기
2592,진고개,건강한 맛이에요,2,음식의 속성
2593,진고개,뷰가 좋아요,2,시설 및 분위기
2594,진고개,컨셉이 독특해요,1,시설 및 분위기
2684,우래옥,음식이 맛있어요,4107,음식의 속성
2685,우래옥,매장이 넓어요,1452,시설 및 분위기
2686,우래옥,특별한 메뉴가 있어요,1310,음식의 속성
2687,우래옥,양이 많아요,939,음식의 속성
2688,우래옥,재료가 신선해요,827,음식의 속성
2689,우래옥,친절해요,813,서비스
2690,우래옥,매장이 청결해요,607,시설 및 분위기
2691,우래옥,주차하기 편해요,468,주변 인프라
2692,우래옥,단체모임 하기 좋아요,283,시설 및 분위기
2693,우래옥,특별한 날 가기 좋아요,272,시설 및 분위기
2694,우래옥,인테리어가 멋져요,236,시설 및 분위기
2695,우래옥,혼밥하기 좋아요,219,시설 및 분위기
2696,우래옥,화장실이 깨끗해요,207,시설 및 분위기
2697,우래옥,가성비가 좋아요,114,가격 및 가치
2698,우래옥,비싼 만큼 가치있어요,82,가격 및 가치
2699,우래옥,건강한 맛이에요,54,음식의 속성
2700,우래옥,뷰가 좋아요,29,시설 및 분위기
2701,우래옥,음식이 빨리 나와요,21,서비스
2702,우래옥,고기 질이 좋아요,12,음식의 속성
2703,우래옥,반찬이 잘 나와요,11,음식의 속성
2704,우래옥,현지 맛에 가까워요,6,음식의 속성
2705,우래옥,직접 잘 구워줘요,6,서비스
2706,우래옥,아늑해요,5,시설 및 분위기
2707,우래옥,메뉴 구성이 알차요,5,가격 및 가치
2708,우래옥,차분한 분위기에요,4,시설 및 분위기
2709,우래옥,좌석이 편해요,4,시설 및 분위기
2710,우래옥,잡내가 적어요,3,음식의 속성
2711,우래옥,향신료가 강하지 않아요,3,음식의 속성
2712,우래옥,컨셉이 독특해요,2,시설 및 분위기
2713,우래옥,대화하기 좋아요,2,시설 및 분위기
2714,우래옥,혼술하기 좋아요,1,시설 및 분위기
2715,우래옥,포장이 깔끔해요,1,서비스
2716,우래옥,룸이 잘 되어있어요,1,시설 및 분위기
2717,우래옥,환기가 잘 돼요,1,시설 및 분위기
2772,인왕산 더숲 초소책방,뷰가 좋아요,3554,시설 및 분위기
2773,인왕산 더숲 초소책방,커피가 맛있어요,2190,음식의 속성
