Attraction,가격 및 가치,서비스,시설 및 분위기,음식의 속성,주변 인프라
비언유주얼,78,187,918,465,34
비타포,86,57,114,236,4
비하인드,24,52,86,177,1
뽐모도로,63,238,246,1433,2
뿌자,25,34,48,140,0
사간동푸드떼,34,118,420,629,0
사동면옥,56,76,172,363,3
사랑채,13,61,192,266,0
산도토리임자탕,252,386,500,2853,120
산들애건강밥상,134,322,534,2092,52
산띠,37,73,126,289,0
산삼청각,52,289,657,941,120
산채향,47,91,293,574,6
삼거리 먼지막 순대국,662,220,417,2133,11
삼거리먼지막순대국,662,220,417,2133,11
삼대할먼네,283,365,357,1234,94
삼성 빨간양념 숯불구이,31,82,65,362,1
삼수갑산,10,9,52,83,4
삼원가든,50,258,1282,1063,159
삼청동수제비,891,932,1653,8262,263
삼해집,190,181,480,932,2
삼호복집 신촌,20,64,128,261,4
삿뽀로 목동점,77,288,1015,738,156
상락원,4,27,29,80,6
상인정신,24,74,157,196,0
새만포면옥,38,231,422,969,28
샤오바오우육면 종로본점,1011,1341,3383,8095,27
서대문구형제갈비,183,336,748,1329,109
서대문수빈,197,146,572,957,121
서래본갈비,33,112,305,398,48
서석대,36,119,291,574,42
서울리즘,9,67,490,149,8
서울서둘째로잘하는집,102,485,538,1889,11
서울원조아구찜,19,84,48,240,0
서일순대국,383,284,952,3045,33
서초구통나무집,27,71,266,382,60
서초동노랑저고리,423,374,1293,1235,22
석파랑,15,23,118,66,11
선동보리밥,72,136,152,939,27
선천집,5,23,28,57,1
설마중,74,194,433,746,102
성북동 구포국수,74,112,189,610,1
성북동누룽지백숙,130,289,697,2691,170
성북동돼지갈비본점,120,135,193,605,122
성북동집,37,134,165,762,22
성수살라댕템플,45,157,995,817,7
성수족발,137,302,185,2687,10
세상의모든아침,252,712,9687,3478,633
세종한우정육점식당  2호점,240,78,311,794,18
셀프하우스,239,195,286,1328,19
소문난성수감자탕 별관,296,322,586,2742,52
소선재,18,88,172,338,1
소소한 풍경,54,151,499,730,3
손가네곰국수,24,62,97,468,26
송림가,59,112,373,410,56
송림식당,580,670,784,2214,301
송추가마골 은평1호점,187,591,1571,2263,443
송파구횡성한우,134,326,862,1226,92
송화산시도삭면,341,196,420,2502,8
수연산방,9,137,665,665,16
수유동가문,29,81,125,325,7
순희네빈대떡,1122,493,551,5270,16
슈치쿠,34,102,394,350,26
스미스가 좋아하는 한옥,27,162,982,764,11
스시겐,17,24,59,119,0
스시조,3,12,24,34,2
스카이 라운지,1,10,34,24,2
신강양꼬치,23,36,49,200,0
신당동천팥죽,71,165,175,936,3
신안촌,107,124,216,568,3
신촌 닭한마리 유닭스토리,771,1106,2652,4847,16
아델라베일리,138,369,2591,1533,421
아르모니움,7,134,578,380,33
아리랑,35,116,239,532,14
아리아,127,120,290,374,15
아리차이,152,365,1053,2002,79
아승지,27,77,51,325,1
아야진생태찌개 본점,20,78,94,410,4
아이러브신당동떡볶이,965,901,3442,5655,931
아이유푸드,6,9,1,33,0
아이해브어드림,36,183,909,679,10
아재왔소,23,54,44,142,1
안동국시소람,16,52,123,294,2
안동할매청국장,197,179,280,1172,20
알디프 티 바,211,742,1545,2962,2
알페도,164,495,702,2652,2
양반댁,52,79,182,325,0
어양,11,44,173,189,15
엄마손칼국수,311,323,338,2309,74
에도긴,5,11,28,49,4
엘 샌드위치,64,141,161,825,0
여의도백리향,32,212,706,515,55
역전회관,77,234,720,1407,8
영등포복집,3,69,96,320,3
영일분식,515,265,248,2660,9
옛날중국집,154,192,100,920,4
옛날집낙원아구찜,38,117,99,629,2
옛찻집,11,81,299,367,1
오다리집,24,51,55,202,1
오라이등심,32,92,70,290,1
오양회참치 광화문본점,31,51,124,237,3
오우가,101,114,186,648,3
오향족발,121,220,727,2098,3
옥류헌릴렉스,360,596,4705,3186,549
와이키키마켓,96,223,1281,1000,55
완차이,20,58,55,320,2
왕돈까스&왕냉면,20,19,70,132,4
외양간,125,186,123,716,4
요리하는남자,118,421,1088,1405,5
용금옥,39,55,57,380,0
용문집,18,54,98,200,8
용산구기와,131,136,720,365,106
우래옥,201,841,3325,7272,468
우리강산,11,62,67,188,9
우리집떡볶이,215,273,199,956,83
우묵배미,19,47,110,179,3
우성갈비,30,45,78,248,2
우스마니아,1,5,7,16,0
우정,496,458,310,2401,63
우정낙지,18,92,77,369,0
운산,57,101,327,244,29
울프강스테이크하우스,227,1679,5605,4676,575
워킹온더클라우드,387,1801,5795,3249,664
원대구탕,198,320,243,2075,4
원조홍어 본점,9,8,5,89,1
위대한밥상 영광,7,6,19,48,0
유진막국수,41,86,102,493,7
은주정,416,183,434,2303,5
은호식당,34,69,115,488,1
을지다방,56,159,279,398,2
을지로 원형들,14,63,289,600,2
이강순실비집,38,88,73,406,2
이끼롤까스 가로수길,119,279,430,1066,5
이닝,23,62,164,276,17
이화감자국,82,90,60,287,6
익선동 그집,28,53,102,246,0
인사동 촌,57,68,305,296,2
인사동그집,89,189,467,581,1
인사동큰집,20,14,43,70,2
인왕산 더숲 초소책방,141,393,9074,4601,24
인크커피 가산점,168,511,5727,5310,23
일미간장게장본점,25,69,185,550,49
일일향 논현2호점,53,157,367,783,48
잇텐고,117,267,573,1161,1
자원대구탕,60,81,60,419,1
자인뭉티기,58,96,166,491,8
자하손만두,47,254,1191,1881,80
장군갈비,36,202,365,760,55
장군보쌈,151,145,338,906,8
장꼬방김치찌개전문,401,272,726,2267,375
장미삼계탕,12,31,44,121,3
장수촌 풍천장어,51,78,158,430,4
장안동 먹깨비 간장게장 해물아구찜,67,235,435,928,90
장프리고,7,48,150,233,0
전민규의황제누룽지탕 노원직영점,188,541,1502,3866,197
전주식당,199,225,254,778,4
전주유할머니비빔밥,33,56,56,258,1
전주회관,30,76,118,219,1
전통다원,33,178,996,982,1
정감어린,99,304,654,1271,121
정식당,34,251,591,851,27
제비다방,4,9,121,47,2
제일콩집,219,375,510,2802,111
제주국수,56,62,218,477,19
조선옥,18,95,123,394,4
종가집,33,71,114,414,2
종로구밀림,32,261,1809,1166,2
주은감자탕,234,213,691,2356,55
중구 베테랑칼국수,63,65,179,764,13
중구 송원,18,42,208,311,12
중앙갈치식당,734,588,516,3969,12
지화자,33,52,161,105,16
진고개,32,140,200,609,4
진남포면옥,34,77,156,656,17
진남회집,25,63,98,182,17
진미옥설농탕,89,210,358,1036,39
진미평양냉면,148,349,794,3498,228
진옥화할매원조닭한마리,637,567,1518,5782,21
진원조 닭한마리,94,141,277,714,2
진주집,284,750,2093,7712,130
진주회관,302,535,1888,8530,96
쭈꾸미킹2.0 상봉점,750,543,1405,3776,492
참만나,60,173,298,609,20
참숯골,38,66,222,539,3
창성옥,161,179,258,1004,3
채그로,7,24,456,87,5
챠크라,3,14,26,63,2
청담골,208,110,285,734,55
청담나인,32,85,507,257,16
청송본관함흥냉면,24,113,129,408,44
청송옥,53,63,151,421,3
청수정,93,210,330,1372,9
청수횟집,71,63,111,360,3
청와옥 본점,801,1025,2750,6708,202
청해진,201,723,1811,1356,105
초록뜰,22,34,36,133,0
초롱이고모부대찌개,78,99,70,452,0
초우마을,33,30,89,122,5
촛불1978,118,822,2837,1750,166
최대감네,150,236,1518,1794,5
최수사 대게마을,23,27,69,114,3
춘천집닭갈비막국수,87,241,218,676,3
충남식당,101,125,171,795,75
충무로부산복집,0,19,24,83,3
친니,78,316,858,1553,62
칠형제우리감자탕,34,75,126,332,16
카나디안 랍스터,2,10,37,33,9
카페 모뜨,4,55,364,148,47
카페 폭포,42,43,552,211,13
카페 할아버지공장,53,215,3170,1953,10
커피친구,15,64,107,221,1
컨퍼런스하우스달개비 정동점,17,20,115,73,5
케르반레스토랑,99,319,847,1488,4
