,Attraction,Good_Point,Selected_People
803,채그로,뷰가 좋아요,146
804,채그로,집중하기 좋아요,62
805,채그로,읽을만한 책이 많아요,61
806,채그로,인테리어가 멋져요,60
807,채그로,커피가 맛있어요,39
808,채그로,좌석이 편해요,37
809,채그로,사진이 잘 나와요,34
810,채그로,대화하기 좋아요,34
811,채그로,음료가 맛있어요,29
812,채그로,친절해요,24
813,채그로,화장실이 깨끗해요,15
814,채그로,디저트가 맛있어요,13
815,채그로,가성비가 좋아요,7
816,채그로,주차하기 편해요,5
817,채그로,특별한 메뉴가 있어요,5
818,채그로,아늑해요,4
819,채그로,차분한 분위기에요,1
820,채그로,매장이 넓어요,1
821,채그로,매장이 청결해요,1
822,채그로,건강한 맛이에요,1
962,소소한 풍경,음식이 맛있어요,367
963,소소한 풍경,특별한 메뉴가 있어요,171
964,소소한 풍경,친절해요,150
965,소소한 풍경,재료가 신선해요,143
966,소소한 풍경,인테리어가 멋져요,117
967,소소한 풍경,뷰가 좋아요,114
968,소소한 풍경,특별한 날 가기 좋아요,102
969,소소한 풍경,매장이 청결해요,55
970,소소한 풍경,가성비가 좋아요,48
971,소소한 풍경,단체모임 하기 좋아요,41
972,소소한 풍경,양이 많아요,39
973,소소한 풍경,매장이 넓어요,36
974,소소한 풍경,화장실이 깨끗해요,18
975,소소한 풍경,건강한 맛이에요,8
976,소소한 풍경,메뉴 구성이 알차요,5
977,소소한 풍경,야외 공간이 멋져요,5
978,소소한 풍경,차분한 분위기에요,3
979,소소한 풍경,혼밥하기 좋아요,3
980,소소한 풍경,주차하기 편해요,3
981,소소한 풍경,아늑해요,2
982,소소한 풍경,반찬이 잘 나와요,2
983,소소한 풍경,컨셉이 독특해요,1
984,소소한 풍경,코스요리가 알차요,1
985,소소한 풍경,음식이 빨리 나와요,1
986,소소한 풍경,사진이 잘 나와요,1
987,소소한 풍경,대화하기 좋아요,1
1223,영등포 신길동 홍어거리,음식이 맛있어요,120
1224,영등포 신길동 홍어거리,친절해요,48
1225,영등포 신길동 홍어거리,재료가 신선해요,37
1226,영등포 신길동 홍어거리,특별한 메뉴가 있어요,37
1227,영등포 신길동 홍어거리,양이 많아요,19
1228,영등포 신길동 홍어거리,가성비가 좋아요,16
1229,영등포 신길동 홍어거리,특별한 날 가기 좋아요,12
1230,영등포 신길동 홍어거리,단체모임 하기 좋아요,12
1231,영등포 신길동 홍어거리,매장이 넓어요,8
1232,영등포 신길동 홍어거리,매장이 청결해요,8
1233,영등포 신길동 홍어거리,주차하기 편해요,4
1234,영등포 신길동 홍어거리,화장실이 깨끗해요,3
1235,영등포 신길동 홍어거리,인테리어가 멋져요,1
1236,영등포 신길동 홍어거리,메뉴 구성이 알차요,1
1237,영등포 신길동 홍어거리,건강한 맛이에요,1
1598,서울 신림동 민속순대타운,음식이 맛있어요,253
1599,서울 신림동 민속순대타운,양이 많아요,165
1600,서울 신림동 민속순대타운,가성비가 좋아요,120
1601,서울 신림동 민속순대타운,친절해요,114
1602,서울 신림동 민속순대타운,특별한 메뉴가 있어요,29
1603,서울 신림동 민속순대타운,재료가 신선해요,24
1604,서울 신림동 민속순대타운,단체모임 하기 좋아요,18
1605,서울 신림동 민속순대타운,직접 잘 구워줘요,15
1606,서울 신림동 민속순대타운,고기 질이 좋아요,13
1607,서울 신림동 민속순대타운,매장이 넓어요,8
1608,서울 신림동 민속순대타운,매장이 청결해요,6
1609,서울 신림동 민속순대타운,혼밥하기 좋아요,5
1610,서울 신림동 민속순대타운,인테리어가 멋져요,5
1611,서울 신림동 민속순대타운,주차하기 편해요,4
1612,서울 신림동 민속순대타운,화장실이 깨끗해요,3
1613,서울 신림동 민속순대타운,특별한 날 가기 좋아요,2
1614,서울 신림동 민속순대타운,뷰가 좋아요,2
1615,서울 신림동 민속순대타운,음식이 빨리 나와요,1
1616,서울 신림동 민속순대타운,잡내가 적어요,1
1617,서울 신림동 민속순대타운,건강한 맛이에요,1
1696,마복림할머니집,음식이 맛있어요,3605
1697,마복림할머니집,양이 많아요,1238
1698,마복림할머니집,매장이 넓어요,1164
1699,마복림할머니집,가성비가 좋아요,1026
1700,마복림할머니집,친절해요,823
1701,마복림할머니집,특별한 메뉴가 있어요,590
1702,마복림할머니집,재료가 신선해요,537
1703,마복림할머니집,주차하기 편해요,457
1704,마복림할머니집,단체모임 하기 좋아요,239
1705,마복림할머니집,매장이 청결해요,226
1706,마복림할머니집,특별한 날 가기 좋아요,106
1707,마복림할머니집,혼밥하기 좋아요,92
1708,마복림할머니집,음식이 빨리 나와요,64
1709,마복림할머니집,화장실이 깨끗해요,45
1710,마복림할머니집,인테리어가 멋져요,39
1711,마복림할머니집,뷰가 좋아요,22
1712,마복림할머니집,메뉴 구성이 알차요,17
1713,마복림할머니집,대화하기 좋아요,7
1714,마복림할머니집,건강한 맛이에요,6
1715,마복림할머니집,현지 맛에 가까워요,4
1716,마복림할머니집,아이와 가기 좋아요,3
1717,마복림할머니집,포장이 깔끔해요,3
1718,마복림할머니집,차분한 분위기에요,2
1719,마복림할머니집,컨셉이 독특해요,2
1720,마복림할머니집,아늑해요,2
1721,마복림할머니집,술이 다양해요,1
1722,마복림할머니집,혼술하기 좋아요,1
1723,마복림할머니집,사진이 잘 나와요,1
1724,마복림할머니집,비싼 만큼 가치있어요,1
1725,마복림할머니집,반찬이 잘 나와요,1
1726,마복림할머니집,향신료가 강하지 않아요,1
1744,뮤직컴플렉스 서울,인테리어가 멋져요,375
1745,뮤직컴플렉스 서울,사진이 잘 나와요,165
1746,뮤직컴플렉스 서울,친절해요,146
1747,뮤직컴플렉스 서울,좌석이 편해요,142
1748,뮤직컴플렉스 서울,커피가 맛있어요,127
1749,뮤직컴플렉스 서울,집중하기 좋아요,115
1750,뮤직컴플렉스 서울,음료가 맛있어요,83
1751,뮤직컴플렉스 서울,대화하기 좋아요,77
1752,뮤직컴플렉스 서울,매장이 청결해요,75
1753,뮤직컴플렉스 서울,음악이 좋아요,60
1754,뮤직컴플렉스 서울,특별한 메뉴가 있어요,50
1755,뮤직컴플렉스 서울,화장실이 깨끗해요,49
1756,뮤직컴플렉스 서울,디저트가 맛있어요,43
1757,뮤직컴플렉스 서울,뷰가 좋아요,34
1758,뮤직컴플렉스 서울,매장이 넓어요,22
1759,뮤직컴플렉스 서울,컨셉이 독특해요,21
1760,뮤직컴플렉스 서울,아늑해요,14
1761,뮤직컴플렉스 서울,차분한 분위기에요,13
1762,뮤직컴플렉스 서울,가성비가 좋아요,12
1763,뮤직컴플렉스 서울,비싼 만큼 가치있어요,11
1764,뮤직컴플렉스 서울,특별한 날 가기 좋아요,6
1765,뮤직컴플렉스 서울,오래 머무르기 좋아요,6
1766,뮤직컴플렉스 서울,주차하기 편해요,4
1767,뮤직컴플렉스 서울,룸이 잘 되어있어요,2
1768,뮤직컴플렉스 서울,혼술하기 좋아요,1
1769,뮤직컴플렉스 서울,음식이 빨리 나와요,1
1770,뮤직컴플렉스 서울,종류가 다양해요,1
1771,또순이네집,음식이 맛있어요,2709
1772,또순이네집,가성비가 좋아요,838
1773,또순이네집,매장이 넓어요,687
1774,또순이네집,특별한 메뉴가 있어요,606
1775,또순이네집,양이 많아요,560
1776,또순이네집,친절해요,459
1777,또순이네집,고기 질이 좋아요,370
1778,또순이네집,재료가 신선해요,346
1779,또순이네집,단체모임 하기 좋아요,303
1780,또순이네집,주차하기 편해요,266
1781,또순이네집,혼밥하기 좋아요,153
1782,또순이네집,매장이 청결해요,85
1783,또순이네집,특별한 날 가기 좋아요,60
1784,또순이네집,음식이 빨리 나와요,40
1785,또순이네집,인테리어가 멋져요,28
1786,또순이네집,화장실이 깨끗해요,22
1787,또순이네집,직접 잘 구워줘요,20
1788,또순이네집,건강한 맛이에요,19
1789,또순이네집,잡내가 적어요,13
1790,또순이네집,뷰가 좋아요,12
1791,또순이네집,비싼 만큼 가치있어요,5
1792,또순이네집,컨셉이 독특해요,3
1793,또순이네집,아늑해요,1
1794,또순이네집,메뉴 구성이 알차요,1
1795,또순이네집,룸이 잘 되어있어요,1
1796,또순이네집,반찬이 잘 나와요,1
1797,또순이네집,환기가 잘 돼요,1
1798,우묵배미,음식이 맛있어요,113
1799,우묵배미,친절해요,46
1800,우묵배미,매장이 넓어요,45
1801,우묵배미,단체모임 하기 좋아요,27
1802,우묵배미,양이 많아요,21
1803,우묵배미,고기 질이 좋아요,20
1804,우묵배미,가성비가 좋아요,19
1805,우묵배미,매장이 청결해요,18
1806,우묵배미,재료가 신선해요,15
1807,우묵배미,혼밥하기 좋아요,13
1808,우묵배미,특별한 메뉴가 있어요,9
1809,우묵배미,인테리어가 멋져요,3
1810,우묵배미,주차하기 편해요,3
1811,우묵배미,화장실이 깨끗해요,2
1812,우묵배미,음식이 빨리 나와요,1
1813,우묵배미,특별한 날 가기 좋아요,1
1814,우묵배미,건강한 맛이에요,1
1815,우묵배미,뷰가 좋아요,1
1849,청계산,뷰가 좋아요,46
1850,청계산,사진이 잘 나와요,28
1851,청계산,대중교통이 편해요,14
1852,청계산,산책로가 잘 되어있어요,14
1853,청계산,경관이 독특해요,12
1854,청계산,주차하기 편해요,11
1855,청계산,볼거리가 많아요,10
1856,청계산,근처에 갈 곳이 많아요,10
1857,청계산,붐비지 않아요,9
1858,청계산,방문객이 많아요,7
1859,청계산,피크닉하기 좋아요,5
1860,청계산,코스가 길어요,3
1861,청계산,관리가 잘 되어있어요,3
1862,청계산,조용히 쉬기 좋아요,3
1863,청계산,편의시설이 잘 되어있어요,2
1864,청계산,먹거리가 풍부해요,2
1865,청계산,반려동물과 가기 좋아요,2
1866,청계산,화장실이 깨끗해요,2
1916,토속촌삼계탕,음식이 맛있어요,4202
1917,토속촌삼계탕,매장이 넓어요,1403
1918,토속촌삼계탕,특별한 메뉴가 있어요,741
1919,토속촌삼계탕,친절해요,643
1920,토속촌삼계탕,양이 많아요,541
1921,토속촌삼계탕,재료가 신선해요,514
1922,토속촌삼계탕,단체모임 하기 좋아요,480
1923,토속촌삼계탕,주차하기 편해요,373
1924,토속촌삼계탕,인테리어가 멋져요,277
1925,토속촌삼계탕,특별한 날 가기 좋아요,260
1926,토속촌삼계탕,매장이 청결해요,249
1927,토속촌삼계탕,고기 질이 좋아요,243
1928,토속촌삼계탕,가성비가 좋아요,174
1929,토속촌삼계탕,혼밥하기 좋아요,139
1930,토속촌삼계탕,화장실이 깨끗해요,97
1931,토속촌삼계탕,건강한 맛이에요,76
1932,토속촌삼계탕,뷰가 좋아요,51
1933,토속촌삼계탕,음식이 빨리 나와요,47
1934,토속촌삼계탕,잡내가 적어요,29
1935,토속촌삼계탕,비싼 만큼 가치있어요,16
1936,토속촌삼계탕,직접 잘 구워줘요,6
1937,토속촌삼계탕,반찬이 잘 나와요,5
1938,토속촌삼계탕,컨셉이 독특해요,4
1939,토속촌삼계탕,아늑해요,3
1940,토속촌삼계탕,아이와 가기 좋아요,3
1941,토속촌삼계탕,메뉴 구성이 알차요,2
1942,토속촌삼계탕,룸이 잘 되어있어요,2
1943,토속촌삼계탕,차분한 분위기에요,1
1944,토속촌삼계탕,코스요리가 알차요,1
1945,토속촌삼계탕,야외 공간이 멋져요,1
1946,토속촌삼계탕,환기가 잘 돼요,1
1978,석파랑,음식이 맛있어요,43
1979,석파랑,특별한 날 가기 좋아요,25
1980,석파랑,차분한 분위기에요,24
1981,석파랑,친절해요,22
1982,석파랑,뷰가 좋아요,21
1983,석파랑,재료가 신선해요,19
1984,석파랑,인테리어가 멋져요,16
1985,석파랑,단체모임 하기 좋아요,16
1986,석파랑,비싼 만큼 가치있어요,13
1987,석파랑,주차하기 편해요,11
1988,석파랑,매장이 넓어요,6
1989,석파랑,매장이 청결해요,6
1990,석파랑,양이 많아요,4
1991,석파랑,화장실이 깨끗해요,3
1992,석파랑,가성비가 좋아요,2
1993,석파랑,혼밥하기 좋아요,1
1994,석파랑,음식이 빨리 나와요,1
2014,[백년가게]선천집,음식이 맛있어요,41
2015,[백년가게]선천집,친절해요,23
2016,[백년가게]선천집,재료가 신선해요,10
2017,[백년가게]선천집,단체모임 하기 좋아요,9
2018,[백년가게]선천집,매장이 청결해요,6
2019,[백년가게]선천집,가성비가 좋아요,5
2020,[백년가게]선천집,매장이 넓어요,5
2021,[백년가게]선천집,특별한 날 가기 좋아요,3
2022,[백년가게]선천집,특별한 메뉴가 있어요,3
2023,[백년가게]선천집,양이 많아요,2
2024,[백년가게]선천집,차분한 분위기에요,1
2025,[백년가게]선천집,아늑해요,1
2026,[백년가게]선천집,혼밥하기 좋아요,1
2027,[백년가게]선천집,인테리어가 멋져요,1
2028,[백년가게]선천집,주차하기 편해요,1
2029,[백년가게]선천집,대화하기 좋아요,1
2030,[백년가게]선천집,건강한 맛이에요,1
2059,청수정,음식이 맛있어요,739
2060,청수정,특별한 메뉴가 있어요,281
2061,청수정,재료가 신선해요,233
2062,청수정,친절해요,207
2063,청수정,양이 많아요,98
2064,청수정,가성비가 좋아요,86
2065,청수정,특별한 날 가기 좋아요,83
2066,청수정,단체모임 하기 좋아요,68
2067,청수정,매장이 청결해요,66
2068,청수정,매장이 넓어요,39
2069,청수정,인테리어가 멋져요,31
2070,청수정,혼밥하기 좋아요,20
2071,청수정,반찬이 잘 나와요,11
2072,청수정,화장실이 깨끗해요,11
2073,청수정,주차하기 편해요,9
2074,청수정,건강한 맛이에요,8
2075,청수정,뷰가 좋아요,7
2076,청수정,메뉴 구성이 알차요,4
2077,청수정,음식이 빨리 나와요,3
2078,청수정,비싼 만큼 가치있어요,3
2079,청수정,아이와 가기 좋아요,2
2080,청수정,향신료가 강하지 않아요,2
2081,청수정,컨셉이 독특해요,1
2082,청수정,아늑해요,1
2083,청수정,대화하기 좋아요,1
2113,서울 종로 낙지볶음 골목,음식이 맛있어요,919
2114,서울 종로 낙지볶음 골목,가성비가 좋아요,308
2115,서울 종로 낙지볶음 골목,양이 많아요,302
2116,서울 종로 낙지볶음 골목,친절해요,264
2117,서울 종로 낙지볶음 골목,재료가 신선해요,206
2118,서울 종로 낙지볶음 골목,혼밥하기 좋아요,135
2119,서울 종로 낙지볶음 골목,특별한 메뉴가 있어요,120
2120,서울 종로 낙지볶음 골목,매장이 청결해요,28
2121,서울 종로 낙지볶음 골목,인테리어가 멋져요,17
2122,서울 종로 낙지볶음 골목,매장이 넓어요,14
2123,서울 종로 낙지볶음 골목,단체모임 하기 좋아요,11
2124,서울 종로 낙지볶음 골목,건강한 맛이에요,8
2125,서울 종로 낙지볶음 골목,뷰가 좋아요,7
2126,서울 종로 낙지볶음 골목,음식이 빨리 나와요,6
2127,서울 종로 낙지볶음 골목,반찬이 잘 나와요,6
2128,서울 종로 낙지볶음 골목,메뉴 구성이 알차요,5
2129,서울 종로 낙지볶음 골목,아늑해요,4
2130,서울 종로 낙지볶음 골목,잡내가 적어요,4
2131,서울 종로 낙지볶음 골목,주차하기 편해요,2
2132,서울 종로 낙지볶음 골목,특별한 날 가기 좋아요,2
2133,서울 종로 낙지볶음 골목,직접 잘 구워줘요,2
2134,서울 종로 낙지볶음 골목,대화하기 좋아요,2
2135,서울 종로 낙지볶음 골목,컨셉이 독특해요,1
2136,서울 종로 낙지볶음 골목,혼술하기 좋아요,1
2137,서울 종로 낙지볶음 골목,현지 맛에 가까워요,1
2138,서울 종로 낙지볶음 골목,집중하기 좋아요,1
2139,서울 종로 낙지볶음 골목,화장실이 깨끗해요,1
2154,[백년가게]만석장,음식이 맛있어요,764
2155,[백년가게]만석장,재료가 신선해요,459
2156,[백년가게]만석장,친절해요,216
2157,[백년가게]만석장,매장이 넓어요,193
2158,[백년가게]만석장,양이 많아요,158
2159,[백년가게]만석장,뷰가 좋아요,158
2160,[백년가게]만석장,가성비가 좋아요,139
2161,[백년가게]만석장,특별한 메뉴가 있어요,129
2162,[백년가게]만석장,단체모임 하기 좋아요,126
2163,[백년가게]만석장,매장이 청결해요,95
2164,[백년가게]만석장,특별한 날 가기 좋아요,52
2165,[백년가게]만석장,인테리어가 멋져요,48
2166,[백년가게]만석장,주차하기 편해요,46
2167,[백년가게]만석장,화장실이 깨끗해요,22
2168,[백년가게]만석장,건강한 맛이에요,17
2169,[백년가게]만석장,반찬이 잘 나와요,11
2170,[백년가게]만석장,메뉴 구성이 알차요,10
2171,[백년가게]만석장,혼밥하기 좋아요,7
2172,[백년가게]만석장,음식이 빨리 나와요,3
2173,[백년가게]만석장,야외 공간이 멋져요,3
2174,[백년가게]만석장,샐러드바가 잘 되어있어요,2
2175,[백년가게]만석장,아늑해요,1
2176,[백년가게]만석장,향신료가 강하지 않아요,1
2177,[백년가게]만석장,환기가 잘 돼요,1
2268,[백년가게]선동보리밥,음식이 맛있어요,453
2269,[백년가게]선동보리밥,재료가 신선해요,222
2270,[백년가게]선동보리밥,건강한 맛이에요,187
2271,[백년가게]선동보리밥,친절해요,133
2272,[백년가게]선동보리밥,가성비가 좋아요,70
2273,[백년가게]선동보리밥,특별한 메뉴가 있어요,54
2274,[백년가게]선동보리밥,매장이 청결해요,49
2275,[백년가게]선동보리밥,주차하기 편해요,27
2276,[백년가게]선동보리밥,혼밥하기 좋아요,23
2277,[백년가게]선동보리밥,양이 많아요,21
2278,[백년가게]선동보리밥,단체모임 하기 좋아요,21
2279,[백년가게]선동보리밥,야외 공간이 멋져요,20
2280,[백년가게]선동보리밥,뷰가 좋아요,13
2281,[백년가게]선동보리밥,화장실이 깨끗해요,11
2282,[백년가게]선동보리밥,인테리어가 멋져요,7
2283,[백년가게]선동보리밥,음식이 빨리 나와요,3
2284,[백년가게]선동보리밥,매장이 넓어요,3
2285,[백년가게]선동보리밥,메뉴 구성이 알차요,2
2286,[백년가게]선동보리밥,반찬이 잘 나와요,2
2287,[백년가게]선동보리밥,특별한 날 가기 좋아요,2
2288,[백년가게]선동보리밥,차분한 분위기에요,1
2289,[백년가게]선동보리밥,아늑해요,1
2290,[백년가게]선동보리밥,반려동물과 가기 좋아요,1
2424,대림창고,커피가 맛있어요,1101
2425,대림창고,인테리어가 멋져요,1030
2426,대림창고,디저트가 맛있어요,650
2427,대림창고,매장이 넓어요,538
2428,대림창고,사진이 잘 나와요,398
2429,대림창고,특별한 메뉴가 있어요,267
2430,대림창고,음료가 맛있어요,198
2431,대림창고,대화하기 좋아요,196
2432,대림창고,빵이 맛있어요,192
2433,대림창고,매장이 청결해요,191
2434,대림창고,친절해요,175
2435,대림창고,화장실이 깨끗해요,128
2436,대림창고,뷰가 좋아요,125
2437,대림창고,음악이 좋아요,102
2438,대림창고,좌석이 편해요,97
2439,대림창고,메뉴 구성이 알차요,58
2440,대림창고,집중하기 좋아요,26
2441,대림창고,가성비가 좋아요,23
2442,대림창고,컨셉이 독특해요,17
2443,대림창고,오래 머무르기 좋아요,11
2444,대림창고,아늑해요,7
2445,대림창고,주차하기 편해요,7
2446,대림창고,비싼 만큼 가치있어요,7
2447,대림창고,차분한 분위기에요,6
2448,대림창고,단체모임 하기 좋아요,5
2449,대림창고,종류가 다양해요,4
2450,대림창고,특별한 날 가기 좋아요,3
2451,대림창고,건강한 맛이에요,3
2452,대림창고,음식이 맛있어요,1
2453,대림창고,재료가 신선해요,1
2454,대림창고,야외 공간이 멋져요,1
2455,대림창고,룸이 잘 되어있어요,1
2492,컨퍼런스하우스달개비 정동점,음식이 맛있어요,53
2493,컨퍼런스하우스달개비 정동점,단체모임 하기 좋아요,32
2494,컨퍼런스하우스달개비 정동점,차분한 분위기에요,22
2495,컨퍼런스하우스달개비 정동점,친절해요,20
2496,컨퍼런스하우스달개비 정동점,재료가 신선해요,16
2497,컨퍼런스하우스달개비 정동점,매장이 청결해요,16
2498,컨퍼런스하우스달개비 정동점,비싼 만큼 가치있어요,14
2499,컨퍼런스하우스달개비 정동점,인테리어가 멋져요,13
2500,컨퍼런스하우스달개비 정동점,매장이 넓어요,13
2501,컨퍼런스하우스달개비 정동점,특별한 날 가기 좋아요,12
2502,컨퍼런스하우스달개비 정동점,주차하기 편해요,5
2503,컨퍼런스하우스달개비 정동점,가성비가 좋아요,3
2504,컨퍼런스하우스달개비 정동점,화장실이 깨끗해요,3
2505,컨퍼런스하우스달개비 정동점,뷰가 좋아요,3
2506,컨퍼런스하우스달개비 정동점,건강한 맛이에요,2
2507,컨퍼런스하우스달개비 정동점,양이 많아요,1
2508,컨퍼런스하우스달개비 정동점,룸이 잘 되어있어요,1
2509,컨퍼런스하우스달개비 정동점,특별한 메뉴가 있어요,1
2510,겟댓샷(Get That Shot),인테리어가 멋져요,384
2511,겟댓샷(Get That Shot),사진이 잘 나와요,240
2512,겟댓샷(Get That Shot),커피가 맛있어요,231
2513,겟댓샷(Get That Shot),디저트가 맛있어요,181
2514,겟댓샷(Get That Shot),특별한 메뉴가 있어요,158
2515,겟댓샷(Get That Shot),음료가 맛있어요,154
2516,겟댓샷(Get That Shot),친절해요,113
2517,겟댓샷(Get That Shot),매장이 청결해요,81
2518,겟댓샷(Get That Shot),대화하기 좋아요,72
2519,겟댓샷(Get That Shot),좌석이 편해요,56
2520,겟댓샷(Get That Shot),가성비가 좋아요,41
2521,겟댓샷(Get That Shot),화장실이 깨끗해요,30
2522,겟댓샷(Get That Shot),뷰가 좋아요,29
2523,겟댓샷(Get That Shot),주차하기 편해요,16
2524,겟댓샷(Get That Shot),매장이 넓어요,15
2525,겟댓샷(Get That Shot),집중하기 좋아요,12
2526,겟댓샷(Get That Shot),컨셉이 독특해요,9
2527,겟댓샷(Get That Shot),빵이 맛있어요,7
2528,겟댓샷(Get That Shot),아늑해요,2
2529,겟댓샷(Get That Shot),음식이 빨리 나와요,2
2530,겟댓샷(Get That Shot),아이와 가기 좋아요,1
2531,겟댓샷(Get That Shot),룸이 잘 되어있어요,1
2532,겟댓샷(Get That Shot),특별한 날 가기 좋아요,1
2533,겟댓샷(Get That Shot),오래 머무르기 좋아요,1
2592,더 스팟 패뷸러스,디저트가 맛있어요,1328
2593,더 스팟 패뷸러스,인테리어가 멋져요,1028
2594,더 스팟 패뷸러스,커피가 맛있어요,963
2595,더 스팟 패뷸러스,음료가 맛있어요,420
2596,더 스팟 패뷸러스,사진이 잘 나와요,404
2597,더 스팟 패뷸러스,뷰가 좋아요,357
2598,더 스팟 패뷸러스,친절해요,343
2599,더 스팟 패뷸러스,특별한 메뉴가 있어요,315
2600,더 스팟 패뷸러스,대화하기 좋아요,192
2601,더 스팟 패뷸러스,매장이 청결해요,137
2602,더 스팟 패뷸러스,좌석이 편해요,47
2603,더 스팟 패뷸러스,가성비가 좋아요,45
2604,더 스팟 패뷸러스,집중하기 좋아요,25
2605,더 스팟 패뷸러스,매장이 넓어요,24
2606,더 스팟 패뷸러스,화장실이 깨끗해요,12
2607,더 스팟 패뷸러스,컨셉이 독특해요,8
2608,더 스팟 패뷸러스,비싼 만큼 가치있어요,6
2609,더 스팟 패뷸러스,음악이 좋아요,5
2610,더 스팟 패뷸러스,빵이 맛있어요,4
2611,더 스팟 패뷸러스,아늑해요,4
2612,더 스팟 패뷸러스,차분한 분위기에요,3
2613,더 스팟 패뷸러스,음식이 빨리 나와요,3
2614,더 스팟 패뷸러스,음식이 맛있어요,3
2615,더 스팟 패뷸러스,주차하기 편해요,3
2616,더 스팟 패뷸러스,특별한 날 가기 좋아요,2
2617,더 스팟 패뷸러스,혼밥하기 좋아요,1
2618,더 스팟 패뷸러스,선물하기 좋아요,1
2619,더 스팟 패뷸러스,야외 공간이 멋져요,1
2620,더 스팟 패뷸러스,오래 머무르기 좋아요,1
2621,더 스팟 패뷸러스,단체모임 하기 좋아요,1
2622,더 스팟 패뷸러스,종류가 다양해요,1
2636,진고개,음식이 맛있어요,366
2637,진고개,친절해요,138
2638,진고개,특별한 메뉴가 있어요,108
2639,진고개,매장이 넓어요,69
2640,진고개,양이 많아요,66
2641,진고개,재료가 신선해요,64
2642,진고개,단체모임 하기 좋아요,62
2643,진고개,가성비가 좋아요,29
2644,진고개,특별한 날 가기 좋아요,22
2645,진고개,매장이 청결해요,17
2646,진고개,화장실이 깨끗해요,9
2647,진고개,혼밥하기 좋아요,8
2648,진고개,인테리어가 멋져요,8
2649,진고개,주차하기 편해요,4
2650,진고개,메뉴 구성이 알차요,3
2651,진고개,반찬이 잘 나와요,3
2652,진고개,음식이 빨리 나와요,2
2653,진고개,대화하기 좋아요,2
2654,진고개,건강한 맛이에요,2
2655,진고개,뷰가 좋아요,2
2656,진고개,컨셉이 독특해요,1
2746,우래옥,음식이 맛있어요,4107
2747,우래옥,매장이 넓어요,1452
2748,우래옥,특별한 메뉴가 있어요,1310
2749,우래옥,양이 많아요,939
2750,우래옥,재료가 신선해요,827
2751,우래옥,친절해요,813
2752,우래옥,매장이 청결해요,607
2753,우래옥,주차하기 편해요,468
2754,우래옥,단체모임 하기 좋아요,283
2755,우래옥,특별한 날 가기 좋아요,272
2756,우래옥,인테리어가 멋져요,236
2757,우래옥,혼밥하기 좋아요,219
2758,우래옥,화장실이 깨끗해요,207
2759,우래옥,가성비가 좋아요,114
2760,우래옥,비싼 만큼 가치있어요,82
2761,우래옥,건강한 맛이에요,54
2762,우래옥,뷰가 좋아요,29
2763,우래옥,음식이 빨리 나와요,21
2764,우래옥,고기 질이 좋아요,12
2765,우래옥,반찬이 잘 나와요,11
2766,우래옥,현지 맛에 가까워요,6
2767,우래옥,직접 잘 구워줘요,6
2768,우래옥,아늑해요,5
2769,우래옥,메뉴 구성이 알차요,5
2770,우래옥,차분한 분위기에요,4
2771,우래옥,좌석이 편해요,4
2772,우래옥,잡내가 적어요,3
2773,우래옥,향신료가 강하지 않아요,3
2774,우래옥,컨셉이 독특해요,2
2775,우래옥,대화하기 좋아요,2
2776,우래옥,혼술하기 좋아요,1
2777,우래옥,포장이 깔끔해요,1
2778,우래옥,룸이 잘 되어있어요,1
2779,우래옥,환기가 잘 돼요,1
2834,인왕산 더숲 초소책방,뷰가 좋아요,3554
2835,인왕산 더숲 초소책방,커피가 맛있어요,2190
2836,인왕산 더숲 초소책방,야외 공간이 멋져요,1428
2837,인왕산 더숲 초소책방,디저트가 맛있어요,1397
2838,인왕산 더숲 초소책방,인테리어가 멋져요,962
2839,인왕산 더숲 초소책방,사진이 잘 나와요,924
2840,인왕산 더숲 초소책방,음료가 맛있어요,770
2841,인왕산 더숲 초소책방,대화하기 좋아요,718
2842,인왕산 더숲 초소책방,읽을만한 책이 많아요,694
2843,인왕산 더숲 초소책방,친절해요,392
2844,인왕산 더숲 초소책방,화장실이 깨끗해요,268
2845,인왕산 더숲 초소책방,특별한 메뉴가 있어요,232
2846,인왕산 더숲 초소책방,특별한 날 가기 좋아요,222
2847,인왕산 더숲 초소책방,좌석이 편해요,98
2848,인왕산 더숲 초소책방,메뉴 구성이 알차요,97
2849,인왕산 더숲 초소책방,집중하기 좋아요,53
2850,인왕산 더숲 초소책방,아이와 가기 좋아요,45
2851,인왕산 더숲 초소책방,가성비가 좋아요,40
2852,인왕산 더숲 초소책방,매장이 청결해요,35
2853,인왕산 더숲 초소책방,매장이 넓어요,29
2854,인왕산 더숲 초소책방,주차하기 편해요,24
2855,인왕산 더숲 초소책방,차분한 분위기에요,12
2856,인왕산 더숲 초소책방,아늑해요,10
2857,인왕산 더숲 초소책방,컨셉이 독특해요,7
2858,인왕산 더숲 초소책방,오래 머무르기 좋아요,7
2859,인왕산 더숲 초소책방,반려동물과 가기 좋아요,5
2860,인왕산 더숲 초소책방,음식이 맛있어요,4
2861,인왕산 더숲 초소책방,비싼 만큼 가치있어요,4
2862,인왕산 더숲 초소책방,빵이 맛있어요,3
2863,인왕산 더숲 초소책방,건강한 맛이에요,2
2864,인왕산 더숲 초소책방,종류가 다양해요,2
2865,인왕산 더숲 초소책방,혼밥하기 좋아요,1
