Attraction,Good_Point,Selected_People
동대문역사문화공원,뷰가 좋아요,22
동대문역사문화공원,관리가 잘 되어있어요,21
동대문역사문화공원,볼거리가 많아요,14
동대문역사문화공원,사진이 잘 나와요,12
동대문역사문화공원,산책로가 잘 되어있어요,12
동대문역사문화공원,편의시설이 잘 되어있어요,9
동대문역사문화공원,먹거리가 풍부해요,7
동대문역사문화공원,가격이 합리적이에요,7
동대문역사문화공원,방문객이 많아요,5
동대문역사문화공원,체험 프로그램이 다양해요,5
동대문역사문화공원,주차하기 편해요,4
동대문역사문화공원,컨셉이 독특해요,2
동대문역사문화공원,붐비지 않아요,2
동대문역사문화공원,유익해요,1
서울식물원,신기한 식물이 많아요,2870
서울식물원,산책로가 잘 되어있어요,2757
서울식물원,볼거리가 많아요,2666
서울식물원,사진이 잘 나와요,1101
서울식물원,뷰가 좋아요,864
서울식물원,화장실이 깨끗해요,841
서울식물원,편의시설이 잘 되어있어요,715
서울식물원,주차하기 편해요,680
서울식물원,가격이 합리적이에요,643
서울식물원,대중교통이 편해요,281
서울식물원,규모가 커요,74
서울식물원,아이와 가기 좋아요,62
서울식물원,피크닉하기 좋아요,30
서울식물원,컨셉이 독특해요,6
서울식물원,인테리어가 멋져요,5
서울식물원,체험 프로그램이 다양해요,5
서울식물원,반려동물과 가기 좋아요,3
N서울타워,뷰가 좋아요,4025
N서울타워,야경이 멋져요,1987
N서울타워,사진이 잘 나와요,1865
N서울타워,산책로가 잘 되어있어요,1391
N서울타워,볼거리가 많아요,1190
N서울타워,대중교통이 편해요,565
N서울타워,근처에 갈 곳이 많아요,442
N서울타워,가격이 합리적이에요,273
N서울타워,주차하기 편해요,167
N서울타워,화장실이 깨끗해요,84
N서울타워,시설이 깔끔해요,71
N서울타워,아이와 가기 좋아요,69
N서울타워,편의시설이 잘 되어있어요,35
N서울타워,인테리어가 멋져요,19
N서울타워,먹거리가 풍부해요,13
N서울타워,컨셉이 독특해요,6
N서울타워,체험 프로그램이 다양해요,5
N서울타워,반려동물과 가기 좋아요,3
서울숲,뷰가 좋아요,256
서울숲,사진이 잘 나와요,183
서울숲,볼거리가 많아요,98
서울숲,대중교통이 편해요,63
서울숲,피크닉하기 좋아요,57
서울숲,근처에 갈 곳이 많아요,56
서울숲,산책로가 잘 되어있어요,56
서울숲,경관이 독특해요,50
서울숲,주차하기 편해요,35
서울숲,방문객이 많아요,34
서울숲,붐비지 않아요,26
서울숲,조용히 쉬기 좋아요,24
서울숲,화장실이 깨끗해요,20
서울숲,규모가 커요,19
서울숲,반려동물과 가기 좋아요,18
서울숲,편의시설이 잘 되어있어요,17
서울숲,아이와 가기 좋아요,17
서울숲,관리가 잘 되어있어요,12
서울숲,가격이 합리적이에요,11
서울숲,체험 프로그램이 다양해요,8
서울숲,관리가 잘 되어있어요,6
서울숲,코스가 길어요,5
서울숲,신기한 식물이 많아요,4
서울숲,먹거리가 풍부해요,2
경복궁,사진이 잘 나와요,777
경복궁,볼거리가 많아요,718
경복궁,관리가 잘 되어있어요,317
경복궁,산책로가 잘 되어있어요,280
경복궁,아이와 가기 좋아요,210
경복궁,가격이 합리적이에요,195
경복궁,체험 프로그램이 다양해요,119
경복궁,주차하기 편해요,117
경복궁,뷰가 좋아요,117
경복궁,방문객이 많아요,113
경복궁,설명이 잘 되어있어요,84
경복궁,붐비지 않아요,81
경복궁,규모가 커요,68
경복궁,근처에 갈 곳이 많아요,21
경복궁,야경이 멋져요,20
경복궁,경관이 독특해요,18
경복궁,대중교통이 편해요,8
경복궁,화장실이 깨끗해요,6
경복궁,편의시설이 잘 되어있어요,4
롯데월드 어드벤처,놀이기구가 다양해요,9074
롯데월드 어드벤처,볼거리가 많아요,8780
롯데월드 어드벤처,아이와 가기 좋아요,4569
롯데월드 어드벤처,먹거리가 풍부해요,4209
롯데월드 어드벤처,사진이 잘 나와요,4008
롯데월드 어드벤처,가격이 합리적이에요,2051
롯데월드 어드벤처,주차하기 편해요,1795
롯데월드 어드벤처,체험 프로그램이 다양해요,1476
롯데월드 어드벤처,규모가 커요,524
롯데월드 어드벤처,친절해요,453
롯데월드 어드벤처,시설이 깔끔해요,289
롯데월드 어드벤처,편의시설이 잘 되어있어요,213
롯데월드 어드벤처,안전하게 관리해요,96
롯데월드 어드벤처,유익해요,66
롯데월드 어드벤처,컨셉이 독특해요,49
롯데월드 어드벤처,대기시간이 짧아요,36
롯데월드 어드벤처,수질 관리가 잘돼요,14
롯데월드 어드벤처,셔틀버스가 잘 되어있어요,10
롯데월드 어드벤처,샤워실이 잘 되어있어요,7
롯데월드 어드벤처,숙박하기 좋아요,5
롯데월드 어드벤처,반려동물과 가기 좋아요,3
롯데월드 어드벤처,동물 관리가 잘 되어있어요,2
창덕궁,사진이 잘 나와요,483
창덕궁,볼거리가 많아요,419
창덕궁,산책로가 잘 되어있어요,244
창덕궁,관리가 잘 되어있어요,207
창덕궁,붐비지 않아요,102
창덕궁,뷰가 좋아요,87
창덕궁,아이와 가기 좋아요,82
창덕궁,가격이 합리적이에요,77
창덕궁,설명이 잘 되어있어요,73
창덕궁,체험 프로그램이 다양해요,48
창덕궁,방문객이 많아요,40
창덕궁,규모가 커요,35
창덕궁,대중교통이 편해요,15
창덕궁,근처에 갈 곳이 많아요,14
창덕궁,주차하기 편해요,11
창덕궁,경관이 독특해요,11
창덕궁,화장실이 깨끗해요,6
창덕궁,야경이 멋져요,5
창덕궁,편의시설이 잘 되어있어요,1
창덕궁,반려동물과 가기 좋아요,1
덕수궁,사진이 잘 나와요,312
덕수궁,볼거리가 많아요,242
덕수궁,산책로가 잘 되어있어요,155
덕수궁,관리가 잘 되어있어요,135
덕수궁,붐비지 않아요,117
덕수궁,가격이 합리적이에요,92
덕수궁,뷰가 좋아요,69
덕수궁,아이와 가기 좋아요,68
덕수궁,체험 프로그램이 다양해요,27
덕수궁,야경이 멋져요,25
덕수궁,방문객이 많아요,23
덕수궁,설명이 잘 되어있어요,23
덕수궁,대중교통이 편해요,22
덕수궁,근처에 갈 곳이 많아요,16
덕수궁,경관이 독특해요,11
덕수궁,주차하기 편해요,9
덕수궁,규모가 커요,8
덕수궁,화장실이 깨끗해요,5
덕수궁,반려동물과 가기 좋아요,3
덕수궁,편의시설이 잘 되어있어요,2
선정릉,산책로가 잘 되어있어요,37
선정릉,붐비지 않아요,31
선정릉,사진이 잘 나와요,28
선정릉,관리가 잘 되어있어요,17
선정릉,가격이 합리적이에요,12
선정릉,주차하기 편해요,10
선정릉,뷰가 좋아요,10
선정릉,아이와 가기 좋아요,9
선정릉,볼거리가 많아요,8
선정릉,설명이 잘 되어있어요,4
선정릉,근처에 갈 곳이 많아요,3
선정릉,대중교통이 편해요,3
선정릉,방문객이 많아요,1
선정릉,편의시설이 잘 되어있어요,1
선정릉,경관이 독특해요,1
롯데월드타워 서울스카이,뷰가 좋아요,9701
롯데월드타워 서울스카이,사진이 잘 나와요,5158
롯데월드타워 서울스카이,야경이 멋져요,4604
롯데월드타워 서울스카이,볼거리가 많아요,3215
롯데월드타워 서울스카이,근처에 갈 곳이 많아요,2423
롯데월드타워 서울스카이,대중교통이 편해요,2291
롯데월드타워 서울스카이,주차하기 편해요,1647
롯데월드타워 서울스카이,가격이 합리적이에요,687
롯데월드타워 서울스카이,시설이 깔끔해요,416
롯데월드타워 서울스카이,산책로가 잘 되어있어요,415
롯데월드타워 서울스카이,아이와 가기 좋아요,212
롯데월드타워 서울스카이,화장실이 깨끗해요,211
롯데월드타워 서울스카이,편의시설이 잘 되어있어요,139
롯데월드타워 서울스카이,인테리어가 멋져요,103
롯데월드타워 서울스카이,먹거리가 풍부해요,102
롯데월드타워 서울스카이,컨셉이 독특해요,62
롯데월드타워 서울스카이,체험 프로그램이 다양해요,22
롯데월드타워 서울스카이,반려동물과 가기 좋아요,1
마포구하늘공원,산책로가 잘 되어있어요,395
마포구하늘공원,뷰가 좋아요,322
마포구하늘공원,사진이 잘 나와요,233
마포구하늘공원,볼거리가 많아요,199
마포구하늘공원,피크닉하기 좋아요,190
마포구하늘공원,편의시설이 잘 되어있어요,59
마포구하늘공원,주차하기 편해요,54
마포구하늘공원,대중교통이 편해요,41
마포구하늘공원,가격이 합리적이에요,40
마포구하늘공원,화장실이 깨끗해요,40
마포구하늘공원,아이와 가기 좋아요,8
마포구하늘공원,반려동물과 가기 좋아요,7
마포구하늘공원,규모가 커요,7
마포구하늘공원,조용히 쉬기 좋아요,4
마포구하늘공원,방문객이 많아요,3
마포구하늘공원,관리가 잘 되어있어요,3
마포구하늘공원,붐비지 않아요,2
마포구하늘공원,근처에 갈 곳이 많아요,1
마포구하늘공원,신기한 식물이 많아요,1
마포구하늘공원,경관이 독특해요,1
동대문종합시장,주차하기 편해요,17
동대문종합시장,종류가 다양해요,12
동대문종합시장,친절해요,11
동대문종합시장,가성비가 좋아요,7
동대문종합시장,특색 있는 제품이 많아요,7
동대문종합시장,시설이 깔끔해요,5
동대문종합시장,품질이 좋아요,5
동대문종합시장,볼거리가 많아요,4
동대문종합시장,매장이 넓어요,2
동대문종합시장,컨셉이 독특해요,1
동대문종합시장,방문객이 많아요,1
동대문종합시장,비싼 만큼 가치있어요,1
동대문종합시장,트렌디해요,1
북촌한옥마을,뷰가 좋아요,52
북촌한옥마을,사진이 잘 나와요,43
북촌한옥마을,볼거리가 많아요,33
북촌한옥마을,방문객이 많아요,33
북촌한옥마을,산책로가 잘 되어있어요,15
북촌한옥마을,먹거리가 풍부해요,12
북촌한옥마을,관리가 잘 되어있어요,8
북촌한옥마을,붐비지 않아요,6
북촌한옥마을,근처에 갈 곳이 많아요,5
북촌한옥마을,규모가 커요,4
북촌한옥마을,피크닉하기 좋아요,2
북촌한옥마을,트렌디해요,2
북촌한옥마을,편의시설이 잘 되어있어요,1
북촌한옥마을,조용히 쉬기 좋아요,1
북촌한옥마을,아이와 가기 좋아요,1
북촌한옥마을,가격이 합리적이에요,1
북촌한옥마을,체험 프로그램이 다양해요,1
북촌한옥마을,대중교통이 편해요,1
북촌한옥마을,자연 경관이 좋아요,1
북촌한옥마을,유익해요,1
낙산공원,뷰가 좋아요,97
낙산공원,산책로가 잘 되어있어요,72
낙산공원,사진이 잘 나와요,52
낙산공원,관리가 잘 되어있어요,21
낙산공원,볼거리가 많아요,20
낙산공원,붐비지 않아요,15
낙산공원,방문객이 많아요,13
낙산공원,자연 경관이 좋아요,13
낙산공원,편의시설이 잘 되어있어요,6
낙산공원,조용히 쉬기 좋아요,4
낙산공원,화장실이 깨끗해요,4
낙산공원,근처에 갈 곳이 많아요,2
낙산공원,주차하기 편해요,2
낙산공원,반려동물과 가기 좋아요,2
낙산공원,대중교통이 편해요,2
낙산공원,아이와 가기 좋아요,1
낙산공원,가격이 합리적이에요,1
국립중앙박물관,유익해요,699
국립중앙박물관,전시 구성이 알차요,522
국립중앙박물관,주차하기 편해요,279
국립중앙박물관,공간이 넓어요,275
국립중앙박물관,전시 테마가 재밌어요,266
국립중앙박물관,설명이 잘 되어있어요,237
국립중앙박물관,가격이 합리적이에요,195
국립중앙박물관,아이와 가기 좋아요,135
국립중앙박물관,체험 프로그램이 다양해요,109
국립중앙박물관,사진이 잘 나와요,108
국립중앙박물관,뷰가 좋아요,8
국립중앙박물관,화장실이 깨끗해요,4
국립중앙박물관,컨셉이 독특해요,2
광화문,사진이 잘 나와요,127
광화문,볼거리가 많아요,90
광화문,방문객이 많아요,34
광화문,야경이 멋져요,32
광화문,관리가 잘 되어있어요,29
광화문,뷰가 좋아요,25
광화문,근처에 갈 곳이 많아요,24
광화문,아이와 가기 좋아요,23
광화문,체험 프로그램이 다양해요,17
광화문,산책로가 잘 되어있어요,17
광화문,규모가 커요,16
광화문,대중교통이 편해요,14
광화문,붐비지 않아요,13
광화문,경관이 독특해요,12
광화문,설명이 잘 되어있어요,3
광화문,가격이 합리적이에요,3
광화문,편의시설이 잘 되어있어요,1
광화문,주차하기 편해요,1
창경궁,사진이 잘 나와요,95
창경궁,산책로가 잘 되어있어요,65
창경궁,볼거리가 많아요,57
창경궁,관리가 잘 되어있어요,39
창경궁,붐비지 않아요,38
창경궁,뷰가 좋아요,28
창경궁,가격이 합리적이에요,26
창경궁,아이와 가기 좋아요,22
창경궁,설명이 잘 되어있어요,18
창경궁,방문객이 많아요,9
창경궁,야경이 멋져요,9
창경궁,근처에 갈 곳이 많아요,8
창경궁,체험 프로그램이 다양해요,8
창경궁,규모가 커요,8
창경궁,경관이 독특해요,8
창경궁,대중교통이 편해요,7
창경궁,주차하기 편해요,3
창경궁,화장실이 깨끗해요,3
창경궁,반려동물과 가기 좋아요,1
스타필드 코엑스몰,종류가 다양해요,714
스타필드 코엑스몰,친절해요,643
스타필드 코엑스몰,매장이 넓어요,637
스타필드 코엑스몰,시설이 깔끔해요,495
스타필드 코엑스몰,가성비가 좋아요,384
스타필드 코엑스몰,분위기가 편안해요,323
스타필드 코엑스몰,품질이 좋아요,297
스타필드 코엑스몰,특색 있는 제품이 많아요,287
스타필드 코엑스몰,주차하기 편해요,160
스타필드 코엑스몰,비싼 만큼 가치있어요,122
스타필드 코엑스몰,트렌디해요,22
스타필드 코엑스몰,아기자기해요,7
스타필드 코엑스몰,고급스러워요,6
스타필드 코엑스몰,인테리어가 멋져요,4
스타필드 코엑스몰,사진이 잘 나와요,3
스타필드 코엑스몰,컨셉이 독특해요,2
스타필드 코엑스몰,독특한 디자인이 많아요,2
스타필드 코엑스몰,포장이 정성스러워요,2
스타필드 코엑스몰,예쁜 소품이 많아요,2
스타필드 코엑스몰,A/S가 세심해요,1
스타필드 코엑스몰,신상품이 많아요,1
석촌호수,뷰가 좋아요,312
석촌호수,사진이 잘 나와요,219
석촌호수,근처에 갈 곳이 많아요,102
석촌호수,산책로가 잘 되어있어요,92
석촌호수,볼거리가 많아요,90
석촌호수,경관이 독특해요,83
석촌호수,방문객이 많아요,68
석촌호수,대중교통이 편해요,65
석촌호수,규모가 커요,22
석촌호수,편의시설이 잘 되어있어요,20
석촌호수,코스가 길어요,16
석촌호수,관리가 잘 되어있어요,16
석촌호수,화장실이 깨끗해요,15
석촌호수,피크닉하기 좋아요,14
석촌호수,붐비지 않아요,12
석촌호수,반려동물과 가기 좋아요,11
석촌호수,조용히 쉬기 좋아요,10
석촌호수,아이와 가기 좋아요,9
석촌호수,주차하기 편해요,7
석촌호수,먹거리가 풍부해요,1
화랑대 철도공원,볼거리가 많아요,27
화랑대 철도공원,산책로가 잘 되어있어요,25
화랑대 철도공원,뷰가 좋아요,25
화랑대 철도공원,사진이 잘 나와요,15
화랑대 철도공원,관리가 잘 되어있어요,14
화랑대 철도공원,주차하기 편해요,13
화랑대 철도공원,붐비지 않아요,8
화랑대 철도공원,편의시설이 잘 되어있어요,6
화랑대 철도공원,아이와 가기 좋아요,6
화랑대 철도공원,방문객이 많아요,5
화랑대 철도공원,자연 경관이 좋아요,3
화랑대 철도공원,컨셉이 독특해요,2
화랑대 철도공원,반려동물과 가기 좋아요,2
화랑대 철도공원,먹거리가 풍부해요,1
화랑대 철도공원,근처에 갈 곳이 많아요,1
화랑대 철도공원,가격이 합리적이에요,1
화랑대 철도공원,체험 프로그램이 다양해요,1
화랑대 철도공원,유익해요,1
청계천,뷰가 좋아요,160
청계천,사진이 잘 나와요,104
청계천,볼거리가 많아요,69
청계천,근처에 갈 곳이 많아요,52
청계천,경관이 독특해요,47
청계천,산책로가 잘 되어있어요,37
청계천,대중교통이 편해요,33
청계천,붐비지 않아요,30
청계천,방문객이 많아요,25
청계천,관리가 잘 되어있어요,17
청계천,조용히 쉬기 좋아요,15
청계천,아이와 가기 좋아요,7
청계천,피크닉하기 좋아요,7
청계천,코스가 길어요,5
청계천,편의시설이 잘 되어있어요,5
청계천,반려동물과 가기 좋아요,4
청계천,신기한 식물이 많아요,3
청계천,규모가 커요,3
청계천,주차하기 편해요,2
청계천,먹거리가 풍부해요,1
청계천,화장실이 깨끗해요,1
서래마을,친절해요,56
서래마을,자연 경관이 좋아요,19
서래마을,가격이 합리적이에요,15
서래마을,먹거리가 풍부해요,14
서래마을,관리가 잘 되어있어요,14
서래마을,볼거리가 많아요,12
서래마을,주차하기 편해요,9
서래마을,유익해요,8
서래마을,화장실이 깨끗해요,6
서래마을,체험 프로그램이 다양해요,3
서래마을,붐비지 않아요,2
서래마을,아이와 가기 좋아요,1
경희궁,사진이 잘 나와요,29
경희궁,붐비지 않아요,29
경희궁,산책로가 잘 되어있어요,21
경희궁,관리가 잘 되어있어요,13
경희궁,아이와 가기 좋아요,13
경희궁,뷰가 좋아요,12
경희궁,대중교통이 편해요,7
경희궁,볼거리가 많아요,6
경희궁,주차하기 편해요,6
경희궁,반려동물과 가기 좋아요,6
경희궁,가격이 합리적이에요,5
경희궁,설명이 잘 되어있어요,4
경희궁,근처에 갈 곳이 많아요,4
경희궁,경관이 독특해요,1
경희궁,화장실이 깨끗해요,1
서울로 7017,뷰가 좋아요,21
서울로 7017,산책로가 잘 되어있어요,20
서울로 7017,사진이 잘 나와요,12
서울로 7017,관리가 잘 되어있어요,9
서울로 7017,볼거리가 많아요,6
서울로 7017,방문객이 많아요,5
서울로 7017,근처에 갈 곳이 많아요,5
서울로 7017,대중교통이 편해요,3
서울로 7017,자연 경관이 좋아요,3
서울로 7017,붐비지 않아요,3
서울로 7017,컨셉이 독특해요,1
서울로 7017,아이와 가기 좋아요,1
돈의문박물관마을,볼거리가 많아요,37
돈의문박물관마을,체험 프로그램이 다양해요,37
돈의문박물관마을,관리가 잘 되어있어요,23
돈의문박물관마을,아이와 가기 좋아요,21
돈의문박물관마을,자연 경관이 좋아요,8
돈의문박물관마을,유익해요,7
돈의문박물관마을,근처에 갈 곳이 많아요,6
돈의문박물관마을,사진이 잘 나와요,6
돈의문박물관마을,가격이 합리적이에요,6
돈의문박물관마을,화장실이 깨끗해요,6
돈의문박물관마을,붐비지 않아요,6
돈의문박물관마을,대중교통이 편해요,5
돈의문박물관마을,방문객이 많아요,2
돈의문박물관마을,친절해요,2
돈의문박물관마을,규모가 커요,2
돈의문박물관마을,컨셉이 독특해요,1
돈의문박물관마을,편의시설이 잘 되어있어요,1
돈의문박물관마을,피크닉하기 좋아요,1
돈의문박물관마을,산책로가 잘 되어있어요,1
덕수궁 돌담길,산책로가 잘 되어있어요,21
덕수궁 돌담길,뷰가 좋아요,18
덕수궁 돌담길,사진이 잘 나와요,15
덕수궁 돌담길,방문객이 많아요,8
덕수궁 돌담길,볼거리가 많아요,7
덕수궁 돌담길,자연 경관이 좋아요,7
덕수궁 돌담길,대중교통이 편해요,6
덕수궁 돌담길,관리가 잘 되어있어요,4
덕수궁 돌담길,근처에 갈 곳이 많아요,4
덕수궁 돌담길,조용히 쉬기 좋아요,2
덕수궁 돌담길,아이와 가기 좋아요,2
덕수궁 돌담길,붐비지 않아요,2
덕수궁 돌담길,규모가 커요,1
망원시장,친절해요,34
망원시장,가성비가 좋아요,34
망원시장,종류가 다양해요,29
망원시장,주차하기 편해요,24
망원시장,특색 있는 제품이 많아요,22
망원시장,품질이 좋아요,14
망원시장,시설이 깔끔해요,10
망원시장,볼거리가 많아요,9
망원시장,분위기가 편안해요,6
망원시장,먹거리가 풍부해요,5
망원시장,비싼 만큼 가치있어요,5
망원시장,매장이 넓어요,4
망원시장,편의시설이 잘 되어있어요,2
망원시장,트렌디해요,2
망원시장,컨셉이 독특해요,1
여의도한강공원,뷰가 좋아요,222
여의도한강공원,산책로가 잘 되어있어요,133
여의도한강공원,사진이 잘 나와요,112
여의도한강공원,방문객이 많아요,80
여의도한강공원,볼거리가 많아요,76
여의도한강공원,관리가 잘 되어있어요,68
여의도한강공원,편의시설이 잘 되어있어요,47
여의도한강공원,주차하기 편해요,32
여의도한강공원,붐비지 않아요,23
여의도한강공원,먹거리가 풍부해요,22
여의도한강공원,피크닉하기 좋아요,22
여의도한강공원,자연 경관이 좋아요,21
여의도한강공원,규모가 커요,12
여의도한강공원,대중교통이 편해요,11
여의도한강공원,친절해요,9
여의도한강공원,가격이 합리적이에요,9
여의도한강공원,아이와 가기 좋아요,7
여의도한강공원,근처에 갈 곳이 많아요,6
여의도한강공원,반려동물과 가기 좋아요,6
여의도한강공원,조용히 쉬기 좋아요,4
여의도한강공원,체험 프로그램이 다양해요,2
여의도한강공원,트렌디해요,2
여의도한강공원,화장실이 깨끗해요,1
여의도한강공원,유익해요,1
남산골한옥마을,체험 프로그램이 다양해요,236
남산골한옥마을,아이와 가기 좋아요,178
남산골한옥마을,사진이 잘 나와요,176
남산골한옥마을,볼거리가 많아요,143
남산골한옥마을,산책로가 잘 되어있어요,102
남산골한옥마을,설명이 잘 되어있어요,94
남산골한옥마을,가격이 합리적이에요,85
남산골한옥마을,관리가 잘 되어있어요,76
남산골한옥마을,붐비지 않아요,62
남산골한옥마을,뷰가 좋아요,52
남산골한옥마을,대중교통이 편해요,20
남산골한옥마을,근처에 갈 곳이 많아요,16
남산골한옥마을,방문객이 많아요,11
남산골한옥마을,경관이 독특해요,11
남산골한옥마을,화장실이 깨끗해요,9
남산골한옥마을,주차하기 편해요,3
남산골한옥마을,규모가 커요,3
남산골한옥마을,편의시설이 잘 되어있어요,2
남산골한옥마을,야경이 멋져요,2
남산골한옥마을,반려동물과 가기 좋아요,1
경의선숲길,산책로가 잘 되어있어요,46
경의선숲길,뷰가 좋아요,35
경의선숲길,사진이 잘 나와요,28
경의선숲길,볼거리가 많아요,19
경의선숲길,관리가 잘 되어있어요,15
경의선숲길,방문객이 많아요,13
경의선숲길,먹거리가 풍부해요,8
경의선숲길,붐비지 않아요,7
경의선숲길,근처에 갈 곳이 많아요,6
경의선숲길,대중교통이 편해요,6
경의선숲길,자연 경관이 좋아요,6
경의선숲길,규모가 커요,3
경의선숲길,편의시설이 잘 되어있어요,2
경의선숲길,조용히 쉬기 좋아요,1
경의선숲길,아이와 가기 좋아요,1
서울공예박물관,전시 구성이 알차요,135
서울공예박물관,유익해요,134
서울공예박물관,전시 테마가 재밌어요,82
서울공예박물관,공간이 넓어요,51
서울공예박물관,설명이 잘 되어있어요,48
서울공예박물관,사진이 잘 나와요,37
서울공예박물관,가격이 합리적이에요,34
서울공예박물관,체험 프로그램이 다양해요,31
서울공예박물관,아이와 가기 좋아요,30
서울공예박물관,주차하기 편해요,6
서울공예박물관,뷰가 좋아요,2
서울공예박물관,컨셉이 독특해요,1
AK PLAZA 홍대,종류가 다양해요,231
AK PLAZA 홍대,가성비가 좋아요,222
AK PLAZA 홍대,친절해요,203
AK PLAZA 홍대,특색 있는 제품이 많아요,182
AK PLAZA 홍대,품질이 좋아요,122
AK PLAZA 홍대,매장이 넓어요,112
AK PLAZA 홍대,시설이 깔끔해요,103
AK PLAZA 홍대,분위기가 편안해요,59
AK PLAZA 홍대,비싼 만큼 가치있어요,28
AK PLAZA 홍대,주차하기 편해요,24
AK PLAZA 홍대,트렌디해요,23
AK PLAZA 홍대,예쁜 소품이 많아요,12
AK PLAZA 홍대,아기자기해요,9
AK PLAZA 홍대,신상품이 많아요,6
AK PLAZA 홍대,독특한 디자인이 많아요,5
AK PLAZA 홍대,컨셉이 독특해요,4
AK PLAZA 홍대,고급스러워요,2
AK PLAZA 홍대,인테리어가 멋져요,1
AK PLAZA 홍대,사이즈가 다양해요,1
서대문형무소역사관,유익해요,1204
서대문형무소역사관,전시 구성이 알차요,608
서대문형무소역사관,설명이 잘 되어있어요,540
서대문형무소역사관,아이와 가기 좋아요,336
서대문형무소역사관,공간이 넓어요,251
서대문형무소역사관,가격이 합리적이에요,202
서대문형무소역사관,전시 테마가 재밌어요,162
서대문형무소역사관,주차하기 편해요,147
서대문형무소역사관,체험 프로그램이 다양해요,139
서대문형무소역사관,사진이 잘 나와요,80
서대문형무소역사관,컨셉이 독특해요,2
서대문형무소역사관,화장실이 깨끗해요,1
광장시장,친절해요,8
광장시장,볼거리가 많아요,6
광장시장,방문객이 많아요,3
광장시장,먹거리가 풍부해요,3
광장시장,품질이 좋아요,3
광장시장,종류가 다양해요,3
광장시장,컨셉이 독특해요,2
광장시장,가성비가 좋아요,2
광장시장,분위기가 편안해요,1
광장시장,야시장이 잘 되어있어요,1
광장시장,비싼 만큼 가치있어요,1
광장시장,규모가 커요,1
광장시장,트렌디해요,1
반포대교 달빛무지개분수,뷰가 좋아요,49
반포대교 달빛무지개분수,방문객이 많아요,32
반포대교 달빛무지개분수,사진이 잘 나와요,28
반포대교 달빛무지개분수,산책로가 잘 되어있어요,22
반포대교 달빛무지개분수,볼거리가 많아요,19
반포대교 달빛무지개분수,관리가 잘 되어있어요,8
반포대교 달빛무지개분수,주차하기 편해요,6
반포대교 달빛무지개분수,피크닉하기 좋아요,5
반포대교 달빛무지개분수,편의시설이 잘 되어있어요,2
반포대교 달빛무지개분수,먹거리가 풍부해요,2
반포대교 달빛무지개분수,규모가 커요,2
반포대교 달빛무지개분수,조용히 쉬기 좋아요,1
반포대교 달빛무지개분수,아이와 가기 좋아요,1
반포대교 달빛무지개분수,자연 경관이 좋아요,1
반포대교 달빛무지개분수,트렌디해요,1
반포대교 달빛무지개분수,붐비지 않아요,1
반포대교 달빛무지개분수,유익해요,1
세빛섬,뷰가 좋아요,41
세빛섬,사진이 잘 나와요,26
세빛섬,주차하기 편해요,13
세빛섬,경관이 독특해요,13
세빛섬,볼거리가 많아요,11
세빛섬,붐비지 않아요,7
세빛섬,방문객이 많아요,5
세빛섬,화장실이 깨끗해요,5
세빛섬,피크닉하기 좋아요,4
세빛섬,대중교통이 편해요,4
세빛섬,산책로가 잘 되어있어요,4
세빛섬,편의시설이 잘 되어있어요,3
세빛섬,관리가 잘 되어있어요,2
세빛섬,근처에 갈 곳이 많아요,2
세빛섬,조용히 쉬기 좋아요,1
세빛섬,아이와 가기 좋아요,1
북악팔각정,뷰가 좋아요,2206
북악팔각정,산책로가 잘 되어있어요,684
북악팔각정,사진이 잘 나와요,642
북악팔각정,주차하기 편해요,638
북악팔각정,관리가 잘 되어있어요,365
북악팔각정,볼거리가 많아요,305
북악팔각정,편의시설이 잘 되어있어요,199
북악팔각정,방문객이 많아요,128
북악팔각정,가격이 합리적이에요,107
북악팔각정,붐비지 않아요,96
북악팔각정,먹거리가 풍부해요,66
북악팔각정,자연 경관이 좋아요,54
북악팔각정,체험 프로그램이 다양해요,32
북악팔각정,조용히 쉬기 좋아요,14
북악팔각정,친절해요,6
북악팔각정,반려동물과 가기 좋아요,5
북악팔각정,아이와 가기 좋아요,4
북악팔각정,규모가 커요,4
북악팔각정,화장실이 깨끗해요,4
북악팔각정,근처에 갈 곳이 많아요,3
북악팔각정,컨셉이 독특해요,2
월드컵공원,뷰가 좋아요,207
월드컵공원,산책로가 잘 되어있어요,143
월드컵공원,볼거리가 많아요,107
월드컵공원,주차하기 편해요,94
월드컵공원,관리가 잘 되어있어요,83
월드컵공원,편의시설이 잘 되어있어요,78
월드컵공원,사진이 잘 나와요,57
월드컵공원,가격이 합리적이에요,22
월드컵공원,먹거리가 풍부해요,13
월드컵공원,체험 프로그램이 다양해요,10
월드컵공원,붐비지 않아요,8
월드컵공원,방문객이 많아요,5
월드컵공원,반려동물과 가기 좋아요,2
월드컵공원,아이와 가기 좋아요,1
월드컵공원,대중교통이 편해요,1
월드컵공원,규모가 커요,1
월드컵공원,자연 경관이 좋아요,1
올림픽공원,뷰가 좋아요,467
올림픽공원,산책로가 잘 되어있어요,373
올림픽공원,관리가 잘 되어있어요,220
올림픽공원,사진이 잘 나와요,197
올림픽공원,볼거리가 많아요,164
올림픽공원,주차하기 편해요,128
올림픽공원,편의시설이 잘 되어있어요,82
올림픽공원,방문객이 많아요,74
올림픽공원,먹거리가 풍부해요,74
올림픽공원,붐비지 않아요,61
올림픽공원,가격이 합리적이에요,46
