video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@vanava7963,2024-04-25T10:14:35Z,어차피 해외사용자들은 일본산으로 거의 알더구만..,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-sl9pj6nx1z,2024-04-25T09:20:45Z,애초에 야후랑 손잡은게 독배였다. ㅎ 네이버..,,,
,,@jms207322,2024-04-27T09:36:58Z,,@jms207322,2024-04-27T09:36:58Z,어쩔수 없었음.. 것도 일본정부가 강요한 합병임
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@worshiphisshadow9392,2024-04-25T13:10:47Z,입만 열면 애국애국하고 쳐 울면서 뼛속까지 왜국보수 왜국우파이신 우리 어르신들이 사랑하는 네이버,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-zp5uz8nl4k,2024-04-25T15:05:18Z,또 호구짓 하는거냐? 눈뜨고 뺏길래?,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-qe7gm4bk5f,2024-04-25T09:16:03Z,엄청난 가격에 팔던가 아님  일본이 자체적으로 만들어라  꼬우면,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-fj7sm6yy3i,2024-04-25T10:30:27Z,걍 아예 라인에서 일본만 퇴출시키자 ^^,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@allroletv,2024-04-25T12:25:10Z,하튼 니뽄은 <br>에휴,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@stefanko9322,2024-04-25T09:24:31Z,그냥 일본 정부 규제때문에 라인은 일본에서 철수합니다 해라,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@kaga6087,2024-04-25T10:23:59Z,이건 또 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ<br>쌩양아치들이네 ㅋㅋㅋㅋㅋㅋㅋㅋ,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@drinkalldayyy,2024-04-25T14:16:20Z,윤석열 대통령되고 gdp순위 13위로떨어졌던데 ㅋㅋㅋㅋ,,,
