video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
,,@EAST-_-wook.,2024-05-11T04:01:54Z,,@EAST-_-wook.,2024-05-11T04:01:54Z,중국은 서해를 지꺼라고 하는데 뭘 ㅋㅋ 주변이 다 적국이다
,,@bh.choi8,2024-05-11T04:14:09Z,,@bh.choi8,2024-05-11T04:14:09Z,"@@SixDuck 독도가 이렇게 중요한건, 일본이 조선 침략을 계획 했을 때 조선을 치기 위해서 제일 먼저 독도를 차지 한다는게 시작이었습니다. 그래서 이들에게 독도는 조선 침략 조선의 식민지화 이론이기 때문에 독도 독도 하는거에요..  밑도 끝도 없이 그들이 독도 해서 우리땅 우리땅 하고 있지만 왜 그러는지를 잘 알아야해요.."
,,@sangtuanan4448,2024-05-11T04:52:49Z,,@sangtuanan4448,2024-05-11T04:52:49Z,"한국도 마찬가지임. 미일 종전협정으로 독도가 일본땅이 되었는데, 그걸 이승만 대통령이 힘으로 되찾아온거임. 근데 한국인들 특히 좌파들 이승만 욕함^^"
,,@niendeiv9898,2024-05-11T04:53:11Z,,@niendeiv9898,2024-05-11T04:53:11Z,​@@chocookieland어 공식적으로 누구땅이라고 얘기한적 없어요^^
,,@chocookieland,2024-05-11T04:56:40Z,,@chocookieland,2024-05-11T04:56:40Z,@@niendeiv9898 공식적으로 누구땅이라고 얘기한 적 없지만<br>한국 영토로군요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
,,@chocookieland,2024-05-11T05:04:34Z,,@chocookieland,2024-05-11T05:04:34Z,@@niendeiv9898 헛소리는 네가 하고 있구나 ㅋㅋㅋㅋㅋ<br>박정희한테 달라고 하면 될 걸<br>왜 일본이 <br>그때 달라고 안한거냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
,,@user-yp6tn2px4u,2024-05-11T05:32:38Z,,@user-yp6tn2px4u,2024-05-11T05:32:38Z,@@user-kq5if7dz4u 그래서 친일인 윤정부는 한국 인 피땀으로 만든 라인 기업 통째로 일본으로 넘기는 건 다행인 거라고 생각 하시나 보내 ㅋㅋㅋ<br><br>진짜 생각 없는 사람 답 내요ㅋㅋ 이런 사람이 진짜 다행인 게 진짜 중요한 시설에서 일 하면 돈 준다고 하면 그 돈 가치에 따라 한국의 기업 기밀 도 쉽게 넘길 사람 이니까 ㅋㅋㅋㅋㅋ<br><br>또 여기다 대고 민주당이니 어쩌니 그딴 소리 하지 마시죠~ ㅋㅋ 나는 민주당도 국힘당도 아니고 정부가 잘 하면 칭찬 하고 못 하면 당연히 욕 해야 하는 게 당연 한 거라고 생각 하는 사람이니까 ㅋㅋㅋㅋㅋ<br>여기서 민주당이 어쩌니 국힘당이 어쩌니 ㅋㅋ 딱 자기 수준에 맞는 말만 하는 사람이 많아서리 ㅋㅋㅋㅋ
,,@NONAMEduffer,2024-05-11T05:38:06Z,,@NONAMEduffer,2024-05-11T05:38:06Z,"일본은 독도,센카쿠열도,쿠릴열도<br>전부 자기들 꺼라고함<br>국제정치에서 당연한거 아니냐?<br>우리나라 독도는 우리땅 가사에서도<br>하와이는 미국땅 대마도는 조선땅<br>이러는데 조선은 대마도를 정벌한적은<br>있어도 점령한적은 단 한번도 없음<br>근데도 전국민이 아는 노래에<br>이런 가사가 나오는데 1901에 점령해서<br>약50년동안 일본땅이였던 독도를 본인들<br>꺼라고 하는건 당연한거지"
,,@user-jn8mm3vi9m,2024-05-11T05:43:08Z,,@user-jn8mm3vi9m,2024-05-11T05:43:08Z,​@@SixDuck 공부 좀 해
,,@666-dd3gt,2024-05-11T06:25:51Z,,@666-dd3gt,2024-05-11T06:25:51Z,ㅈㄷ모르면 나대지말아라 ㅈㅂㅅ아
,,@user-qb6cb1xw8t,2024-05-11T06:26:38Z,,@user-qb6cb1xw8t,2024-05-11T06:26:38Z,응? 한국도 역사 왜곡이 그렇게 심하다고? ㅋㅋㅋㅋㅋㅋㅋㅋ
,,@user-un1wu5gj5x,2024-05-11T06:28:46Z,,@user-un1wu5gj5x,2024-05-11T06:28:46Z,아무리 극우친일이라도 독도도 일본땅이라고 부르짖는 놈들은 머냐 ㅋㅋㅋ밖에서도 그런말 할수있나
,,@kilae1984,2024-05-11T06:32:48Z,,@kilae1984,2024-05-11T06:32:48Z,보수 보호하고 수호한다 보수가 뭔지는 알까 ㅋㅋ 댓글보니 독도 넘겨줄 보수들 넘처 흐르네 뭘지키고 보호하겠다는 건지 대단하다 왜 식민지 지배도 인정하고 대동아공영권도 인정해 그것도 일본 주장아니냐 ㅋㅋ
,,@kilae1984,2024-05-11T06:39:19Z,,@kilae1984,2024-05-11T06:39:19Z,아주 그냥 내선일체 당한놈들 천지네
,,@oxovy0,2024-05-11T06:55:19Z,,@oxovy0,2024-05-11T06:55:19Z,한국은 반일이 뿌리에 박혀있고 일본은 한국을 믿지 않는다..
,,@SIBA0,2024-05-11T07:04:55Z,,@SIBA0,2024-05-11T07:04:55Z,독도가 한국땅이라는 근거가 부족함. 반면 일본은  먼저 다케시마를 일본영토로 편입을 시킨 기록이 있기 때문에 한국이 불리함
