,Unnamed: 0,attraction,location,tag
253,1956,완차이,서울 서대문구,#맛집#매운홍합#분위기_좋은#음식#짜장면#짬뽕#탕수육_각종_중화요리
254,1957,너비집,서울 중구,#맛집#음식
255,1958,남원집,서울 관악구,#가족식사_추천#곱창볶음#맛집#순대#순대곱창#음식
256,1959,메종 드 라 카테고리,서울 강남구,#메종드라카테고리#압구정디저트맛집#옥수수빙수#음식#청담동브런치#초당옥수수빙수#테라스브런치식당
257,1960,꼼떼 바베큐 둔촌본점,서울 강동구,#강동구맛집#강동구맛집#꼼떼바베큐둔촌본점#둔촌동맛집#서울스테이크맛집#음식#홈메이드바비큐
258,1961,마산옥,서울 강남구,#꽃게조림#맛집#아귀수육#아귀찜#아귀탕#연포탕#음식
259,1962,오향족발,서울 마포구,#맛집#서울맛집#수도권#순댓국#오향족발#음식#족발#족발
260,1964,봉피양 방이점,서울 송파구,#미쉐린가이드갈비#미쉐린가이드냉면#미쉐린가이드맛집#벽제갈비#봉피양#봉피양방이점#봉피양본점#봉피양평양냉면#수요미식회식당#수요미식회평양냉면#음식#평양냉면
261,1967,우스마니아,서울 용산구,#맛집#비프칠리드라이#사다난#서울맛집#수도권#연중무휴#우스마니아#음식#치킨탄두리마샬라#케밥
262,1968,부티크호텔K 동대문점,서울 동대문구,#동대문구#서울숙소#숙박
263,1970,타볼로24,서울 종로구,#JW메리어트동대문뷔페#동대문뷔페#음식#종로뷔페#타볼로24#호텔뷔페
264,1971,뜰과다원,서울 종로구,#맛집#음식
265,1972,안동할매청국장,서울 성북구,#건강한요리#건강한음식#맛집#불뚝배기#순두부_정식#음식#청국장#한식#한식당#한식맛집#회덮밥
266,1973,고향풍천장어,서울 종로구,#고향풍천장어#맛집#민물장어_구이#바다장어_구이#서울맛집#수도권#여수식_장어탕#음식#한식
267,1974,린스시,서울 서초구,#맛집#음식#초밥&참치_전문점#코스요리
268,1975,스시조,서울 중구,#사시미#서울중구#식품의약품안전처_음식점위생등급_매우우수(2017년)#음식#음식점위생등급#장어덮밥#초밥
269,1981,역전회관,서울 마포구,#서울맛집#음식#한식
270,1984,마포소문난원조족발,서울 마포구,#마포소문난원조족발#맛집#머리고기#서울맛집#수도권#순댓국가성비_갑#연중무휴#음식#족발#족발#편육
271,1985,워킹온더클라우드,서울 영등포구,#레스토랑#맛집#분위기_좋은#영등포구#음식#코스요리
272,1987,니와,서울 용산구,#남녀노소#니와#맛집#서울맛집#수도권#오코노미야끼#음식#일식#일식맛집#친구와함께#타코야끼
273,1988,제비다방,서울 마포구,#맛집#음식#카페
274,1990,현대시장,서울 동대문구,#구암현대시장#쇼핑#창원가볼만한곳#창원관광#창원장보기#창원재래시장#창원전통시장#현대시장
275,1995,사랑채,서울 종로구,#된장비빔밥#맛집#불낙#서울시#외국인도_선호하는#음식#종로구#파전가성비_갑#한식#한정식#한정식
276,1996,임피리얼 팰리스 부티크 호텔,서울 용산구,#서울숙소#서울여행#숙박#연인과함께#용산구#친구와함께#휴식공간#휴식여행#휴식하기좋은곳#힐링여행
277,1999,호텔국도,서울 중구,#관광호텔#비즈니스호텔#서울#서울호텔#숙박#을지로#호텔
278,2002,루이,서울 중구,#맛집#분위기_좋은#사천탕면#서울중구#소고기자장면#음식#잡채밥#중국요리#해물고추짬뽕
279,2003,동해도 광화문,서울 중구,#광화문스시뷔페#광화문일식당#광화문회전초밥#동해도#동해도광화문#음식#중구회전초밥#회전초밥#회전초밥뷔페
280,2004,희락갈치,서울 중구,#맛집#음식
281,2006,현대칼국수,서울 중구,#맛집#멸치육수#서울맛집추천#서울시청역맛집#서울중구맛집#음식#칼국수
282,2007,장안동 먹깨비 간장게장 해물아구찜,서울 동대문구,#음식#장안동24시간영업#장안동간장게장#장안동맛집#장안동먹깨비#장안동해물요리전문점
283,2008,미림산장,서울 강북구,#미림산장#서울계곡산장#우이동계곡미림산장#우이동맛집#우이동백숙#음식
284,2010,라마다호텔 동대문,서울 중구,#서울숙소#숙박#중구
