Attraction,Subclass,Address,Participants
전쟁과여성인권박물관,박물관,서울특별시 마포구 월드컵북로11길 20 전쟁과여성인권박물관,38
마복림할머니집,떡볶이,서울특별시 중구 다산로35길 5,"5,114"
아쿠아플라넷 63,아쿠아리움,서울특별시 영등포구 63로 50,"6,386"
뮤직컴플렉스 서울,"카페,디저트",서울특별시 종로구 인사동길 49 안녕인사동 5층 뮤직컴플렉스서울,610
또순이네집,소고기구이,서울특별시 영등포구 선유로47길 16 오오1004빌딩,"2,778"
우묵배미,돼지고기구이,서울특별시 관악구 남부순환로 1540 1층,126
영등포청과시장,시장,서울특별시 영등포구 영신로41길 5-1 에이원하우징,19
보라매공원,근린공원,서울특별시 동작구 여의대방로20길 33,838
청계산,돼지고기구이,서울특별시 서초구 청계산로 434,632
호텔 카푸치노,3성급,서울특별시 강남구 봉은사로 155 호텔 카푸치노,183
한강시민공원 망원지구(망원한강공원),시민공원,서울특별시 마포구 마포나루길 467 한강공원망원지구사무소,141
국립한글박물관,박물관,서울특별시 용산구 서빙고로 139,265
토속촌삼계탕,"백숙,삼계탕",서울특별시 종로구 자하문로5길 5 토속촌,"4,675"
허준박물관,박물관,서울특별시 강서구 허준로 87 허준박물관,39
남산공원,"도시, 테마공원",서울 중구 삼일대로 231,130
석파랑,한정식-일반,서울특별시 종로구 자하문로 309,87
마로니에공원,근린공원,서울특별시 종로구 대학로 104,401
[백년가게]선천집,한식,서울특별시 종로구 인사동14길 5,58
경춘선숲길,도보코스,서울특별시 노원구 공릉동 272-2,23
종이나라박물관,박물관,서울특별시 중구 장충단로 166 종이나라빌딩 2층,182
청수정,한식,서울특별시 종로구 삼청로 91,996
코엑스 아쿠아리움,아쿠아리움,서울특별시 강남구 영동대로 513,"9,220"
피규어뮤지엄W,박물관,서울특별시 강남구 선릉로158길 3 Ys Roo,143
서울 종로 낙지볶음 골목,"족발,보쌈",서울특별시 종로구 수표로20길 22,609
채석장 전망대,전망대,서울특별시 종로구 낙산5길 51,203
[백년가게]만석장,한식,서울특별시 은평구 대서문길 43-10,"1,044"
서울광장 스케이트장,스케이트장,서울특별시 중구 을지로 12,44
용산초등학교 실내수영장,수영장,서울특별시 용산구 한강대로57길 33 용산초등학교수영장,29
반포 서래섬,섬,서울특별시 서초구 반포동,21
둘리뮤지엄,박물관,서울특별시 도봉구 시루봉로1길 6,407
응봉산(서울),산,서울특별시 성동구 금호동4가 1540 응봉산,47
서울책보고,서점,서울특별시 송파구 오금로 1 서울책보고,333
서소문성지역사박물관,박물관,서울특별시 중구 칠패로 5,300
[백년가게]선동보리밥,보리밥,서울특별시 성북구 성북로 134-4 선동보리밥,591
승진완구,장난감,서울특별시 종로구 종로52길 30,"2,133"
스파레이,찜질방,서울특별시 서초구 강남대로107길 5 크레신빌딩,218
잠실한강공원,시민공원,서울특별시 송파구 한가람로 65 한강사업본부 잠실안내센터,70
디타워 (replace 광화문),"쇼핑센터,할인매장",서울특별시 종로구 종로3길 17 디타워 광화문,14
가락농수산물종합도매시장,시장,서울특별시 송파구 양재대로 932 가락동 농수산물도매시장,12
이촌한강공원,시민공원,서울특별시 용산구 이촌로72길 62 한강공원 이촌안내센터,40
강동그린웨이 가족캠핑장,"캠핑,야영장",서울특별시 강동구 천호대로206길 87,101
사육신공원,근린공원,서울특별시 동작구 노량진로 191 사육신묘지공원,14
서소문역사공원,근린공원,서울특별시 중구 칠패로 5 서소문공원,11
태릉국제스케이트장,스케이트장,서울특별시 노원구 화랑로 681,39
대림창고,"카페,디저트",서울특별시 성동구 성수이로 78,"2,176"
삼청공원,근린공원,서울특별시 종로구 삼청로 156 삼청공원관리실,20
연서시장,시장,서울특별시 은평구 통일로 850 연서시장,214
컨퍼런스하우스달개비 정동점,한정식-일반,서울특별시 중구 세종대로19길 16,91
겟댓샷(Get That Shot),"카페,디저트",서울특별시 영등포구 경인로 846 롯데백화점영등포점 1층,615
박물관은 살아있다(인사동점),테마파크,서울특별시 종로구 인사동길 12 대일빌딩 지하1층,773
대학로,"거리,골목",서울특별시 종로구 동숭동,11
도산공원,테마공원,서울특별시 강남구 도산대로45길 20 도산전시관,44
플로팅아일랜드,섬,서울특별시 서초구 올림픽대로 2085-14 세빛섬,44
더 스팟 패뷸러스,"카페,디저트",서울특별시 중구 명동2길 22 1.2층,"2,165"
서울상상나라,박물관,서울특별시 광진구 능동로 216 서울상상나라,"2,084"
진고개,한식,서울특별시 중구 충무로 19-1,420
그랜드 인터컨티넨탈 서울 파르나스,호텔,서울특별시 강남구 테헤란로 521 그랜드 인터컨티넨탈 서울 파르나스,"1,567"
북촌박물관,박물관,서울특별시 종로구 북촌로 39,39
서울신라호텔,5성급,서울특별시 중구 동호로 249,"3,956"
아차산 어울림정원,"자연,생태공원",서울특별시 광진구 워커힐로 127 아차산 생태공원,20
롯데월드 민속박물관,박물관,서울특별시 송파구 올림픽로 240 롯데월드,"1,097"
우래옥,냉면,서울특별시 중구 창경궁로 62-29,"4,566"
씨랄라 워터파크,워터파크,서울특별시 영등포구 문래로 164 지하 2층,"1,517"
밀리오레,"상가, 아케이드",서울특별시 중구 장충단로 263,97
노량진수산물도매시장,시장,서울특별시 동작구 노들로 674 노량진수산물도매시장,700
인왕산 더숲 초소책방,카페,서울특별시 종로구 인왕산로 172,"4,853"
광나루한강공원 암사생태공원,"자연,생태공원",서울특별시 강동구 암사동 616-1,10
매헌 시민의 숲,자연공원,서울특별시 서초구 매헌로 99,46
도봉산,산,서울특별시 도봉구 도봉동,71
서울 암사동 유적,"유적지,사적지",서울특별시 강동구 올림픽로 875,178
리얼월드 성수,"관람,체험",서울특별시 성동구 연무장13길 8 메리히어 1층 리얼월드 성수,147
롯데월드 아이스링크(실내),아이스링크,서울특별시 송파구 올림픽로 240,"4,979"
광나루한강공원,시민공원,서울특별시 강동구 암사동 659-1,15
교보문고,서점,서울특별시 종로구 종로 1 교보생명빌딩 지하1층,"23,013"
잠원한강공원,시민공원,서울특별시 서초구 잠원동,81
풋볼 팬타지움,박물관,서울특별시 마포구 월드컵로 240,18
달맞이봉공원,근린공원,서울특별시 성동구 금호동4가 산27,13
[백년가게]삼거리 먼지막 순대국,"순대,순댓국",서울특별시 영등포구 시흥대로185길 11,"1,022"
아이파크몰 용산점,"쇼핑센터,할인매장",서울특별시 용산구 한강대로23길 55,"5,539"
서울 중앙시장,시장,서울특별시 중구 퇴계로85길 36,15
세종한우정육점식당  2호점,정육식당,서울특별시 강남구 학동로 219 국제빌딩 지층,481
그랜드 워커힐 리버파크(야외수영장),수영장,서울특별시 광진구 워커힐로 177,523
청계천박물관,박물관,서울특별시 성동구 청계천로 530 청계천박물관,40
용마산,산,서울특별시 중랑구 면목동,45
장충단공원,"도시,테마공원",서울특별시 중구 동호로 257-10,23
하우스 도산,선글라스,"서울특별시 강남구 압구정로46길 50 M층, 2층, 3층",141
레치키치 스튜디오,"사진,스튜디오",서울특별시 마포구 신촌로2안길 2 보애빌딩 지하,"2,225"
프레젠트모먼트,인테리어소품,서울특별시 마포구 동교로 49-1 1층,197
헌인릉 생태경관보전지역(오리나무림),"자연,생태공원",서울특별시 서초구 헌인릉길 36-10 헌인릉,15
은평한옥마을,체험마을,서울특별시 은평구 진관동 193-14,53
우리유황온천,"온천,스파",서울특별시 광진구 자양로5길 33 지하2층,227
파리공원,"도시,테마공원",서울특별시 양천구 목동동로 363 파리공원,32
한성백제박물관,박물관,서울특별시 송파구 위례성대로 71 한성백제박물관,330
서울생활사박물관,박물관,서울특별시 노원구 동일로174길 27,36
강변스파랜드,찜질방,서울특별시 광진구 구의강변로 45 지하2층,452
삼청동수제비,한식,서울특별시 종로구 삼청로 101-1,"6,211"
광화문광장,광장,서울특별시 종로구 세종대로 175 세종이야기,123
서대문안산,산,서울특별시 서대문구 봉원동,24
런던베이글뮤지엄,베이커리,서울특별시 종로구 북촌로4길 20,"6,466"
서울광장,광장,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,59
중랑장미공원,근린공원,서울특별시 중랑구 묵동 375,33
양재꽃시장,"원예,화훼농원",서울특별시 서초구 강남대로 27 화훼공판장 나동 87호 양재꽃시장꽃과나무,10
여의도공원,근린공원,서울특별시 영등포구 여의도동 여의공원로 68 여의도공원관리사무소,474
삼원가든,한식,서울특별시 강남구 언주로 835,748
마포농수산물시장,시장,서울특별시 마포구 월드컵로 235,65
진주회관,국수,서울특별시 중구 세종대로11길 26,"5,098"
이새,패션,서울특별시 종로구 인사동길 30-1 인사유리,16
방산 종합시장,냉면,서울특별시 중구 창경궁로 62-29,"4,566"
서울 평화시장,"상가,아케이드",서울특별시 중구 청계천로 274,10
공덕동 족발 골목,"족발,보쌈",서울특별시 마포구 만리재로 19,259
이화여고100주년기념관,"카페,디저트",서울특별시 중구 정동길 26 이화여고100주년기념관,449
샤오바오우육면 종로본점,중식당,서울특별시 종로구 삼일대로17길 15,"4,090"
광장시장 한복매장,한복,서울특별시 종로구 창경궁로 88 광장시장2층 구관 32호,12
창의문,보물,서울특별시 종로구 창의문로 118,13
세종대왕동상,기념물,서울특별시 종로구 세종대로 172,32
서대문문화체육회관실내수영장,수영장,서울특별시 서대문구 백련사길 39,49
구로중앙유통단지,"상가,아케이드",서울특별시 구로구 경인로53길 15,10
고속터미널 꽃도매상가,시장,서울특별시 서초구 신반포로 194 강남고속버스터미널,10
수연산방,차,서울특별시 성북구 성북로26길 8 상허 이태준 가옥,567
강서농산물도매시장,시장,서울특별시 강서구 발산로 40 강서농산물도매시장,170
오금오름공원,"도시,테마공원",서울특별시 송파구 오금로 363 오금근린공원,15
용산공원 반환부지,근린공원,서울특별시 용산구 서빙고로 221,12
약령시장,"거리,골목",서울특별시 동대문구 제기동,19
뚝섬 한강공원 수영장,수영장,서울특별시 광진구 자양동 112,16
응정헌,전통숙소,서울특별시 은평구 연서로50길 19,213
정릉(신덕왕후),"유적지,사적지",서울특별시 성북구 아리랑로19길 116,23
양천공원,근린공원,서울특별시 양천구 목동동로 111,19
봉화산,산,서울특별시 중랑구 묵동,18
오동근린공원,근린공원,서울특별시 강북구 번동 산12,10
롯데아울렛 서울역점,아울렛,서울특별시 용산구 한강대로 405 롯데아울렛서울역점,"1,171"
104고지전적비,기념물,서울특별시 서대문구 연희동 산100-1,203
