Attraction,Subclass,Address,Participants
한국천주교순교자박물관,"유적지,사적지",서울특별시 마포구 토정로 6,13
서울한옥스테이(jnpstay),게스트하우스,서울특별시 종로구 자하문로1나길 7-28,130
와이키키마켓,"육류,고기요리",서울특별시 마포구 마포나루길 332 와이키키마켓,931
한강시민공원 잠원수영장,수영장,서울특별시 서초구 잠원로 145-57,134
그랜드하얏트 서울 아이스링크,아이스링크,서울특별시 용산구 소월로 322,249
강북구 서당골,한식,서울특별시 강북구 한천로 1153,845
종이잡지클럽,서점,서울특별시 마포구 양화로8길 32-15 지하 1층,42
반얀트리 클럽 앤 스파 서울,5성급,서울특별시 중구 장충단로 60,191
신라면세점(서울점),면세점,서울특별시 중구 동호로 249,518
하이서울유스호스텔 레스토랑,호스텔,서울특별시 영등포구 영신로 200 하이서울유스호스텔,172
켄싱턴호텔 여의도 뉴욕뉴욕,"스테이크,립",서울특별시 영등포구 국회대로76길 16 켄싱턴호텔 여의도 1층,473
남산골산채집,돈가스,서울특별시 중구 소파로 95 1층,"2,561"
서울올림픽파크텔,4급,서울특별시 송파구 올림픽로 424,321
코리아나 호텔,4성급,서울특별시 중구 세종대로 135 코리아나호텔,819
시간을 담다,베이커리,서울특별시 강동구 동남로49길 54 지하 1층,264
신창시장,시장,서울특별시 도봉구 창동 445-20,73
중구 베테랑칼국수,"칼국수,만두",서울특별시 중구 남대문로 81 롯데백화점 본점 B1F,476
한옥 게스트하우스 동촌재,게스트하우스,서울특별시 종로구 자하문로11길 21-10 동촌재,42
꽃밥에피다,한식,서울특별시 종로구 인사동16길 3-6,"1,772"
고척근린시장,시장,서울특별시 구로구 고척로32길 11-3,29
소소하우스,전통숙소,서울특별시 종로구 필운대로5가길 16-5,45
패션5,베이커리,서울특별시 용산구 이태원로 272 SPC빌딩,"4,504"
페르시안궁전,인도음식,서울특별시 종로구 성균관로6길 9,"2,370"
강동 오늘손칼국수,"칼국수,만두",서울특별시 강동구 풍성로 206,836
핫트랙스 (광화문점),"문구,팬시용품",서울특별시 종로구 종로 1 교보생명빌딩 B1,"6,480"
JW 메리어트 호텔 서울,5성급,서울특별시 서초구 신반포로 176 JW 메리어트 호텔 서울,564
더 플라자 호텔 서울,5성급,서울특별시 중구 소공로 119,524
갤러리에이엠,패션,서울특별시 강남구 논현로159길 66,27
필경재,한식,서울특별시 강남구 광평로 205 필경재,56
평화의공원,"도시,테마공원",서울특별시 마포구 증산로 32,172
캘리포니아 관광호텔,2성급,서울특별시 송파구 송파대로28길 11 캘리포니아관광호텔,30
송림식당,기사식당,서울특별시 광진구 자양번영로 79,"1,642"
일일향 논현2호점,중식당,서울특별시 강남구 봉은사로 167,486
더케이호텔서울,4성급,서울특별시 서초구 바우뫼로12길 70 더케이호텔서울,779
서초동노랑저고리,한정식-일반,서울특별시 서초구 서초대로73길 9 타임빌딩 5층,"1,018"
양재근린공원,근린공원,서울특별시 서초구 동산로 35,20
중구 송원,한식,서울특별시 중구 동호로24길 35-4,232
용양봉저정 공원,근린공원,서울특별시 동작구 본동 산3-9,15
봉천중앙시장,시장,서울특별시 관악구 관악로 211 봉천중앙시장,88
서울시립대학교박물관,박물관,서울특별시 동대문구 서울시립대로 163 서울시립대학교,30
신당동천팥죽,죽,서울특별시 중구 다산로44길 33,588
태릉시장,시장,서울특별시 중랑구 동일로129길 35,14
동흥관,중식당,서울특별시 금천구 시흥대로63길 20,970
강남구 카페엠,브런치카페,서울특별시 강남구 삼성로 634 1층,179
송림가,한정식-일반,서울특별시 구로구 경인로 398 송림가,391
63뷔페 파빌리온,뷔페,"서울특별시 영등포구 63로 50 한화금융센터63,GF","4,359"
강강술래신림본동점,"육류,고기요리",서울특별시 관악구 남부순환로 1660,"3,085"
세인트제임스 삼청점,캐주얼웨어,서울특별시 종로구 삼청로 78,43
송추가마골 은평1호점,"육류,고기요리",서울특별시 은평구 북한산로 276 예강1,"1,610"
봉래헌(메이필드호텔),한정식-일반,서울특별시 강서구 방화대로 94 메이필드호텔 봉래헌,54
그랜드 하얏트 서울,5성급,서울특별시 용산구 소월로 322,"1,639"
웨스틴 조선 서울,5성급,서울특별시 중구 소공로 106,"2,017"
꾸에바마테라,"카페,디저트",서울특별시 용산구 소월로20길 28-1 1층,89
신영시장,시장,서울특별시 양천구 월정로 161-5,30
갤러리아백화점명품관EAST,백화점,서울특별시 강남구 압구정로 407 갤러리아백화점명품관EAST,"1,940"
문화철도 959,"키즈카페,실내놀이터","서울특별시 구로구 경인로 688 1호선 신도림역 2층, 3층",80
고려삼계탕,"백숙,삼계탕",서울특별시 중구 서소문로11길 1,827
금천구춘천옥,한식,서울특별시 금천구 디지털로12길 19,469
짚풀생활사박물관,박물관,서울특별시 종로구 성균관로4길 45,17
인크커피 가산점,"카페,디저트",서울특별시 금천구 가산디지털2로 127-20,"3,377"
성북동누룽지백숙,한식,서울특별시 성북구 성북로31길 9,"1,655"
고래불,생선회,"서울특별시 강남구 논현로79길 62 백악빌딩 1, 2층 고래불",414
배정철어도,생선회,서울특별시 강남구 언주로148길 14 청호불교문화원 1층,83
아이러브신당동떡볶이,떡볶이,서울특별시 중구 퇴계로76길 50 아이러브떡볶이,"5,482"
베스트웨스턴 프리미어 서울가든호텔,4성급,서울특별시 마포구 마포대로 58 가든호텔,517
케르반레스토랑,아시아음식,서울특별시 용산구 이태원로 192 1층,891
한강공원 난지캠핑장,"캠핑,야영장",서울특별시 마포구 한강난지로 28,222
동국대학교 박물관,박물관,서울특별시 중구 필동로1길 30,15
세인트제임스 서울,캐주얼웨어,서울특별시 강남구 논현로175길 94,37
서울 서초 글램핑 청계산장,"캠핑,야영장",서울특별시 서초구 청계산로 140-94,21
진주집,국수,서울특별시 영등포구 국제금융로6길 33 지하 1층,"4,730"
호남식당,"순대,순댓국",서울특별시 마포구 마포대로6길 10,501
두타몰,신발,서울특별시 중구 장충단로 275 두타몰 지하1층,202
서대문수빈,한정식-일반,서울특별시 서대문구 연희로25길 31-3,698
때때롯살롱,한복,서울특별시 종로구 수표로28길 21-12,270
여의도백리향,중식당,서울특별시 영등포구 63로 50 한화금융센터_63 57층,396
용산전자랜드,"상가,아케이드",서울특별시 용산구 청파로 74 전자랜드(신관),350
롯데호텔서울,5성급,서울특별시 중구 을지로 30,"1,202"
봉일시장,시장,서울특별시 관악구 은천로 28 봉일프라자,15
송파구횡성한우,소고기구이,서울특별시 송파구 오금로 113 1층,831
도봉구대문한정식,한정식-일반,서울특별시 도봉구 시루봉로 139-6,802
촛불1978,양식,서울특별시 중구 소파로 95 촛불 레스토랑,"1,481"
노룬산골목시장,시장,서울특별시 광진구 자양동 816-79,52
평안도족발집,"족발,보쌈",서울특별시 중구 장충단로 174-6,"1,505"
청와옥 본점,"순대,순댓국",서울특별시 송파구 위례성대로 48 반도빌딩 1층,"3,767"
서대문구형제갈비,"육류,고기요리",서울특별시 서대문구 명물1길 2,"1,001"
노보텔 앰배서더 강남,5성급,서울특별시 강남구 봉은사로 130,370
엘크레,메이크업,서울특별시 강남구 도산대로15길 41 1층 엘크레,808
가회민화박물관,박물관,서울특별시 종로구 북촌로 52,17
송화산시도삭면,"딤섬,중식만두",서울특별시 광진구 뚝섬로27길 48,"1,353"
콘래드 서울,5성급,서울특별시 영등포구 국제금융로 10 서울 국제금융 센터,456
신성종합시장,시장,서울특별시 광진구 용마산로 50,13
참만나,"육류,고기요리",서울특별시 노원구 화랑로 443 6.7디벨리움 3층,407
제일콩집,두부요리,서울특별시 노원구 동일로174길 37-8,"1,523"
무교동 북어국집,해장국,서울특별시 중구 을지로1길 38,"2,554"
전민규의황제누룽지탕 노원직영점,한식,서울특별시 노원구 노해로77길 14-8,"2,220"
현대백화점 (압구정본점),백화점,서울특별시 강남구 압구정로 165 현대백화점압구정본점,705
WANGTHAI,태국음식,서울특별시 용산구 이태원로 151,324
성수살라댕템플,양식,서울특별시 성동구 성수이로16길 32,578
관훈동 산촌,사찰음식,서울특별시 종로구 인사동길 30-13,184
로씨니,이탈리아음식,서울특별시 종로구 북촌로 18,33
대도식당 왕십리본점,소고기구이,서울특별시 성동구 무학로12길 3,838
길동복조리시장,시장,서울특별시 강동구 천호대로187길 62,100
이비스 앰배서더 명동,3성급,서울특별시 중구 남대문로 78,88
산채향,한식,서울특별시 중구 청계천로 8 프리미어플레이스,364
사간동푸드떼,"카페,디저트",서울특별시 종로구 율곡로1길 40-37 한옥,309
관훈동 한국공예관,전통공예,서울특별시 종로구 인사동길 33,114
네이처리퍼블릭 명동월드점,"화장품,향수",서울특별시 중구 명동8길 52,183
서강대박물관,박물관,서울특별시 마포구 백범로 35 아루페관 6층,15
고척근린공원,근린공원,서울특별시 구로구 고척로45길 39 구로구민체육센터,66
JW 메리어트 동대문 스퀘어 서울,5성급,서울특별시 종로구 청계천로 279,545
종로구콰니,"가방,핸드백",서울특별시 종로구 사직로8길 1-3,83
테크노마트,휴대폰,서울특별시 구로구 새말로 97,99
켄싱턴호텔 여의도,4성급,서울특별시 영등포구 국회대로76길 16,423
마포삼다코지,카페,서울특별시 마포구 독막로9길 34 1층,842
옛날집낙원아구찜,"아귀찜,해물찜",서울특별시 종로구 삼일대로 436,383
영일분식,종합분식,서울특별시 영등포구 도림로141가길 34-1,"1,550"
아재왔소,한식,서울특별시 도봉구 도봉산4길 3-22,104
르몽블랑,"카페,디저트",서울특별시 용산구 신흥로 99-4 1층,549
대치동중앙해장,해장국,서울특별시 강남구 영동대로86길 17 육인빌딩,"3,238"
고궁의 아침,"육류,고기요리",서울특별시 종로구 창경궁로 158 고궁의아침,644
성북동돼지갈비본점,돼지고기구이,서울특별시 성북구 성북로 115,507
강동황도바지락칼국수,"칼국수,만두",서울특별시 강동구 천호대로 1256,892
금왕돈까스,돈가스,서울 성북구 성북로 138,120
운산,한정식-일반,서울특별시 영등포구 여의공원로 101 C.C.M.M빌딩 지하1층,251
서초구통나무집,소고기구이,서울특별시 서초구 헌인릉길 9 청와대산장,254
설마중,"육류,고기요리",서울특별시 서초구 남부순환로 2648,486
강서도일처,중식당,서울특별시 강서구 개화동로 567,578
강남곰바위,"곱창,막창,양",서울특별시 강남구 영동대로115길 10,483
스탠포드호텔 서울,4성급,서울특별시 마포구 월드컵북로58길 15,302
소공동세란안경,안경원,서울특별시 중구 을지로 30 롯데호텔 B1F,36
드럼통 참숯석쇠구이,"육류,고기요리",서울특별시 송파구 삼학사로19길 3,268
화곡본동시장,시장,서울특별시 강서구 까치산로 35,13
KCDF 갤러리숍 공예정원,"미술,공예품",서울특별시 종로구 인사동11길 8,24
서울청계광장,광장,서울특별시 중구 태평로1가 1,41
종로구밀림,태국음식,서울특별시 종로구 창신6나길 17-6,939
인사동 촌,한정식-일반,서울특별시 종로구 인사동14길 19,278
[백년가게]대호정,"육류,고기요리",서울특별시 금천구 시흥대로52길 51,139
우림시장,시장,서울특별시 중랑구 망우로62길 52-4,128
아델라베일리,이탈리아음식,서울특별시 종로구 북악산로 48,"1,520"
마천중앙시장,시장,서울특별시 송파구 마천로45길 23,84
삼대할먼네,떡볶이,서울특별시 중구 퇴계로76길 50,800
용산구기와,한정식-일반,서울특별시 용산구 한강대로21나길 40 드래곤힐스파 1층 기와한정식,441
을지다방,다방,서울특별시 중구 을지로 124-1 2층,340
해담채 남부터미널점,해담채,서울특별시 서초구 서초중앙로5길 10-8 쁘띠오피스텔 지하 1층,417
감꽃당,베이커리,서울특별시 종로구 돈화문로11다길 38,"2,192"
골든블루마리나,요트,서울특별시 서초구 올림픽대로 2085-14 세빛섬 골든블루마리나,780
국화정원,한정식-일반,서울특별시 성북구 성북로 154,157
뽐모도로,이탈리아음식,서울특별시 종로구 새문안로9길 19-1 일선빌딩 1층,793
영풍문고 스타필드코엑스몰점,서점,서울특별시 강남구 영동대로 513 코엑스몰 B1 J101A,"5,021"
트레스드,"카페,디저트",서울특별시 송파구 백제고분로15길 50 1층,672
수유동가문,중식당,서울특별시 강북구 노해로 13 가문,166
북한산 큰숲 제빵소,베이커리,서울특별시 은평구 북한산로 271-3 북한산큰숲제빵소,183
리치다이아몬드호텔,2성급,서울특별시 강북구 삼양로 500-18,59
송화벽화시장,시장,서울특별시 강서구 강서로 263-29,61
다래함박스텍,돈가스,서울특별시 강북구 수유로 20-2,"1,319"
카카오프렌즈 홍대 플래그십 스토어,"문구,팬시용품",서울특별시 마포구 양화로 162 좋은사람들빌딩 1~3층,"2,763"
아트박스 (영등포점),"문구,팬시용품",서울특별시 영등포구 영중로 15 타임스퀘어 지하1층,"1,135"
뱃고동,낙지요리,서울특별시 강남구 언주로172길 54,"2,051"
호텔PJ,4성급,서울특별시 중구 마른내로 71 호텔피제이,171
한강파라다이스,이탈리아음식,서울특별시 영등포구 여의동로 252 파라다이스,216
미가할매집,"육류,고기요리",서울특별시 관악구 신림로 374,711
동서울 관광호텔,2성급,서울특별시 광진구 구의강변로 38,29
구로시장,시장,서울특별시 구로구 구로동로22길 17-4 2층,29
프레지던트 호텔,4성급,서울특별시 중구 을지로 16 프레지던트호텔,249
난지천공원,"도시,테마공원",서울특별시 마포구 월드컵로 365,162
파르나스몰,백화점,서울특별시 강남구 테헤란로 521 그랜드인터콘티넨탈호텔 B1,73
중곡제일시장,시장,서울특별시 광진구 중곡동 265-5,39
롯데호텔 L7 강남,4성급,서울특별시 강남구 테헤란로 415,164
더벨스파 동대문현대시티아울렛점,"피부,체형관리",서울특별시 중구 장충단로13길 20 현대시티아울렛 지하1층,118
서울서둘째로잘하는집,차,서울특별시 종로구 삼청로 122-1,"1,465"
자인뭉티기,소고기구이,서울특별시 서초구 강남대로37길 24-7 호원빌딩,270
양반댁,한정식-일반,서울특별시 종로구 인사동길 19-18 양반댁,290
비단길 현대시장,시장,서울특별시 금천구 독산로27길 52,177
엔터식스 왕십리역점,"상가,아케이드",서울특별시 성동구 왕십리광장로 17,"2,947"
아이유푸드,정육점,서울특별시 금천구 범안로21길 14,21
미자식당,"해물,생선요리",서울특별시 동작구 노들로 674 노량진수산물도매시장 2층 8호,215
곰달래꿈마을,"카페,디저트",서울특별시 양천구 곰달래로 36,23
평안도만두집,한식,서울특별시 종로구 새문안로3길 30 도렴구역 제18지구,456
지화자,한정식-일반,서울특별시 종로구 자하문로 125,94
인사동그집,한식,서울특별시 종로구 인사동12길 3 인사동그집,594
라칸티나,이탈리아음식,서울특별시 중구 을지로 19 삼성빌딩 지하1층,589
행복한백화점,백화점,서울특별시 양천구 목동동로 309 중소기업유통센터,"1,858"
호텔 더 디자이너스 청량리 Hotel the designers,2성급,서울특별시 동대문구 왕산로 226,77
동적불고기깡통구이 쌍문 본점,"육류,고기요리",서울특별시 도봉구 도봉로109길 30,"3,438"
어양,중식당,서울특별시 송파구 위례성대로 14 지하 1층,119
서래본갈비,"육류,고기요리",서울특별시 서초구 사평대로 126,295
나이아가라호텔,3성급,서울특별시 강서구 양천로 743,17
단미그린비,한식,서울특별시 강남구 밤고개로14길 13-50,232
갯마을,낙지요리,서울특별시 종로구 세종대로21길 75,194
그리츠(GREETS) 글래드호텔 여의도,뷔페,서울특별시 영등포구 의사당대로 16 로비층,"2,372"
아승지,사찰음식,서울특별시 영등포구 신길로 176,111
광장싸롱,한방카페,서울특별시 종로구 동호로 403-3 (종로5가) 1.2층,310
태림산채정식,한식,서울특별시 도봉구 노해로60길 32 1층,439
문래근린공원,근린공원,서울특별시 영등포구 문래동3가 61,15
을지로 원형들,"카페,디저트",서울특별시 중구 창경궁로1길 38 4층,396
산도토리임자탕,한식,서울특별시 도봉구 덕릉로60길 13,"1,335"
향림,중식당,서울특별시 노원구 한글비석로 127 마린스포츠센터 2층,258
금용문,중식당,서울특별시 종로구 새문안로5가길 7 세종클럽 2층,245
깃대봉냉면,냉면,서울특별시 중구 청계천로 400 베네치아메가몰 2층 2038호,"1,159"
순희네빈대떡,"전,빈대떡",서울특별시 종로구 종로32길 5,"4,101"
메세나폴리스 몰,"상가,아케이드",서울특별시 마포구 양화로 45 메세나폴리스,114
곰국시집 명동,국수,서울특별시 중구 무교로 24 2층,498
메리어트 이그제큐티브 아파트먼트 서울 여의도,5성급,서울특별시 영등포구 여의대로 8,53
만강 수서점,한식,서울특별시 강남구 밤고개로21길 81,115
해담채 서여의도점,해담채,서울특별시 영등포구 은행로 30 중소기업중앙회 1층,337
다락정,"칼국수,만두",서울특별시 종로구 삼청로 131-1,282
백원,중식당,서울특별시 영등포구 여의공원로 101 CCMM빌딩 12F,44
호텔 삼정,4성급,서울특별시 강남구 봉은사로 150,102
수유시장,시장,서울특별시 강북구 도봉로71길 2,51
KT&G 상상마당 디자인스퀘어,"가구,인테리어",서울특별시 마포구 어울마당로 65 상상마당빌딩,815
아리차이,중식당,서울특별시 관악구 신림동길 4,"1,218"
익선동 그집,"칼국수,만두",서울특별시 종로구 삼일대로30길 34-4,203
롯데시티호텔 구로,3성급,서울특별시 구로구 디지털로 300 지밸리비즈플라자,192
먹고을전주콩나물국밥 묵동본점,한식,서울특별시 중랑구 중랑역로 268,"1,244"
명품기사식당뚝다리김치찌개,기사식당,서울특별시 강동구 천중로 175,236
요리하는남자,이탈리아음식,서울특별시 송파구 백제고분로7길 27 반석빌딩 지하1층,780
성수족발,"족발,보쌈",서울특별시 성동구 아차산로7길 7 동진빌딩 1층 성수족발,"1,741"
키미아트,카페,서울특별시 종로구 평창30길 47,192
문배동 육칼,"칼국수,만두",서울특별시 용산구 백범로90길 50,"1,067"
POOM아트박스 (신촌점),"문구,팬시용품",서울특별시 서대문구 명물길 23,898
청담골,한식,서울특별시 강남구 선릉로148길 48 미준빌딩 1층,563
몽실이네 토종한우,소고기구이,서울특별시 성동구 마장로35길 70 1층,211
오크우드 프리미어 코엑스,5성급,서울 강남구 테헤란로87길 46,209
드어반관광호텔,1성급,서울특별시 강서구 곰달래로24길 35,23
미진,한식,서울특별시 종로구 종로 19,"4,665"
동심한정식,한정식-일반,서울특별시 중구 퇴계로27길 12-4 충무로역 5번출구,40
남원추어탕 풍천장어,한식,서울특별시 강남구 영동대로86길 27,75
산삼청각,"육류,고기요리",서울특별시 송파구 송이로 151,656
테르트르카페,카페,서울특별시 종로구 낙산5길 46,"1,431"
프리스비 (Frisbee) 건대점,"컴퓨터,모니터",서울특별시 광진구 능동로 92 스타시티 1층,179
최수사 대게마을,일식당,서울특별시 강남구 논현로 429 3층,93
정식당,한식,서울특별시 강남구 선릉로158길 11,583
이비스 스타일 앰배서더 서울 강남,3성급,서울특별시 강남구 삼성로 431 이비스 스타일 앰배서더 강남 호텔,37
인사동큰집,한식,서울특별시 종로구 인사동6길 7,77
궁가는여우,한복대여,서울특별시 종로구 자하문로 3 지하 1층,82
아리랑힐 호텔 동대문,3성급,서울특별시 성북구 아리랑로 8,137
옥류헌릴렉스,"카페,디저트",서울특별시 강북구 삼양로181길 142 옥류헌릴렉스,"2,785"
북한산 족두리봉,"봉우리,고지",서울특별시 은평구 불광동,14
위대한밥상 영광,한정식-일반,서울특별시 서초구 사평대로56길 7,38
부일갈비,"육류,고기요리",서울특별시 서초구 서초중앙로2길 42 1층 부일갈비,106
툭툭누들타이,태국음식,서울특별시 마포구 성미산로 161-8 2층,"1,563"
금강수림,한식,서울특별시 강남구 강남대로 240 SK허브프리모 B2층,287
면목시장,"찌개,전골",서울특별시 중랑구 사가정로50길 67 1층 땅쓰부대찌개,106
세상의모든아침,브런치,"서울특별시 영등포구 여의대로 24 전경련회관 50층, 51층","4,540"
조선옥,"육류,고기요리",서울특별시 중구 을지로15길 6-5,290
미 피아체,이탈리아음식,서울특별시 강남구 도산대로70길 34 1층,43
[백년가게]창성옥,한식,서울특별시 용산구 새창로 124-10,622
갯마을풍천장어,한식,서울특별시 도봉구 도봉산4나길 12-10,57
최대감네,한식,서울특별시 종로구 인사동8길 12-3,"1,109"
삼해집,"족발,보쌈",서울특별시 영등포구 영등포로 250,607
유진막국수,막국수,서울특별시 용산구 장문로 18,294
눈나무집,국수,서울특별시 종로구 삼청로 136-1,554
고궁마실,한복대여,서울특별시 종로구 창경궁로 229 한성빌딩 3층,123
불맛감자국,감자탕,서울특별시 은평구 응암로 172-1,387
호텔 리베라,4성급,서울특별시 강남구 영동대로 737,261
해담채 강남점,해담채,서울특별시 강남구 테헤란로10길 18 역삼 823빌딩 지하 1층,569
초우마을,소고기구이,서울특별시 동대문구 회기로28길 8 2층 초우마을,136
대상해,중식당,서울특별시 중구 세종대로 135 코리아나호텔 3층,223
왕돈까스&왕냉면,돈가스,서울특별시 종로구 우정국로 26 센트로폴리스 지하2층,78
엘르인호텔,3급,서울특별시 용산구 한강대로71길 24,21
루위,중식당,서울특별시 강남구 도산대로 211 동현빌딩 1F,381
테이크어스트릿 (Take a street),종합패션,서울특별시 마포구 양화로 45 1층 106호,27
파크 하얏트 서울,5성급,서울특별시 강남구 테헤란로 606,478
아리아,뷔페,서울특별시 중구 소공로 106 웨스틴 조선 서울 저층 로비,248
에도긴,일식당,"서울특별시 강남구 테헤란로8길 30 2,3층",34
초록뜰,"채식,샐러드뷔페",서울특별시 동대문구 망우로18길 6,82
또순이,한식,서울특별시 종로구 경희궁길 18 안성또순이,203
롯데시티호텔 마포,3성급,서울특별시 마포구 마포대로 109,344
달 카페,카페,서울특별시 동대문구 한빛로 26,12
다리원,중식당,서울특별시 서초구 효령로31길 6,411
동해복집,복어요리,서울특별시 노원구 동일로217가길 23 한영빌딩 2층,106
서울 선샤인호텔,3성급,서울특별시 강남구 도산대로 205 선샤인 관광호텔,82
롯데호텔 L7 명동,4성급,서울특별시 중구 퇴계로 137,116
톰볼라,이탈리아음식,서울특별시 서초구 서래로7길 16,316
엄마손칼국수,"칼국수,만두",서울특별시 노원구 상계로39길 5,"1,301"
고바우소곱창,"곱창,막창,양",서울특별시 성북구 아리랑로4길 5,155
장꼬방김치찌개전문,"찌개,전골",서울특별시 서초구 효령로 364 장꼬방,"1,316"
청송본관함흥냉면,냉면,서울특별시 서대문구 연희맛로 6 청송함흥냉면,275
참숯골,한식,"서울특별시 중구 무교로 16 대한체육회관 2층, 참숯골",366
아모렉스관광호텔,호텔,서울특별시 성동구 왕십리로20길 19,26
올가홀푸드 방이점,유기농산물마트,서울특별시 송파구 양재대로71길 4 올가홀푸드,322
골목집,오리요리,서울특별시 영등포구 도림로139가길 11-1 1층 골목집,"1,726"
카페 모뜨,이탈리아음식,서울특별시 종로구 평창30길 24,179
셀프하우스,종합분식,서울특별시 강동구 올림픽로 572 코오롱 2차 아파트 101동 107호,874
코트야드 바이 메리어트 서울타임스퀘어,4성급,서울특별시 영등포구 영중로 15 타임스퀘어,"1,684"
암사선사유적박물관,"유적지,사적지",서울특별시 강동구 올림픽로 875,178
삼성 빨간양념 숯불구이,"육류,고기요리",서울 중구 남대문로1길 39,253
모닥불,양식,서울특별시 마포구 동교로46길 24-4 1층,113
진남포면옥,막국수,서울특별시 중구 다산로 108,422
성북동집,"칼국수,만두",서울특별시 성북구 성북로24길 4 성북동집,499
카카오프렌즈 강남 플래그십 스토어,"문구,팬시용품",서울특별시 서초구 강남대로 429 유창빌딩 1~2층,"1,130"
헬로애니멀,동물원,서울특별시 도봉구 마들로 650 도봉월드상가 1층 119호,254
삿뽀로 목동점,일식당,서울특별시 양천구 목동동로 189,674
롯데시티호텔 김포공항,3성급,서울특별시 강서구 하늘길 38 국제선청사,175
사당시장,"상가,아케이드",서울특별시 동작구 사당로 244,107
갓잇(god eat),"멕시코,남미음식",서울특별시 종로구 북촌로2길 5-5 1층,"1,396"
내자상회,"카페,디저트",서울특별시 종로구 사직로10길 3 1층,562
우리강산,"육류,고기요리",서울특별시 송파구 위례성대로12길 6,149
방이샤브샤브칼국수 방이본점,샤브샤브,서울특별시 송파구 오금로31길 42,818
자원대구탕,"해물,생선요리",서울특별시 용산구 한강대로62가길 6 자원대구탕,300
정감어린,"육류,고기요리",서울특별시 용산구 후암로 4 정감어린,651
전주회관,"육류,고기요리",서울특별시 중구 세종대로14길 32-1,152
우정낙지,낙지요리,서울특별시 종로구 삼일대로17길 46 2층 우정낙지,223
낙원(메이필드호텔),"육류,고기요리",서울특별시 강서구 방화대로 94 메이필드호텔 낙원,77
미우미우참숯구이,"육류,고기요리",서울특별시 송파구 양재대로71길 2-27 인택파크랜드 2층,69
용금옥,"해물,생선요리",서울특별시 중구 다동길 24-2,249
용문집,소고기구이,서울특별시 성동구 마장로39가길 32 1층 용문집,142
[백년가게]부산복집,복어요리,서울특별시 중구 수표로2길 25,290
그릭조이,그리스음식,서울특별시 마포구 성지1길 6 2층,92
바바인디아 강남역점,인도음식,서울특별시 서초구 강남대로 359 도씨에빛 2차,319
서울리즘,바(BAR),서울특별시 송파구 백제고분로 435 예스빌딩 6층,306
홍능갈비집본점,"육류,고기요리",서울특별시 동대문구 제기로 85,402
곰국시집,국수,서울특별시 중구 무교로 24 2층,498
까델루뽀,이탈리아음식,서울특별시 종로구 자하문로16길 5-5,238
이강순실비집,낙지요리,서울특별시 종로구 청계천로 75-1 본점이강순실비집,277
영등포복집,복어요리,서울특별시 영등포구 영등포로42길 10-1 영등포복집,209
상인정신,요리주점,서울특별시 종로구 새문안로5길 11-1 2층,128
늘푸른식당,요리주점,서울특별시 마포구 굴레방로9길 3 1층 늘푸른식당,121
홍원,중식당,서울특별시 마포구 백범로 23 거구장예식장,77
더 킹스,뷔페,서울특별시 중구 동호로 287 앰배서더 서울 풀만 호텔 1층,555
해안반점,중식당,서울특별시 강동구 고덕로10길 48 1층해안반점,219
로리스 더 프라임 립,"스테이크,립",서울특별시 서초구 서초대로 411 GT TOWER 3층,993
백제삼계탕,"백숙,삼계탕",서울특별시 중구 명동8길 8-10,189
라 쿠치나,이탈리아음식,서울특별시 용산구 회나무로44길 10,147
삼수갑산,"육류,고기요리","서울특별시 관악구 남현1길 38-9 1층,2층,3층",68
스시겐,"초밥,롤",서울특별시 마포구 양화로7길 6-12 삼이빌딩,77
하모,한식,서울특별시 강남구 언주로 819 2층 하모,244
장군갈비,"육류,고기요리",서울특별시 광진구 용마산로 11,520
평래옥,한식,서울특별시 중구 마른내로 21-1,"1,118"
장군보쌈,"족발,보쌈",서울특별시 중구 무교로 16,638
궁나라냉면묵밥,냉면,서울특별시 종로구 지봉로12길 6 등원빌딩,144
모녀마약김밥,김밥,서울특별시 종로구 동호로 403-23,"5,106"
현대카드 Vinyl & Plastic,"음반,CD",서울특별시 용산구 이태원로 248,266
갤러리카페 3안,갤러리카페,서울특별시 종로구 북촌로 137-7,27
장수촌 풍천장어,"장어,먹장어요리",서울특별시 관악구 남부순환로 2082-37 2층,268
터치더스카이,양식,서울특별시 영등포구 63로 50 한화금융센터_63,255
성북동 구포국수,국수,서울특별시 성북구 성북로12길 2,445
잇텐고,일본식라면,서울특별시 마포구 포은로 11 103호,780
호텔 더 디자이너스 종로점,3급,서울특별시 종로구 수표로 89-8,68
암사종합시장,시장,서울특별시 강동구 상암로11길 25,35
감나무집기사식당,기사식당,서울특별시 마포구 연남로 25,"1,972"
안동국시소람,국수,서울특별시 종로구 인사동9길 16 백악미술관 지하1층,204
명문막국수,막국수,서울특별시 성북구 창경궁로 319,559
딜라이트 호텔 (HOTEL DELIGHT),2성급,서울특별시 송파구 오금로11길 21-9 딜라이트 호텔,223
슈치쿠,일식당,서울특별시 영등포구 63로 50 58층,253
청수횟집,생선회,서울특별시 강남구 테헤란로25길 9,167
강서면옥,냉면,서울특별시 강남구 언주로164길 19 강서면옥,364
진남회집,생선회,서울특별시 동작구 노들로 674 노량진수산시장 2층 13호,181
커피친구,카페,서울특별시 종로구 삼봉로 81 두산위브파빌리온,149
키다리아저씨,베이커리,서울특별시 마포구 성미산로 22,325
이화감자국,감자탕,서울특별시 은평구 응암로 174-1 1층,223
