Longitude,Latitude,attraction
127.0228736,37.6306635,수유시장
126.975544,37.5713673,KT&G 상상마당 디자인스퀘어
126.9283111,37.4876315,아리차이
126.9894927,37.5741155,익선동 그집
126.8965081,37.484968,롯데시티호텔 구로
127.0779818,37.6159548,먹고을전주콩나물국밥 묵동본점
127.1396635,37.5413598,명품기사식당뚝다리김치찌개
127.0818596,37.5108441,요리하는남자
127.05437,37.546072,성수족발
126.7234591,37.6070007,키미아트
126.9703366,37.536633,문배동 육칼
126.9379921,37.5581517,POOM아트박스 (신촌점)
127.043437,37.5228366,청담골
127.0415125,37.5706058,몽실이네 토종한우
127.0579973,37.5109812,오크우드 프리미어 코엑스
126.8473021,37.5290439,드어반관광호텔
126.9798986,37.5705485,미진
126.991891,37.561681,동심한정식
127.0663639,37.5084759,남원추어탕 풍천장어
127.1249306,37.4935335,산삼청각
127.0112709,37.5782228,테르트르카페
127.0714009,37.53933,프리스비 (Frisbee) 건대점
127.0374678,37.4991181,최수사 대게마을
127.0410861,37.5256529,정식당
127.057088,37.505102,이비스 스타일 앰배서더 서울 강남
126.9862909,37.5734855,인사동큰집
126.9722997,37.5764129,궁가는여우
127.0166871,37.5936745,아리랑힐 호텔 동대문
127.007975,37.6699262,옥류헌릴렉스
126.9429109,37.6179121,북한산 족두리봉
127.0235782,37.5032281,위대한밥상 영광
127.019722,37.4839908,부일갈비
126.924047,37.5651452,툭툭누들타이
127.0346061,37.4852308,금강수림
127.085022,37.5778511,면목시장
126.9198605,37.5222482,세상의모든아침
126.9934389,37.5667917,조선옥
127.0448691,37.5214605,미 피아체
126.9604033,37.5363864,[백년가게]창성옥
127.0431522,37.6878095,갯마을풍천장어
126.986124,37.574075,최대감네
126.9909814,37.5699683,삼해집
126.9924207,37.5284554,유진막국수
126.9818766,37.587483,눈나무집
126.9979229,37.5825402,고궁마실
126.9168638,37.5872064,불맛감자국
127.0540567,37.5238699,호텔 리베라
127.0323876,37.4980088,해담채 강남점
127.055975,37.5896487,초우마을
126.976584,37.5683348,대상해
126.8988995,35.2041119,왕돈까스&왕냉면
126.9721922,37.5403534,엘르인호텔
127.029843,37.5206174,루위
126.913739,37.5510463,테이크어스트릿 (Take a street)
127.0641468,37.5086243,파크 하얏트 서울
126.9800267,37.5644229,아리아
127.0318099,37.4969108,에도긴
127.0628362,37.5885604,초록뜰
126.9716379,37.5716579,또순이
126.9504885,37.5446166,롯데시티호텔 마포
126.9897709,37.564706,달 카페
126.9107899,37.5868978,다리원
127.0590361,37.653211,동해복집
