Longitude,Latitude,attraction
126.9060913,37.5180376,금강제화 영등포본점
126.9855901,37.5818094,동림매듭공방
126.8362056,37.5596699,더퍼스트스테이 호텔
127.0108786,37.5783008,도넛정수 창신
126.9835596,37.5791784,티테라피
127.0814472,37.5460798,SLP 어린이회관 눈썰매장
127.0057389,37.57035,진옥화할매원조닭한마리
126.9656499,37.5291416,용산역광장
126.9876205,37.5794843,창덕궁
126.9650935,37.5716226,홍난파가옥
126.816136,37.5774865,강서구 고성막국수
126.9045519,37.42694,에프마켓남부낚시
126.999546,37.588259,돌실나이 본사할인점
126.9841756,37.5807993,백인제가옥
126.981694,37.5641652,롯데백화점 본점 에비뉴엘
126.911756,37.5106886,원조홍어 본점
127.0263183,37.5935554,고려대학교서울캠퍼스아이스링크
126.817971,37.5478974,메이필드호텔
126.9854678,37.545646,해방촌 혼고
126.9936391,37.5348612,해밀톤 호텔
126.9787867,37.5242227,국립중앙박물관 어린이박물관
126.90014,37.543418,선유도공원
127.0550282,37.541164,카페 할아버지공장
127.0414091,37.5244206,울프강스테이크하우스
126.9901014,37.5731697,남도분식 익선점
127.0051314,37.5595531,태극당
127.0428042,37.5384287,수도박물관
126.9878828,37.5737725,낙원떡집
126.9737295,37.5929992,북악산
126.9802619,37.5771142,두가헌 레스토랑
127.0068464,37.5623211,써미트 호텔 서울
127.0599206,37.542477,RSG 성수
126.9729133,37.5511247,포포인츠 바이 쉐라톤 조선 서울역
126.9963672,37.5788518,창경궁 홍화문
126.9846793,37.5624285,금강제화 명동본점
126.8836333,37.4828417,구로공단 노동자생활체험관
127.1107738,37.555169,그랜드 워커힐 서울
126.9805213,37.5620607,한국은행 화폐박물관
126.9473097,37.4584717,관악산 호수공원
126.9801792,37.5779378,스미스가 좋아하는 한옥
126.9851935,37.5751626,뉘조
126.9854105,37.5720998,하나로회관
126.983141,37.5447467,스토리지북앤필름
127.0034875,37.5057833,고투몰
127.1111669,37.5542813,비스타 워커힐 서울
127.0571964,37.6202781,광운대학교 아이스링크
126.737486,37.344989,명동칼국수 시화점
126.97261,37.5640019,배재학당역사박물관
127.0545593,37.5430097,소문난성수감자탕 별관
127.0384317,37.5697629,마장 축산물시장
127.0464866,37.553224,서울 살곶이 다리
126.8751533,37.5294858,진미옥설농탕
127.0413685,37.5061501,꽃새우 영번지
126.9821154,37.5615629,우표박물관
127.0217875,37.6027737,길음시장
127.035491,37.5235014,설화수 도산 플래그십 스토어
126.8126131,37.5712687,방신재래시장
126.8732897,37.5277914,오목공원
127.047174,37.6920475,다락원체육공원
127.1264424,37.5444036,천호공원
127.0376678,37.5805678,서울약령시 한의약박물관
126.9116093,37.5347983,서울마리나
126.9880555,37.5669753,롯데시티호텔 명동
127.0075316,37.5669757,아시아공원
126.8646744,37.5485075,목3동시장
126.9858468,37.5613266,하모니마트 명동역점
126.9685341,37.570773,경희궁
127.0281375,37.4934596,강남아르누보씨티호텔
127.1107531,37.4932278,가락몰
126.940253,37.5200021,63아트
126.8792437,37.5307338,목동종합운동장실내아이스링크
127.023784,37.5030122,오클라우드호텔
127.0764239,37.6185501,태릉골프장
127.049913,37.6426158,초안산캠핑장
127.0798312,37.5096642,해주냉면 본점
126.99194,37.562299,충무로부산복집
126.9778689,37.6111046,평창동북악정 신관
126.9117967,37.5441362,절두산 순교성지
126.9945007,37.5701764,계림식당
126.9660928,37.5932163,자하손만두
127.0668739,37.5299711,한강공원 뚝섬 눈썰매장
126.8346956,37.559273,키누카누
126.9820088,37.5567698,힐하우스 호텔
127.041161,37.578095,청량리수산시장
126.9720377,37.5606572,라마다 호텔앤스위트 서울남대문
126.994142,37.5794952,창경궁
127.1141655,37.511684,방이시장
126.98069,37.5801317,황생가칼국수
127.0590548,37.5445488,아모레 성수
126.8546485,37.491524,개봉중앙시장
126.9801663,37.5675302,부민옥
127.0764618,37.6226962,공릉동도깨비시장
126.8121359,37.5653049,김가네가마솥설렁탕
127.0180825,37.5187347,더리버사이드 호텔
127.001947,37.4880839,서리풀공원
126.9800347,37.5060008,동작노을카페
126.9083364,37.5209913,영등포전통시장
126.9820782,37.5839105,비언유주얼
126.917671,37.5112149,대신시장
127.0414103,37.5027967,"조선 팰리스 서울 강남, 럭셔리 컬렉션 호텔"
126.9794417,37.560132,레스케이프 호텔 (L’Escape Hotel)
126.9730425,37.5634668,청송옥
126.9776744,37.5698124,신문박물관
126.9811162,37.5609577,신세계백화점 (본점)
126.9822129,37.5608213,다비치안경 (명동점)
126.9217041,37.5535252,코코넛박스
126.9768867,37.5611952,코트야드 메리어트 서울 남대문
126.9924029,37.560867,동방명주 충무로점
126.9697526,37.5626743,프레이저 플레이스 센트럴 서울
126.9868825,37.5716948,한국전통관광명품점
127.1144128,37.5988163,망우 역사 문화공원
126.9859124,37.5724244,아름다운 차박물관
126.9626765,37.5826266,수성동계곡
127.0108785,37.5691588,남평화상가
126.9818029,37.585548,소선재
